,Cycle,Cell02
3811,1,4.01731899
7866,2,4.01777676
11921,3,4.01792935
15976,4,4.01792935
20031,5,4.01777676
24085,6,4.01747158
28140,7,4.01762417
32194,8,4.01747158
36249,9,4.01747158
40303,10,4.0171664
44358,11,4.0171664
48413,12,4.01686122
52467,13,4.01670863
56522,14,4.01686122
60577,15,4.01686122
64632,16,4.01655604
68687,17,4.01670863
72742,18,4.01625086
76796,19,4.01609827
80851,20,4.01609827
84906,21,4.01609827
88961,22,4.01594568
93016,23,4.01594568
97071,24,4.01548791
101126,25,4.0156405
106352,26,4.01106279
110377,27,4.01213092
114402,28,4.01213092
118427,29,4.01228351
122452,30,4.01228351
126477,31,4.01213092
130501,32,4.01274128
134526,33,4.0124361
138551,34,4.0124361
142576,35,4.0124361
146601,36,4.01258869
150626,37,4.01258869
154651,38,4.01258869
158676,39,4.01258869
162701,40,4.0124361
166726,41,4.0124361
170750,42,4.01258869
174774,43,4.01228351
178799,44,4.0124361
182824,45,4.0124361
186849,46,4.01274128
190874,47,4.01258869
194899,48,4.01228351
198924,49,4.01228351
202949,50,4.0124361
206974,51,4.0124361
210999,52,4.01228351
215024,53,4.01228351
219048,54,4.0124361
223073,55,4.01197833
227097,56,4.01213092
231122,57,4.01228351
235147,58,4.01228351
239172,59,4.01213092
243197,60,4.0124361
247222,61,4.01228351
251247,62,4.01213092
255271,63,4.0124361
259296,64,4.01228351
263321,65,4.01228351
267346,66,4.01228351
271370,67,4.01228351
275395,68,4.01228351
279420,69,4.01213092
283445,70,4.01182574
287469,71,4.01197833
291494,72,4.01213092
295518,73,4.01197833
299543,74,4.01213092
303568,75,4.01213092
307987,76,4.00923171
312011,77,4.01060502
316036,78,4.01075761
320060,79,4.0109102
324084,80,4.0109102
328109,81,4.01121538
332134,82,4.01121538
336159,83,4.01136797
340184,84,4.01152056
344209,85,4.01152056
348234,86,4.01152056
352259,87,4.01152056
356284,88,4.01167315
360309,89,4.01182574
364334,90,4.01167315
368359,91,4.01197833
372384,92,4.01182574
376409,93,4.01197833
380434,94,4.01213092
384458,95,4.01197833
388483,96,4.01197833
392508,97,4.01228351
396533,98,4.01213092
400558,99,4.01228351
404583,100,4.01228351
408608,101,4.01228351
412633,102,4.01213092
416658,103,4.0124361
420683,104,4.01228351
424707,105,4.01258869
428731,106,4.0124361
432755,107,4.01258869
436779,108,4.01289387
440803,109,4.01274128
444827,110,4.01258869
448851,111,4.01289387
452875,112,4.01289387
456899,113,4.01319905
460923,114,4.01319905
464946,115,4.01289387
468970,116,4.01319905
472994,117,4.01289387
477018,118,4.01350423
481042,119,4.01335164
485065,120,4.01335164
489089,121,4.01335164
493113,122,4.01335164
497137,123,4.01365682
501161,124,4.01350423
505185,125,4.01365682
509710,126,4.01426719
513734,127,4.01396201
517758,128,4.01380941
521781,129,4.0141146
525805,130,4.01426719
529829,131,4.01426719
533853,132,4.01426719
537877,133,4.01426719
541901,134,4.01487755
545925,135,4.01472496
549949,136,4.01457237
553973,137,4.01472496
557997,138,4.01441978
562021,139,4.01396201
566045,140,4.01350423
570069,141,4.01319905
574093,142,4.01258869
578117,143,4.01304646
582141,144,4.0124361
586165,145,4.0124361
590189,146,4.01304646
594213,147,4.01304646
598237,148,4.01319905
602260,149,4.01350423
606284,150,4.01319905
610308,151,4.01289387
614332,152,4.01304646
618356,153,4.01335164
622380,154,4.01350423
626404,155,4.01319905
630427,156,4.01380941
634451,157,4.01396201
638475,158,4.01441978
642499,159,4.01426719
646523,160,4.01441978
650547,161,4.01441978
654571,162,4.0141146
658595,163,4.01426719
662619,164,4.01426719
666642,165,4.01426719
670665,166,4.01472496
674689,167,4.01472496
678713,168,4.01487755
682736,169,4.01487755
686759,170,4.01472496
690782,171,4.01472496
694805,172,4.01503014
698828,173,4.01503014
702851,174,4.01533532
706874,175,4.01533532
710896,176,4.01503014
714918,177,4.01518273
718940,178,4.01487755
722963,179,4.01548791
726986,180,4.01533532
731009,181,4.01518273
735032,182,4.01533532
739055,183,4.0156405
743077,184,4.01548791
747100,185,4.0156405
751123,186,4.0156405
755145,187,4.01594568
759168,188,4.01579309
763191,189,4.01594568
767214,190,4.01609827
771237,191,4.01625086
775260,192,4.01625086
779283,193,4.01625086
783305,194,4.01640345
787328,195,4.01640345
791351,196,4.01625086
795374,197,4.01625086
799397,198,4.01640345
803420,199,4.01670863
807443,200,4.01670863
811465,201,4.01686122
815487,202,4.01731899
819509,203,4.01731899
823531,204,4.01747158
827553,205,4.01777676
831575,206,4.01792935
835597,207,4.01792935
839618,208,4.0186923
843640,209,4.01853971
847661,210,4.0186923
851683,211,4.01899748
855705,212,4.01899748
859727,213,4.01899748
863749,214,4.01915007
867770,215,4.01884489
871791,216,4.01945525
875812,217,4.01930266
879833,218,4.01945525
883854,219,4.01960784
887875,220,4.01960784
891896,221,4.01945525
895916,222,4.01976043
899937,223,4.01991302
903957,224,4.01991302
907978,225,4.01991302
912479,226,4.01823453
916499,227,4.01823453
920521,228,4.01853971
924542,229,4.01838712
928562,230,4.01853971
932583,231,4.0186923
936604,232,4.01838712
940624,233,4.0186923
944645,234,4.0186923
948666,235,4.01899748
952687,236,4.01884489
956708,237,4.01899748
960729,238,4.0186923
964750,239,4.01915007
968771,240,4.01930266
972791,241,4.01930266
976812,242,4.01930266
980833,243,4.01945525
984854,244,4.01945525
988875,245,4.01976043
992896,246,4.01960784
996916,247,4.01976043
1000937,248,4.01991302
1004957,249,4.01991302
1008978,250,4.01991302
1012998,251,4.0202182
1017019,252,4.02006561
1021040,253,4.01991302
1025060,254,4.0202182
1029080,255,4.02037079
1033100,256,4.02037079
1037119,257,4.02037079
1041139,258,4.02037079
1045159,259,4.02052338
1049179,260,4.0202182
1053199,261,4.02052338
1057218,262,4.02067597
1061238,263,4.02067597
1065258,264,4.02082856
1069278,265,4.02052338
1073298,266,4.02082856
1077317,267,4.02098116
1081337,268,4.02098116
1085357,269,4.02098116
1089377,270,4.02113375
1093397,271,4.02128634
1097417,272,4.02098116
1101437,273,4.02143893
1105457,274,4.02128634
1109477,275,4.02143893
1113496,276,4.02143893
1117516,277,4.02128634
1121534,278,4.02159152
1125553,279,4.02174411
1129572,280,4.02174411
1133591,281,4.0218967
1137610,282,4.0218967
1141628,283,4.0218967
1145647,284,4.0218967
1149666,285,4.02220188
1153685,286,4.02220188
1157704,287,4.02204929
1161723,288,4.0218967
1165741,289,4.02235447
1169759,290,4.02220188
1173778,291,4.02220188
1177796,292,4.02220188
1181815,293,4.02235447
1185834,294,4.02250706
1189853,295,4.02250706
1193872,296,4.02281224
1197891,297,4.02250706
1201910,298,4.02281224
1205928,299,4.02296483
1209946,300,4.02281224
1213963,301,4.02296483
1217981,302,4.02296483
1221998,303,4.02281224
1226016,304,4.02311742
1230034,305,4.02296483
1234052,306,4.02296483
1238070,307,4.02327001
1242088,308,4.0234226
1246106,309,4.02327001
1250124,310,4.0234226
1254142,311,4.02357519
1258160,312,4.0234226
1262178,313,4.02357519
1266195,314,4.02357519
1270213,315,4.02372778
1274231,316,4.02388037
1278249,317,4.02372778
1282265,318,4.02388037
1286282,319,4.02388037
1290299,320,4.02372778
1294316,321,4.02418555
1298333,322,4.02418555
1302350,323,4.02449073
1306367,324,4.02433814
1310384,325,4.02464332
1314401,326,4.02433814
1318418,327,4.02449073
1322435,328,4.0249485
1326452,329,4.02479591
1330469,330,4.02479591
1334486,331,4.0249485
1338502,332,4.02510109
1342519,333,4.0249485
1346536,334,4.0249485
1350552,335,4.0249485
1354569,336,4.02510109
1358585,337,4.0249485
1362601,338,4.02510109
1366617,339,4.0249485
1370633,340,4.02525368
1374649,341,4.02540627
1378665,342,4.02540627
1382681,343,4.02510109
1386697,344,4.02555886
1390713,345,4.02540627
1394729,346,4.02555886
1398745,347,4.02586404
1402761,348,4.02586404
1406776,349,4.02571145
1410791,350,4.02586404
1414806,351,4.02601663
1418821,352,4.02601663
1422836,353,4.02616922
1426851,354,4.02601663
1430866,355,4.02601663
1434881,356,4.02632181
1438895,357,4.02632181
1442910,358,4.02616922
1446925,359,4.0264744
1450940,360,4.02632181
1454955,361,4.0264744
1458970,362,4.0264744
1462985,363,4.02632181
1466999,364,4.02632181
1471014,365,4.0264744
1475028,366,4.02662699
1479042,367,4.02662699
1483056,368,4.02662699
1487070,369,4.02662699
1491084,370,4.02693217
1495097,371,4.02677958
1499110,372,4.02693217
1503123,373,4.02693217
1507136,374,4.02677958
1511150,375,4.02693217
1515163,376,4.02738994
1519176,377,4.02738994
1523189,378,4.02738994
1527201,379,4.02738994
1531214,380,4.02769512
1535227,381,4.02769512
1539240,382,4.02723735
1543253,383,4.02754253
1547265,384,4.02754253
1551278,385,4.02769512
1555291,386,4.02769512
1559304,387,4.02754253
1563316,388,4.02769512
1567329,389,4.02784771
1571342,390,4.02800031
1575355,391,4.02784771
1579367,392,4.02800031
1583380,393,4.0281529
1587392,394,4.02800031
1591404,395,4.02800031
1595416,396,4.02784771
1599428,397,4.02800031
1603440,398,4.02800031
1607452,399,4.0281529
1611464,400,4.0281529
1615475,401,4.0281529
1619487,402,4.02845808
1623498,403,4.02830549
1627510,404,4.02830549
1631522,405,4.02845808
1635534,406,4.02845808
1639546,407,4.02845808
1643558,408,4.02845808
1647570,409,4.02861067
1651581,410,4.02830549
1655592,411,4.02845808
1659603,412,4.02861067
1663614,413,4.02861067
1667624,414,4.02876326
1671635,415,4.02876326
1675646,416,4.02876326
1679656,417,4.02891585
1683667,418,4.02891585
1687678,419,4.02891585
1691688,420,4.02906844
1695697,421,4.02891585
1699707,422,4.02891585
1703717,423,4.02937362
1707727,424,4.02906844
1711736,425,4.02922103
1716178,426,4.02845808
1720186,427,4.02952621
1724195,428,4.02937362
1728203,429,4.02922103
1732212,430,4.02937362
1736221,431,4.02937362
1740230,432,4.0296788
1744239,433,4.02952621
1748247,434,4.0296788
1752256,435,4.02983139
1756265,436,4.0296788
1760272,437,4.02983139
1764280,438,4.0296788
1768288,439,4.0296788
1772295,440,4.02998398
1776303,441,4.02998398
1780311,442,4.03013657
1784319,443,4.02998398
1788327,444,4.02998398
1792335,445,4.03013657
1796343,446,4.03013657
1800351,447,4.03028916
1804359,448,4.03013657
1808365,449,4.03028916
1812371,450,4.03044175
1816378,451,4.03013657
1820385,452,4.03074693
1824392,453,4.03059434
1828399,454,4.03074693
1832406,455,4.03074693
1836412,456,4.03074693
1840419,457,4.03074693
1844426,458,4.03074693
1848431,459,4.03074693
1852436,460,4.03089952
1856442,461,4.03089952
1860447,462,4.03089952
1864453,463,4.03089952
1868458,464,4.0312047
1872464,465,4.03089952
1876470,466,4.03105211
1880476,467,4.0312047
1884481,468,4.03105211
1888487,469,4.03105211
1892493,470,4.03105211
1896498,471,4.03105211
1900502,472,4.03105211
1904507,473,4.0312047
1908511,474,4.03135729
1912516,475,4.03150988
1916521,476,4.03135729
1920526,477,4.0312047
1924532,478,4.03105211
1928539,479,4.03074693
1932546,480,4.03074693
1936553,481,4.03059434
1940560,482,4.03044175
1944566,483,4.03059434
1948572,484,4.03028916
1952577,485,4.03074693
1956582,486,4.03105211
1960586,487,4.03135729
1964590,488,4.03166247
1968594,489,4.03181506
1972598,490,4.03166247
1976602,491,4.03166247
1980605,492,4.03150988
1984608,493,4.03196765
1988611,494,4.03181506
1992614,495,4.03166247
1996617,496,4.03166247
2000620,497,4.03166247
2004622,498,4.03181506
2008625,499,4.03181506
2012628,500,4.03196765
2016630,501,4.03181506
2020633,502,4.03212024
2024636,503,4.03181506
2028639,504,4.03212024
2032642,505,4.03212024
2036644,506,4.03181506
2040645,507,4.03212024
2044647,508,4.03212024
2048649,509,4.03212024
2052651,510,4.03242542
2056653,511,4.03212024
2060654,512,4.03212024
2064656,513,4.03196765
2068658,514,4.03196765
2072660,515,4.03212024
2076662,516,4.03212024
2080663,517,4.03227283
2084664,518,4.03227283
2088666,519,4.03227283
2092667,520,4.03212024
2096668,521,4.03227283
2100669,522,4.03227283
2104670,523,4.03227283
2108671,524,4.03242542
2112672,525,4.03227283
2116673,526,4.03227283
2120673,527,4.03196765
2124675,528,4.03196765
2128677,529,4.03212024
2132679,530,4.03212024
2136680,531,4.03242542
2140680,532,4.03212024
2144682,533,4.03227283
2148684,534,4.03196765
2152685,535,4.03227283
2156686,536,4.03212024
2160687,537,4.03212024
2164688,538,4.03227283
2168689,539,4.03212024
2172690,540,4.03212024
2176691,541,4.03196765
2180692,542,4.03196765
2184692,543,4.03227283
2188692,544,4.03212024
2192692,545,4.03242542
2196692,546,4.03227283
2200692,547,4.03227283
2204691,548,4.03212024
2208691,549,4.03227283
2212691,550,4.03242542
2216691,551,4.03227283
2220691,552,4.03227283
2224691,553,4.03257801
2228691,554,4.03242542
2232690,555,4.03257801
2236689,556,4.03257801
2240688,557,4.03257801
2244687,558,4.03242542
2248685,559,4.03227283
2252684,560,4.03257801
2256683,561,4.03242542
2260681,562,4.03242542
2264680,563,4.03242542
2268679,564,4.03242542
2272678,565,4.03227283
2276677,566,4.0327306
2280676,567,4.0327306
2284675,568,4.03242542
2288674,569,4.03242542
2292673,570,4.03212024
2296672,571,4.03227283
2300671,572,4.03227283
2304670,573,4.03227283
2308669,574,4.03242542
2312668,575,4.03227283
2316667,576,4.03242542
2320666,577,4.03257801
2324664,578,4.03242542
2328663,579,4.03257801
2332661,580,4.03212024
2336659,581,4.03242542
2340657,582,4.03242542
2344655,583,4.03257801
2348653,584,4.03242542
2352650,585,4.03257801
2356649,586,4.03227283
2360647,587,4.03212024
2364644,588,4.03227283
2368642,589,4.03242542
2372639,590,4.03227283
2376637,591,4.03227283
2380635,592,4.03227283
2384633,593,4.03212024
2388631,594,4.03227283
2392629,595,4.03242542
2396627,596,4.03257801
2400625,597,4.03242542
2404623,598,4.03227283
2408620,599,4.03257801
2412617,600,4.03227283
