,Cycle,Cell02
4171,1,0.03184222
8226,2,0.03186124
12281,3,0.03186124
16336,4,0.03186395
20391,5,0.0318616
24445,6,0.03186364
28500,7,0.03186644
32554,8,0.03186587
36609,9,0.03186622
40663,10,0.03186769
44718,11,0.03186769
48773,12,0.0318692
52827,13,0.03187088
56882,14,0.03186911
60937,15,0.03187049
64992,16,0.03187031
69047,17,0.03187102
73102,18,0.03187284
77156,19,0.03187288
81211,20,0.03187457
85266,21,0.03187311
89321,22,0.03187337
93376,23,0.03187457
97431,24,0.03187497
101486,25,0.03187648
106712,26,0.03186062
110737,27,0.03188253
114762,28,0.0318868
118787,29,0.03188551
122812,30,0.03188115
126837,31,0.03188133
130861,32,0.03188226
134886,33,0.03188097
138911,34,0.03188066
142936,35,0.0318811
146961,36,0.03188093
150986,37,0.03187871
155011,38,0.03187866
159036,39,0.03187835
163061,40,0.031878
167086,41,0.03187773
171110,42,0.03187733
175134,43,0.03187613
179159,44,0.03187658
183184,45,0.03187404
187209,46,0.03187515
191234,47,0.03187453
195259,48,0.03187666
199284,49,0.03187493
203309,50,0.03187404
207334,51,0.03187408
211359,52,0.03187404
215384,53,0.03187306
219408,54,0.0318708
223433,55,0.03187275
227457,56,0.03187155
231482,57,0.03187026
235507,58,0.03187062
239532,59,0.03186959
243557,60,0.03186911
247582,61,0.03186906
251607,62,0.03186804
255631,63,0.03186817
259656,64,0.03186582
263681,65,0.03186618
267706,66,0.03186551
271730,67,0.031866
275755,68,0.03186538
279780,69,0.03186444
283805,70,0.03186431
287829,71,0.03186315
291854,72,0.03186289
295878,73,0.03186151
299903,74,0.03186204
303928,75,0.03185978
308347,76,0.03182253
312371,77,0.03185542
316396,78,0.03185289
320420,79,0.03185111
324444,80,0.03185173
328469,81,0.0318492
332494,82,0.03184627
336519,83,0.03184662
340544,84,0.03184475
344569,85,0.03184329
348594,86,0.03184258
352619,87,0.0318384
356644,88,0.03183822
360669,89,0.03183853
364694,90,0.03183498
368719,91,0.03183507
372744,92,0.03183391
376769,93,0.0318336
380794,94,0.03183076
384818,95,0.03183022
388843,96,0.03182889
392868,97,0.03182774
396893,98,0.03182516
400918,99,0.03182636
404943,100,0.03182351
408968,101,0.03182151
412993,102,0.03181996
417018,103,0.03181987
421042,104,0.03181618
425066,105,0.03181511
429090,106,0.03181507
433114,107,0.03181271
437138,108,0.03181258
441162,109,0.03181169
445186,110,0.03180996
449210,111,0.03180809
453234,112,0.03180658
457258,113,0.03180436
461282,114,0.03180463
465305,115,0.03180365
469329,116,0.03180085
473353,117,0.03179956
477377,118,0.03179849
481401,119,0.03179698
485424,120,0.03179627
489448,121,0.03179529
493472,122,0.03179254
497496,123,0.03179152
501520,124,0.0317909
505544,125,0.03178805
510069,126,0.03177219
514093,127,0.03176614
518117,128,0.03175628
522140,129,0.0317576
526164,130,0.03174939
530188,131,0.03174912
534212,132,0.03174748
538236,133,0.03174183
542260,134,0.03174143
546284,135,0.0317421
550308,136,0.03173885
554332,137,0.03175072
558356,138,0.03177979
562380,139,0.03179343
566404,140,0.03179223
570428,141,0.03179294
574452,142,0.03178827
578476,143,0.03178756
582500,144,0.03179201
586524,145,0.03177418
590548,146,0.03177809
594572,147,0.03177085
598596,148,0.03176805
602619,149,0.03177272
606643,150,0.03178685
610667,151,0.03177281
614691,152,0.03176681
618715,153,0.03175947
622739,154,0.03176725
626763,155,0.03174983
630786,156,0.03174548
634810,157,0.03175188
638834,158,0.03174014
642858,159,0.03174028
646882,160,0.03174156
650906,161,0.03174312
654930,162,0.03173886
658954,163,0.03172881
662978,164,0.03173526
667000,165,0.03172699
671024,166,0.0317297
675048,167,0.0317293
679071,168,0.03172263
683094,169,0.0317241
687117,170,0.03171917
691140,171,0.03171459
695163,172,0.03171783
699186,173,0.03170713
703209,174,0.03171317
707232,175,0.03171361
711254,176,0.03170571
715276,177,0.03170824
719298,178,0.03170935
723321,179,0.03170086
727344,180,0.03170544
731367,181,0.03170015
735390,182,0.03169868
739413,183,0.03169424
743435,184,0.03168539
747458,185,0.03168779
751481,186,0.03168011
755503,187,0.03168184
759526,188,0.03167882
763549,189,0.03166917
767572,190,0.03167726
771595,191,0.03166633
775618,192,0.03166544
779641,193,0.03166473
783663,194,0.03166833
787686,195,0.03166789
791709,196,0.03166064
795732,197,0.03165095
799755,198,0.0316418
803778,199,0.03164442
807800,200,0.03163629
811822,201,0.03162438
815844,202,0.03161616
819866,203,0.03161042
823888,204,0.03161212
827910,205,0.03160474
831932,206,0.03159314
835954,207,0.03157328
839975,208,0.03157332
843997,209,0.03156838
848018,210,0.03156021
852040,211,0.03155728
856062,212,0.0315607
860084,213,0.03155634
864105,214,0.03154995
868126,215,0.03154701
872147,216,0.03154577
876168,217,0.03153741
880189,218,0.03153501
884210,219,0.03153554
888231,220,0.03153155
892252,221,0.03152843
896272,222,0.03152133
900293,223,0.03152257
904313,224,0.03151546
908334,225,0.03151546
912835,226,0.03154906
916856,227,0.03155496
920877,228,0.0315499
924898,229,0.03154595
928918,230,0.03154674
932939,231,0.03154265
936960,232,0.03153457
940980,233,0.03153559
945001,234,0.03153506
949022,235,0.03153083
953043,236,0.03152626
957064,237,0.03152119
961085,238,0.03151639
965106,239,0.03151408
969127,240,0.03151203
973147,241,0.03150568
977168,242,0.03150457
981189,243,0.03149431
985210,244,0.03149213
989231,245,0.03148871
993252,246,0.03148382
997272,247,0.03147982
1001293,248,0.03147715
1005313,249,0.0314756
1009334,250,0.03147502
1013354,251,0.03146667
1017375,252,0.03146697
1021396,253,0.03146404
1025415,254,0.03146031
1029435,255,0.03146049
1033455,256,0.03145431
1037474,257,0.03144964
1041494,258,0.03144409
1045514,259,0.03144293
1049534,260,0.03144218
1053554,261,0.03143511
1057573,262,0.0314364
1061593,263,0.03143479
1065613,264,0.0314252
1069633,265,0.0314236
1073653,266,0.03141805
1077672,267,0.03141297
1081692,268,0.03141332
1085712,269,0.03140355
1089732,270,0.03139901
1093752,271,0.03139564
1097772,272,0.03138968
1101792,273,0.03139106
1105812,274,0.03138902
1109832,275,0.03138301
1113851,276,0.03137866
1117870,277,0.0313724
1121888,278,0.03136959
1125907,279,0.03136226
1129926,280,0.03136017
1133945,281,0.03135795
1137964,282,0.03135031
1141982,283,0.03135048
1146001,284,0.03134391
1150020,285,0.03133916
1154039,286,0.03133778
1158058,287,0.03132978
1162077,288,0.03132671
1166095,289,0.03132249
1170113,290,0.03131849
1174132,291,0.03131622
1178150,292,0.03131115
1182169,293,0.03130885
1186188,294,0.03129987
1190207,295,0.03129307
1194226,296,0.03129134
1198245,297,0.03128787
1202263,298,0.03128209
1206281,299,0.0312812
1210299,300,0.03127494
1214316,301,0.03127445
1218334,302,0.03127703
1222351,303,0.03126867
1226369,304,0.03126583
1230387,305,0.03125903
1234405,306,0.03125121
1238423,307,0.03124823
1242441,308,0.0312376
1246459,309,0.03123925
1250477,310,0.03123379
1254495,311,0.03122601
1258513,312,0.03122219
1262531,313,0.03121197
1266548,314,0.0312105
1270566,315,0.03120494
1274584,316,0.03119588
1278601,317,0.03119441
1282617,318,0.03119122
1286634,319,0.0311821
1290651,320,0.03117308
1294668,321,0.03116562
1298685,322,0.03116219
1302702,323,0.03115828
1306719,324,0.03114904
1310736,325,0.03115051
1314753,326,0.03114486
1318770,327,0.03113624
1322787,328,0.03113362
1326804,329,0.03112193
1330821,330,0.03112318
1334838,331,0.03111611
1338854,332,0.03111158
1342871,333,0.03111105
1346887,334,0.03110074
1350905,335,0.03109863
1354920,336,0.03109638
1358936,337,0.03109136
1362952,338,0.03108616
1366968,339,0.03107856
1370984,340,0.03107318
1375000,341,0.03106701
1379016,342,0.03105989
1383032,343,0.03105758
1387048,344,0.03104461
1391064,345,0.03103763
1395080,346,0.03103097
1399096,347,0.03101963
1403111,348,0.03101577
1407126,349,0.0310111
1411141,350,0.03100577
1415156,351,0.03100319
1419171,352,0.03099212
1423186,353,0.03098795
1427201,354,0.03098382
1431216,355,0.03096946
1435231,356,0.03096964
1439245,357,0.03096306
1443260,358,0.03096231
1447275,359,0.03096257
1451290,360,0.03095257
1455305,361,0.03094853
1459320,362,0.03093978
1463335,363,0.03093471
1467349,364,0.03093498
1471363,365,0.0309244
1475377,366,0.0309208
1479391,367,0.03091591
1483405,368,0.03090262
1487419,369,0.03090058
1491433,370,0.03088982
1495446,371,0.03087778
1499459,372,0.03086565
1503472,373,0.03085543
1507485,374,0.03084881
1511498,375,0.03083419
1515511,376,0.03082939
1519524,377,0.03081828
1523537,378,0.03081597
1527549,379,0.03081063
1531562,380,0.03080473
1535575,381,0.03079975
1539588,382,0.0307933
1543601,383,0.03078771
1547613,384,0.03077535
1551626,385,0.03077882
1555639,386,0.03077779
1559652,387,0.03077384
1563664,388,0.03077375
1567677,389,0.03076157
1571690,390,0.03075895
1575703,391,0.03075517
1579715,392,0.03075309
1583727,393,0.03074864
1587739,394,0.03074104
1591751,395,0.03073837
1595763,396,0.03072953
1599775,397,0.03072398
1603787,398,0.03071007
1607799,399,0.03069225
1611811,400,0.03070056
1615822,401,0.03069669
1619834,402,0.03069767
1623845,403,0.03068883
1627857,404,0.03068225
1631869,405,0.03067674
1635881,406,0.03066576
1639893,407,0.03066274
1643905,408,0.03066216
1647916,409,0.03066127
1651927,410,0.03065083
1655938,411,0.0306435
1659949,412,0.03062994
1663960,413,0.03061399
1667970,414,0.03060141
1671981,415,0.03059577
1675992,416,0.03059217
1680002,417,0.03058368
1684013,418,0.03057701
1688023,419,0.03056369
1692033,420,0.03055799
1696042,421,0.03054915
1700052,422,0.03054555
1704062,423,0.03053471
1708072,424,0.03053218
1712081,425,0.03052102
1716521,426,0.03038015
1720530,427,0.03043241
1724539,428,0.03043757
1728547,429,0.03042859
1732556,430,0.03042121
1736565,431,0.0304165
1740574,432,0.03041437
1744583,433,0.03041339
1748591,434,0.03039886
1752600,435,0.03039917
1756608,436,0.03039064
1760615,437,0.03037575
1764623,438,0.03036713
1768631,439,0.03035593
1772638,440,0.03035686
1776646,441,0.0303474
1780654,442,0.03033789
1784662,443,0.03033771
1788670,444,0.03032882
1792678,445,0.03032482
1796686,446,0.03031545
1800694,447,0.03031233
1804701,448,0.03029216
1808707,449,0.03028176
1812713,450,0.0302719
1816720,451,0.03026007
1820727,452,0.03025376
1824734,453,0.03024048
1828741,454,0.03023586
1832748,455,0.03022954
1836754,456,0.03022279
1840761,457,0.03022066
1844767,458,0.03021234
1848772,459,0.03020573
1852777,460,0.03019821
1856783,461,0.03019493
1860788,462,0.03018253
1864794,463,0.03017399
1868799,464,0.03016804
1872805,465,0.03016084
1876811,466,0.03015324
1880817,467,0.03014222
1884822,468,0.03014106
1888828,469,0.03013102
1892833,470,0.03012062
1896838,471,0.03011969
1900842,472,0.03011174
1904847,473,0.03010311
1908851,474,0.0300968
1912856,475,0.03009965
1916862,476,0.03015217
1920867,477,0.03019337
1924874,478,0.0302371
1928881,479,0.03023768
1932888,480,0.03025687
1936895,481,0.0302467
1940902,482,0.03026469
1944907,483,0.03020746
1948912,484,0.03011493
1952917,485,0.03006423
1956921,486,0.03002637
1960925,487,0.02999859
1964929,488,0.02997979
1968933,489,0.02997201
1972937,490,0.02995846
1976940,491,0.02994731
1980943,492,0.02994011
1984946,493,0.02993571
1988949,494,0.02993042
1992952,495,0.02992344
1996955,496,0.02991376
2000958,497,0.0299158
2004960,498,0.02991269
2008963,499,0.02990371
2012966,500,0.02990132
2016968,501,0.02989287
2020971,502,0.02988607
2024974,503,0.02987322
2028977,504,0.02987314
2032980,505,0.02986389
2036981,506,0.02985536
2040982,507,0.02985354
2044984,508,0.02983963
2048986,509,0.02982919
2052988,510,0.02982048
2056990,511,0.0298199
2060991,512,0.02981004
2064993,513,0.02980328
2068995,514,0.02979413
2072997,515,0.02977879
2076998,516,0.02977146
2080999,517,0.02976942
2085001,518,0.02977613
2089002,519,0.02977062
2093003,520,0.02976648
2097004,521,0.02975351
2101005,522,0.02974466
2105006,523,0.02973804
2109007,524,0.02973653
2113008,525,0.02975533
2117009,526,0.02976715
2121010,527,0.02977968
2125012,528,0.02977613
2129014,529,0.0297783
2133015,530,0.02976919
2137016,531,0.02976719
2141017,532,0.02978084
2145019,533,0.02978799
2149020,534,0.02975573
2153021,535,0.02973667
2157022,536,0.02972653
2161023,537,0.02971743
2165024,538,0.02970769
2169025,539,0.02970329
2173026,540,0.02970005
2177027,541,0.02968765
2181028,542,0.02968783
2185027,543,0.02967489
2189027,544,0.02966378
2193027,545,0.02965725
2197027,546,0.02965525
2201027,547,0.02964596
2205026,548,0.02963992
2209026,549,0.02962708
2213026,550,0.02962388
2217026,551,0.02961277
2221026,552,0.0296065
2225026,553,0.02959713
2229025,554,0.02959259
2233024,555,0.02958659
2237023,556,0.02957997
2241022,557,0.02957215
2245021,558,0.02956228
2249019,559,0.02955877
2253018,560,0.02955215
2257017,561,0.02957344
2261015,562,0.02955215
2265014,563,0.02955113
2269013,564,0.02954344
2273012,565,0.02953788
2277011,566,0.02953469
2281010,567,0.0295318
2285009,568,0.02954389
2289008,569,0.02954424
2293007,570,0.02954175
2297006,571,0.02955309
2301005,572,0.02953904
2305004,573,0.02953157
2309003,574,0.02952486
2313002,575,0.02951593
2317001,576,0.02951887
2321000,577,0.02950767
2324998,578,0.0295102
2328996,579,0.02949296
2332994,580,0.02947621
2336992,581,0.0294674
2340990,582,0.02946834
2344988,583,0.02950491
2348986,584,0.02950376
2352984,585,0.02951562
2356982,586,0.02950492
2360980,587,0.02950544
