Speed (linear);Time;Acceleration (linear)
89,38651241;0,666939026;4,326329502
89,4491036;0,670966479;4,316981434
89,51151589;0,674991114;4,307657043
89,57375;0,679012943;4,298356249
89,63580665;0,683031978;4,28907897
89,69768653;0,68704823;4,279825127
89,75939036;0,691061711;4,27059464
89,82091883;0,695072434;4,261387429
89,88227264;0,699080409;4,252203416
89,94345248;0,703085648;4,243042522
90,00445904;0,707088163;4,233904668
90,065293;0,711087965;4,224789778
90,12595029;0,715085065;4,215368152
90,18643094;0,719079475;4,205922459
90,24673564;0,723071206;4,196501407
90,3068651;0,72706027;4,187104909
90,36682004;0,731046678;4,177732881
90,42660113;0,735030441;4,168385238
90,48620908;0,739011571;4,159061896
90,54564457;0,742990077;4,149762771
90,6049083;0,746965973;4,140487779
90,66400093;0,750939267;4,131236839
90,72292316;0,754909972;4,122009867
90,78167565;0,758878098;4,112806781
90,84025907;0,762843656;4,103627499
90,89867409;0,766806657;4,094471941
90,95692137;0,770767111;4,085340025
91,01500157;0,774725028;4,076231671
91,07291535;0,77868042;4,067146799
91,13066335;0,782633297;4,05808533
91,18824622;0,786583669;4,049047184
91,2456646;0,790531546;4,040032282
91,30291914;0,794476939;4,031040545
91,36001047;0,798419858;4,022071897
91,41693923;0,802360313;4,013126258
91,47370604;0,806298314;4,004203553
91,53031152;0,810233871;3,995303703
91,58675631;0,814166994;3,986426633
91,64304101;0,818097693;3,977572266
91,69916626;0,822025979;3,968740526
91,75513264;0,825951859;3,959931338
91,81094078;0,829875346;3,951144628
91,86659129;0,833796447;3,942380319
91,92208475;0,837715173;3,933638339
91,97742177;0,841631533;3,924918613
92,03260295;0,845545537;3,916221067
92,08762887;0,849457194;3,907545628
92,14250014;0,853366514;3,898892223
92,19721732;0,857273506;3,890260781
92,251781;0,861178179;3,881651227
92,30619177;0,865080543;3,873063492
92,3604502;0,868980607;3,864497503
92,41455686;0,872878379;3,855953188
92,46851232;0,876773869;3,847430478
92,52231714;0,880667086;3,838929301
92,5759719;0,884558039;3,830449588
92,62947716;0,888446737;3,821991269
92,68283346;0,892333189;3,813554274
92,73604136;0,896217404;3,805138534
92,78910143;0,900099389;3,796743979
92,8420142;0,903979155;3,788370543
92,89478022;0,90785671;3,780018156
92,94740003;0,911732063;3,77168675
92,99987418;0,915605221;3,763376258
93,0522032;0,919476194;3,755086613
93,10438762;0,92334499;3,746817748
93,15642799;0,927211618;3,738569595
93,20832482;0,931076085;3,730342089
93,26007864;0,934938401;3,722135164
93,31168998;0,938798574;3,713948754
93,36315936;0,942656611;3,705782793
93,41448729;0,946512522;3,697637216
93,46567429;0,950366314;3,689511959
93,51672087;0,954217995;3,681406957
93,56762755;0,958067574;3,673322146
93,61839483;0,961915059;3,665257461
93,66902321;0,965760457;3,657212839
93,7195132;0,969603777;3,649188217
93,76986529;0,973445026;3,641183531
93,82007999;0,977284212;3,63319872
93,87015779;0,981121344;3,625233719
93,92009918;0,984956429;3,617288468
93,96990464;0,988789474;3,609362903
94,01957467;0,992620488;3,601456964
94,06910976;0,996449478;3,593570588
94,11851037;1,000276451;3,585703715
94,167777;1,004101416;3,577856284
94,21691012;1,00792438;3,570028234
94,26591021;1,01174535;3,562219505
94,31477773;1,015564334;3,554430037
94,36351315;1,019381339;3,546659769
94,41211696;1,023196373;3,538908643
94,4605896;1,027009443;3,5311766
94,50893155;1,030820556;3,523463579
94,55714326;1,03462972;3,515769522
94,60522519;1,038436942;3,508094371
94,65317781;1,042242228;3,500438068
94,70100155;1,046045587;3,492800554
94,74869688;1,049847025;3,485181771
94,79626425;1,05364655;3,477581663
94,84370409;1,057444168;3,470000172
94,89101687;1,061239886;3,462437241
94,93820301;1,065033712;3,454892813
94,98526296;1,068825652;3,447366831
95,03219717;1,072615714;3,439859239
95,07900605;1,076403904;3,432369982
95,12569006;1,080190229;3,424899003
95,17224962;1,083974695;3,417446247
95,21868517;1,087757311;3,410011659
95,26499712;1,091538081;3,402595183
95,31118591;1,095317014;3,395196764
95,35725196;1,099094115;3,387816348
95,4031957;1,102869392;3,380453881
95,44901753;1,10664285;3,373109308
95,49471789;1,110414497;3,365782575
95,54029718;1,114184339;3,358473629
95,58575583;1,117952383;3,351182415
95,63109424;1,121718634;3,343908882
95,67631282;1,1254831;3,336652975
95,72141198;1,129245787;3,329414643
95,76639212;1,133006701;3,322193831
95,81125366;1,136765848;3,314990489
95,85599699;1,140523236;3,307804563
95,90062252;1,144278869;3,300636001
95,94513064;1,148032755;3,293484753
95,98952174;1,1517849;3,286350766
96,03379624;1,155535309;3,27923399
96,0779545;1,15928399;3,272134372
96,12199694;1,163030947;3,265051862
96,16592393;1,166776188;3,25798641
96,20973587;1,170519717;3,250937964
96,25343314;1,174261542;3,243906475
96,29701613;1,178001669;3,236891893
96,34048521;1,181740102;3,229894167
96,38384077;1,185476849;3,222913248
96,42708318;1,189211915;3,215949086
96,47021283;1,192945306;3,209001633
96,51323009;1,196677028;3,202070838
96,55613532;1,200407086;3,195156654
96,59892891;1,204135487;3,188259032
96,64161123;1,207862237;3,181377922
96,68418263;1,21158734;3,174513277
96,7266435;1,215310804;3,167665049
96,76899418;1,219032632;3,160833189
96,81123506;1,222752832;3,15401765
96,85336648;1,226471409;3,147218385
96,89538881;1,230188368;3,140435346
96,93730241;1,233903715;3,133668486
96,97912812;1,237617456;3,128450471
97,0208596;1,241329595;3,122748902
97,06249712;1,245040137;3,117058814
97,10404096;1,248749087;3,111380179
97,14549139;1,252456451;3,105712967
97,18684868;1,256162233;3,100057151
97,2281131;1,259866438;3,094412703
97,26928492;1,263569071;3,088779595
97,31036441;1,267270136;3,083157799
97,35135183;1,270969639;3,077547287
97,39224746;1,274667585;3,071948033
97,43305156;1,278363978;3,066360007
97,47376438;1,282058823;3,060783184
97,5143862;1,285752124;3,055217535
97,55491728;1,289443887;3,049663034
97,59535788;1,293134116;3,044119653
97,63570825;1,296822816;3,038587365
97,67596867;1,300509992;3,033066143
97,71613937;1,304195648;3,02755596
97,75622063;1,307879788;3,02205679
97,79621269;1,311562418;3,016568606
97,83611581;1,315243542;3,011091381
97,87593025;1,318923165;3,005625089
97,91565626;1,322601291;3,000169702
97,95529409;1,326277925;2,994725196
97,99484399;1,329953071;2,989291544
98,0343062;1,333626733;2,983868719
98,07368099;1,337298917;2,978456695
98,11296859;1,340969627;2,973055447
98,15216926;1,344638867;2,967664948
98,19128324;1,348306641;2,962285173
98,23031077;1,351972954;2,956916095
98,26925209;1,355637811;2,95155769
98,30810746;1,359301215;2,946209932
98,34687711;1,362963171;2,940872795
98,38556129;1,366623684;2,935546253
98,42416023;1,370282758;2,930230282
98,46267418;1,373940396;2,924924857
98,50110336;1,377596604;2,919629951
98,53944803;1,381251385;2,91434554
98,57770841;1,384904745;2,909071599
98,61588474;1,388556686;2,903808103
98,65397726;1,392207213;2,898555028
98,69198619;1,395856331;2,893312348
98,72991178;1,399504044;2,888080038
98,76775426;1,403150355;2,882858075
98,80551385;1,40679527;2,877646434
98,84319078;1,410438791;2,872445089
98,88078529;1,414080923;2,867254018
98,9182976;1,417721671;2,862073195
98,95572794;1,421361038;2,856902596
98,99307654;1,424999029;2,851742198
99,03034363;1,428635647;2,846591976
99,06752942;1,432270896;2,841451906
99,10463414;1,435904781;2,836321964
99,00225484;1,439556159;-31,13979133
98,59292354;1,443222753;-30,99831299
98,18375387;1,446904686;-30,85746592
97,77473948;1,45060208;-30,71724724
97,36587392;1,45431506;-30,57765412
96,95715069;1,458043754;-30,43868373
96,54856321;1,461788289;-30,30033325
96,14010482;1,465548796;-30,16259987
95,73176881;1,469325407;-30,0254808
95,32354834;1,473118257;-29,88897326
94,91543654;1,476927482;-29,75307448
94,50742644;1,480753219;-29,61778171
94,09951099;1,484595609;-29,48309219
93,69168303;1,488454794;-29,34900321
93,28393535;1,492331006;-29,36424522
92,874176;1,496224389;-29,22279679
92,4645841;1,500135088;-29,08160089
92,05515833;1,504063251;-28,94060493
91,64589807;1,508009027;-28,79974806
91,23680358;1,511972568;-28,65895937
90,82787613;1,515954026;-28,51815569
90,41911823;1,519953558;-28,37723886
90,01053381;1,52397132;-28,23609217
89,60212861;1,52800747;-28,09457583
89,19391049;1,532062168;-27,95252108
88,78588994;1,536135577;-27,80972243
88,37808067;1,540227857;-27,66592739
87,97050039;1,544339175;-27,52082268
87,56317176;1,548469694;-27,37401537
87,15612379;1,552619579;-27,22500693
86,74939346;1,556788995;-27,07315672
86,34302815;1,560978106;-26,91762975
85,93708878;1,565187074;-26,75732056
85,53165423;1,569416058;-26,59073961
85,1268277;1,573665212;-26,41583962
84,7227458;1,577934682;-26,22974209
84,31959221;1,582224604;-26,02829257
83,91761862;1,586535094;-25,80530899
83,51717788;1,590866245;-25,55125232
83,11877906;1,595218109;-25,25074494
82,723183;1,599590672;-24,87761787
82,33157879;1,603983812;-24,38415617
81,94593592;1,608397211;-23,67499288
81,56978203;1,612830152;-22,53294392
81,21018804;1,617280963;-20,3482426
80,88414984;1,621744539;-14,39624027
80,65281847;1,626222288;-15,83660069
80,39753409;1,630714192;-15,66717216
80,14418251;1,635220229;-15,49450967
79,89283476;1,639740368;-15,31837319
79,64356652;1,644274575;-15,13849997
79,39645857;1,648822809;-14,95460168
79,15159726;1,653385022;-14,76636087
78,90907504;1,657961158;-14,57342691
78,6689911;1,662551153;-14,37541115
78,43145205;1,667154936;-14,17188114
78,19657273;1,671772423;-13,96235372
77,96447715;1,676403524;-13,74628654
77,73529958;1,681048135;-13,52306782
77,50918579;1,68570614;-13,2920037
77,28629456;1,690377413;-13,05230237
77,06679947;1,695061808;-12,80305416
76,85089101;1,699759169;-12,54320611
76,63877913;1,704469319;-12,27152893
76,43069649;1,709192061;-11,98657359
76,2269023;1,713927178;-11,68661306
76,02768737;1,718674428;-11,36956245
75,83338042;1,72343354;-11,03286696
75,64435646;1,728204213;-10,6733401
75,461048;1,732986108;-10,2869219
75,28396047;1,737778843;-9,868302644
75,11369431;1,742581983;-9,410307134
74,95097784;1,747395028;-8,902820628
74,796719;1,752217398;-8,330752516
74,65209271;1,7570484;-7,669706028
74,5187042;1,761887178;-6,875062889
74,39894334;1,766733525;-6,660091965
74,2827457;1,77158742;-6,609449451
74,16725205;1,776448836;-6,557239137
74,05249316;1,781317747;-6,503342449
73,93850206;1,786194123;-6,447628207
73,82531424;1,791077932;-6,389950748
73,71296798;1,795969136;-6,330147663
73,60150462;1,800867697;-6,268037077
73,49096891;1,805773572;-6,20341432
73,38140949;1,810686713;-6,136047852
73,27287932;1,815607069;-6,065674203
73,16543632;1,820534584;-5,991991613
73,05914407;1,825469195;-5,914651978
72,95407263;1,830410836;-5,833250477
72,85029965;1,835359431;-5,747312022
72,74791161;1,840314901;-5,656273277
72,64700545;1,845277154;-5,559458296
72,54769067;1,850246091;-5,456044828
72,45009198;1,855221604;-5,345016461
72,35435287;1,860203569;-5,225092625
72,26064044;1,86519185;-5,094622459
72,16915218;1,870186292;-4,951416779
72,08012575;1,875186719;-4,792467316
71,99385397;1,880192927;-4,613444267
71,91070886;1,885204678;-4,407711283
71,8311836;1,890221682;-4,164131099
71,75597434;1,895243571;-3,861121395
71,68616989;1,90026983;-3,443720208
71,62385739;1,905298862;-2,182770036
71,58433939;1,910327895;0
71,5448214;1,915356928;-2,182769411
71,54219968;1,920388739;-0,144730578
71,54997227;1,925420734;0,429064768
71,565672;1,930452183;0,86675596
71,58790113;1,935482527;1,227501605
71,61572831;1,94051131;1,537106466
71,64847599;1,945538139;1,809605401
71,68562291;1,95056267;2,053642392
71,72675232;1,955584597;2,274990321
71,7715214;1,960603645;2,477731859
71,81964195;1,965619562;2,664880454
71,87086751;1,970632119;2,838735389
71,92498433;1,975641102;3,001098167
71,98180493;1,980646317;3,153411211
72,04116324;1,985647581;3,296850488
72,10291095;1,990644724;3,432389486
72,16691468;1,995637588;3,5608447
72,23305371;2,000626023;3,68290876
72,30121822;2,005609891;3,799175082
72,37130781;2,01058906;3,910156548
72,4432303;2,015563407;4,016299895
72,51690073;2,020532816;4,117996962
72,59224054;2,025497176;4,21559359
72,66917684;2,030456384;4,309396756
72,74764182;2,035410341;4,39968034
72,82757225;2,040358955;4,486689848
72,90890899;2,045302138;4,570646292
72,99159665;2,050239806;4,651749423
73,07558322;2,05517188;4,730180437
73,1609142;2,060098287;4,811428406
73,2478456;2,065018947;4,907392369
73,336313;2,069933767;5,000035603
73,42625606;2,074842659;5,089577515
73,51761816;2,079745537;5,176216921
73,61034606;2,084642322;5,260134603
73,70438961;2,089532939;5,341495469
73,79970149;2,094417316;5,420450397
73,89623698;2,099295384;5,497137806
73,99395378;2,10416708;5,57168502
74,09281179;2,109032343;5,644209435
74,19277299;2,113891114;5,714819542
74,29380124;2,118743338;5,783615819
74,3958622;2,123588965;5,850691503
74,49892315;2,128427943;5,916133284
74,60295296;2,133260228;5,980021904
74,7079219;2,138085774;6,042432693
74,81380161;2,14290454;6,10343605
74,92056499;2,147716487;6,163097857
75,02818615;2,152521576;6,221479868
75,13664029;2,157319773;6,27864004
75,24590368;2,162111044;6,334632842
75,35595358;2,166895357;6,38950953
75,46676819;2,171672684;6,443318388
75,5783266;2,176442995;6,496104962
75,69060871;2,181206266;6,547912252
75,80332724;2,18596247;6,583127974
75,91552655;2,190711602;6,562562897
76,02721041;2,195453715;6,542082667
76,13838253;2,200188862;6,521686737
76,24904658;2,204917094;6,501374562
76,35920618;2,209638465;6,481145606
76,46886493;2,214353024;6,460999336
76,57802638;2,219060823;6,440935227
76,68669404;2,22376191;6,420952756
76,79487138;2,228456336;6,401051409
76,90256184;2,233144149;6,381230674
77,00976881;2,237825397;6,361490046
77,11649567;2,242500129;6,341829026
77,22274573;2,247168391;6,322247118
77,32852228;2,25183023;6,302743831
77,43382859;2,256485692;6,28331868
77,53866787;2,261134823;6,263971185
77,6430433;2,265777668;6,24470087
77,74695805;2,270414271;6,225507263
77,85041524;2,275044677;6,206389898
77,95341794;2,27966893;6,187348313
78,05596923;2,284287073;6,168382051
78,15807211;2,288899148;6,149490657
78,2597296;2,293505198;6,130673683
78,36094465;2,298105265;6,111930685
78,46172019;2,30269939;6,093261223
78,56205913;2,307287615;6,074664859
78,66196433;2,31186998;6,056141162
78,76143866;2,316446524;6,037689704
78,86048492;2,321017289;6,019310062
78,9591059;2,325582313;6,001001814
79,05730436;2,330141635;5,982764545
79,15508304;2,334695294;5,964597842
79,25244464;2,339243328;5,946501297
79,34939185;2,343785774;5,928474505
79,44592731;2,348322671;5,910517065
79,54205365;2,352854055;5,892628579
79,63777349;2,357379963;5,874808654
79,73308938;2,361900431;5,857056899
79,82800389;2,366415495;5,839372927
79,92251955;2,370925191;5,821756355
80,01663886;2,375429553;5,804206803
80,11036429;2,379928617;5,786723895
80,20369831;2,384422418;5,769307256
80,29664335;2,388910989;5,751956517
80,38920181;2,393394364;5,734671312
80,48137609;2,397872578;5,717451276
80,57316855;2,402345662;5,700296049
80,66458154;2,406813651;5,683205273
80,75561737;2,411276576;5,666178596
80,84627836;2,41573447;5,649215664
80,93656676;2,420187366;5,632316131
81,02648485;2,424635293;5,615479651
81,11603487;2,429078285;5,598705881
81,20521835;2,433516372;5,581952749
81,29403391;2,437949584;5,565036255
81,38248377;2,442377954;5,548183362
81,47057012;2,44680151;5,531393723
81,55829516;2,451220283;5,514666996
81,64566103;2,455634304;5,498002843
81,73266989;2,460043602;5,481400926
81,81932385;2,464448205;5,464860912
81,90562502;2,468848144;5,44838247
81,99157549;2,473243446;5,431965273
82,07717733;2,477634141;5,415608994
82,16243258;2,482020257;5,39931331
82,24734327;2,486401821;5,383077903
82,33191142;2,490778862;5,366902453
82,41613902;2,495151408;5,350786646
82,500078;2,499519484;5,337906567
82,58371848;2,503883116;5,324340849
82,66708259;2,508242329;5,312128641
82,7501749;2,512597146;5,30015302
82,83299673;2,51694759;5,28821103
82,91554944;2,521293684;5,276302533
82,99783434;2,525635451;5,264427387
83,07985276;2,529972914;5,252585454
83,16160599;2,534306094;5,240776597
83,24309533;2,538635015;5,229000679
83,32432208;2,542959698;5,217257563
83,40528751;2,547280165;5,205547115
83,48599287;2,551596438;5,193869201
83,56643945;2,555908539;5,182223687
83,64662847;2,560216488;5,170610441
83,72656118;2,564520308;5,159029332
83,80623882;2,568820019;5,147480229
83,88566259;2,573115642;5,135963002
83,96483373;2,577407197;5,124477522
