,Cycle,Cell12
5592,1,0.03032001
11139,2,0.0306566
16686,3,0.0306551
22232,4,0.03065027
27778,5,0.0306517
33323,6,0.03064407
38869,7,0.03064532
44414,8,0.03064153
49959,9,0.03064373
55504,10,0.0306386
61049,11,0.03064063
66594,12,0.03063633
72138,13,0.03063344
77683,14,0.03063805
83227,15,0.03063253
88771,16,0.03063409
94315,17,0.03063202
99859,18,0.03063038
105403,19,0.0306315
110947,20,0.0306293
116491,21,0.03063194
122035,22,0.03063077
127579,23,0.03063017
133123,24,0.03063081
138667,25,0.03062797
148132,26,0.03067288
153681,27,0.03067068
159229,28,0.03066539
164777,29,0.03066435
170325,30,0.03066401
175872,31,0.03065729
181419,32,0.03065979
186966,33,0.03065643
192513,34,0.03065566
198060,35,0.03065303
203606,36,0.0306526
209152,37,0.03065135
214698,38,0.03064993
220244,39,0.03064791
225790,40,0.03065247
231336,41,0.03065096
236882,42,0.03064739
242428,43,0.03064713
247974,44,0.03064773
253519,45,0.03064425
259065,46,0.03064756
264611,47,0.03064562
270157,48,0.03064511
275703,49,0.03064554
281248,50,0.0306436
286793,51,0.03064395
292339,52,0.03064524
297884,53,0.03064283
303430,54,0.03064489
308976,55,0.0306445
314521,56,0.0306433
320066,57,0.03064356
325611,58,0.03064209
331157,59,0.03064696
336702,60,0.03064433
342247,61,0.03064381
347793,62,0.03064593
353339,63,0.03064455
358885,64,0.03064619
364431,65,0.03064532
369977,66,0.03064597
375523,67,0.03064782
381069,68,0.03064704
386615,69,0.03064666
392161,70,0.03064722
397707,71,0.03064691
403253,72,0.030647
408799,73,0.03064842
414345,74,0.03064803
419891,75,0.03065096
428676,76,0.0307198
434228,77,0.03069677
439779,78,0.03069535
445330,79,0.03069152
450881,80,0.03069109
456431,81,0.03068566
461981,82,0.03068657
467531,83,0.03068515
473081,84,0.03068304
478631,85,0.03068045
484181,86,0.03068067
489730,87,0.03067615
495279,88,0.03067852
500828,89,0.03067598
506377,90,0.03067503
511926,91,0.03067326
517475,92,0.03067236
523024,93,0.03067132
528572,94,0.0306681
534121,95,0.03067077
539669,96,0.03066904
545217,97,0.03066835
550765,98,0.03066758
556313,99,0.03066581
561861,100,0.03066625
567409,101,0.03066431
572957,102,0.03066771
578505,103,0.03066418
584053,104,0.0306665
589601,105,0.03066315
595149,106,0.03066366
600697,107,0.03066375
606244,108,0.03066
611792,109,0.03066483
617340,110,0.03066241
622888,111,0.03066233
628435,112,0.03066031
633983,113,0.03066224
639530,114,0.03066009
645078,115,0.03066168
650625,116,0.0306585
656172,117,0.03066125
661719,118,0.03065764
667266,119,0.0306613
672813,120,0.03065832
678360,121,0.03065897
683907,122,0.03065824
689454,123,0.03065888
695001,124,0.03065746
700548,125,0.03065918
710030,126,0.0306892
715580,127,0.03068652
721130,128,0.0306789
726679,129,0.03067809
732228,130,0.03067653
737777,131,0.03067421
743326,132,0.03067245
748874,133,0.03066724
754422,134,0.03066715
759970,135,0.03066655
765518,136,0.03066448
771066,137,0.03066405
776613,138,0.03066056
782160,139,0.03065992
787707,140,0.03065828
793254,141,0.03065677
798801,142,0.0306557
804348,143,0.03065385
809895,144,0.03065381
815441,145,0.03065213
820987,146,0.03065109
826533,147,0.03065031
832079,148,0.03064911
837625,149,0.03064765
843171,150,0.03064459
848717,151,0.03064437
854262,152,0.03064257
859807,153,0.030643
865352,154,0.03064089
870897,155,0.03064183
876442,156,0.03064054
881987,157,0.03063955
887532,158,0.03063813
893077,159,0.03063753
898622,160,0.03063663
904167,161,0.03063736
909712,162,0.03063589
915256,163,0.03063482
920800,164,0.03063464
926344,165,0.03063396
931888,166,0.03063292
937432,167,0.03063124
942976,168,0.03062978
948520,169,0.03062961
954064,170,0.03063081
959608,171,0.03062776
965152,172,0.0306278
970695,173,0.0306253
976237,174,0.03062565
981779,175,0.03062479
987322,176,0.03062349
992865,177,0.03062259
998408,178,0.03061992
1003951,179,0.03062233
1009494,180,0.03062018
1015032,181,0.03056665
1020578,182,0.03065002
1026120,183,0.03061751
1031662,184,0.03061368
1037204,185,0.030612
1042746,186,0.03061251
1048288,187,0.03061127
1053830,188,0.03061097
1059372,189,0.03060993
1064914,190,0.03061023
1070455,191,0.03060804
1075995,192,0.03060679
1081536,193,0.03060464
1087077,194,0.03060481
1092617,195,0.03059921
1098158,196,0.03060209
1103699,197,0.03060201
1109239,198,0.03059977
1114779,199,0.0306011
1120319,200,0.03059559
1125859,201,0.0305968
1131399,202,0.03059719
1136939,203,0.03059568
1142479,204,0.03059366
1148019,205,0.03059284
1153558,206,0.03059194
1159097,207,0.03059034
1164637,208,0.03059985
1170176,209,0.03059564
1175714,210,0.03058238
1181253,211,0.0305878
1186792,212,0.0305875
1192330,213,0.03058376
1197869,214,0.03059495
1203408,215,0.03059352
1208946,216,0.03058419
1214484,217,0.03058418
1220022,218,0.0305829
1225559,219,0.0305795
1231096,220,0.03057824
1236636,221,0.03057137
1242174,222,0.03058625
1247711,223,0.03057816
1253248,224,0.03057787
1258785,225,0.03057692
1268237,226,0.03058513
1273775,227,0.03058199
1279313,228,0.03057635
1284850,229,0.03057368
