,Cycle,Cell04
4831,1,0.02435053
9613,2,0.02458551
14386,3,0.02450875
19158,4,0.0245022
23930,5,0.02450015
28700,6,0.02448791
33468,7,0.02447018
38234,8,0.02445386
42998,9,0.02443519
47761,10,0.02442502
52523,11,0.02441894
57285,12,0.02441765
62047,13,0.0244133
66809,14,0.02441605
71570,15,0.02441223
76331,16,0.02441136
81093,17,0.02441287
85854,18,0.02440964
90615,19,0.02441016
95376,20,0.02441089
100138,21,0.02441356
104900,22,0.02441899
109661,23,0.02441103
114423,24,0.0244199
119186,25,0.02442713
127836,26,0.02458035
132599,27,0.02442459
137352,28,0.02434359
142103,29,0.02431936
146853,30,0.02431015
151603,31,0.02431436
156352,32,0.02430583
161102,33,0.02430955
165851,34,0.02430787
170600,35,0.02430369
175350,36,0.02431033
180099,37,0.0243086
184848,38,0.02430748
189597,39,0.02430837
194346,40,0.02430162
199095,41,0.02430063
203844,42,0.02429925
208593,43,0.02430356
213342,44,0.02429955
218091,45,0.0243005
222840,46,0.02430446
227589,47,0.02430907
232339,48,0.02430976
237090,49,0.02431971
241841,50,0.02431914
246591,51,0.02430924
251341,52,0.02431419
256091,53,0.02431337
260841,54,0.02431096
265591,55,0.02431217
270340,56,0.02430618
275090,57,0.02431217
279840,58,0.02431165
284589,59,0.02430696
289339,60,0.02431153
294089,61,0.02431467
298838,62,0.02430722
303587,63,0.02430671
308336,64,0.02430476
313086,65,0.02430864
317835,66,0.02430807
322584,67,0.02430511
327333,68,0.02430605
332082,69,0.02430623
336831,70,0.0243064
341580,71,0.0243064
346330,72,0.02430795
351081,73,0.02431673
355831,74,0.02430967
360580,75,0.02430407
368597,76,0.02447706
373348,77,0.02432491
378095,78,0.02428427
382842,79,0.02428646
387589,80,0.0242884
392336,81,0.02428319
397082,82,0.02428078
401826,83,0.02427398
406571,84,0.02427144
411315,85,0.02426951
416060,86,0.02427373
420804,87,0.02427058
425548,88,0.02425856
430291,89,0.02425038
435034,90,0.02424832
439776,91,0.02424018
444517,92,0.02423346
449258,93,0.02423162
453998,94,0.02422504
458737,95,0.02422091
463476,96,0.02422047
468215,97,0.0242174
472954,98,0.02421664
477693,99,0.02421444
482431,100,0.02420759
487169,101,0.02420475
491906,102,0.02419614
496643,103,0.02420079
501380,104,0.02419777
506116,105,0.02419554
510852,106,0.02419071
515589,107,0.02419536
520325,108,0.02419528
525061,109,0.02419343
529797,110,0.02419205
534533,111,0.02419265
539269,112,0.02418908
544004,113,0.02418456
548739,114,0.02418606
553474,115,0.02418094
558208,116,0.02417793
562943,117,0.02418154
567678,118,0.02417935
572412,119,0.02417306
577146,120,0.02417323
581880,121,0.02417833
586614,122,0.0241775
591347,123,0.02416876
