,Cycle,Cell12
2069,1,4.04448005
7577,2,4.05333028
13124,3,4.05363546
18671,4,4.05363546
24217,5,4.05378805
29763,6,4.05363546
35308,7,4.05378805
40854,8,4.05378805
46399,9,4.05394064
51944,10,4.05394064
57489,11,4.05394064
63034,12,4.05424582
68579,13,4.05394064
74123,14,4.05424582
79668,15,4.05409323
85212,16,4.05439841
90756,17,4.05409323
96300,18,4.05424582
101844,19,4.05470359
107388,20,4.05424582
112932,21,4.05439841
118476,22,4.05409323
124020,23,4.05424582
129564,24,4.05409323
135108,25,4.05409323
144568,26,4.05195697
150117,27,4.05195697
155666,28,4.05210956
161214,29,4.05256733
166762,30,4.05241474
172310,31,4.05241474
177857,32,4.05241474
183404,33,4.05256733
188951,34,4.05256733
194498,35,4.05271992
200045,36,4.05271992
205591,37,4.05271992
211137,38,4.0530251
216683,39,4.05287251
222229,40,4.05271992
227775,41,4.05287251
233321,42,4.05287251
238867,43,4.05256733
244413,44,4.05317769
249959,45,4.0530251
255504,46,4.0530251
261050,47,4.05287251
266596,48,4.05317769
272142,49,4.0530251
277688,50,4.0530251
283233,51,4.0530251
288778,52,4.05256733
294324,53,4.05271992
299869,54,4.0530251
305415,55,4.0530251
310961,56,4.05287251
316506,57,4.05287251
322051,58,4.0530251
327596,59,4.05287251
333142,60,4.05287251
338687,61,4.05287251
344232,62,4.05287251
349778,63,4.05287251
355324,64,4.05271992
360870,65,4.05271992
366416,66,4.05271992
371962,67,4.05256733
377508,68,4.05256733
383054,69,4.05287251
388600,70,4.05256733
394146,71,4.05256733
399692,72,4.05256733
405238,73,4.05256733
410784,74,4.05241474
416330,75,4.05241474
425107,76,4.0499733
430661,77,4.04982071
436213,78,4.0499733
441764,79,4.0499733
447315,80,4.05012589
452866,81,4.05012589
458416,82,4.05027848
463966,83,4.05043107
469516,84,4.05043107
475066,85,4.05058366
480616,86,4.05043107
486166,87,4.05058366
491715,88,4.05043107
497264,89,4.05058366
502813,90,4.05104143
508362,91,4.05073625
513911,92,4.05073625
519460,93,4.05088884
525009,94,4.05058366
530557,95,4.05119402
536106,96,4.05119402
541654,97,4.05119402
547202,98,4.05134661
552750,99,4.05088884
558298,100,4.05119402
563846,101,4.05104143
569394,102,4.05104143
574942,103,4.05119402
580490,104,4.05119402
586038,105,4.05073625
591586,106,4.05119402
597134,107,4.05104143
602682,108,4.05104143
608229,109,4.05119402
613777,110,4.05104143
619325,111,4.05134661
624873,112,4.05134661
630420,113,4.05119402
635968,114,4.05119402
641515,115,4.05119402
647063,116,4.05088884
652610,117,4.05104143
658157,118,4.05088884
663704,119,4.05119402
669251,120,4.05088884
674798,121,4.05104143
680345,122,4.05104143
685892,123,4.05119402
691439,124,4.05073625
696986,125,4.05104143
706464,126,4.04966812
712015,127,4.04951553
717565,128,4.04951553
723115,129,4.04966812
728664,130,4.04966812
734213,131,4.04966812
739762,132,4.04982071
745311,133,4.04982071
750859,134,4.0499733
756407,135,4.0499733
761955,136,4.05012589
767503,137,4.05012589
773051,138,4.05012589
778598,139,4.05012589
784145,140,4.05027848
789692,141,4.05043107
795239,142,4.05027848
800786,143,4.05027848
806333,144,4.05027848
811880,145,4.05058366
817426,146,4.05058366
822972,147,4.05043107
828518,148,4.05058366
834064,149,4.05043107
839610,150,4.05073625
845156,151,4.05058366
850702,152,4.05058366
856247,153,4.05073625
861792,154,4.05088884
867337,155,4.05073625
872882,156,4.05104143
878427,157,4.05073625
883972,158,4.05073625
889517,159,4.05088884
895062,160,4.05073625
900607,161,4.05073625
906152,162,4.05119402
911697,163,4.05104143
917241,164,4.05104143
922785,165,4.05119402
928329,166,4.05088884
933873,167,4.05088884
939417,168,4.05073625
944961,169,4.05088884
950505,170,4.05088884
956049,171,4.05104143
961593,172,4.05119402
967137,173,4.05104143
972679,174,4.05119402
978221,175,4.05134661
983764,176,4.05119402
989307,177,4.05134661
994850,178,4.05134661
1000393,179,4.05119402
1005936,180,4.0514992
1011479,181,4.05134661
1017017,182,4.05210956
1022563,183,4.05119402
1028105,184,4.05119402
1033647,185,4.0514992
1039189,186,4.0514992
1044731,187,4.05165179
1050273,188,4.05165179
1055815,189,4.05165179
1061357,190,4.05180438
1066899,191,4.05180438
1072439,192,4.05165179
1077980,193,4.05165179
1083521,194,4.05134661
1089062,195,4.05180438
1094602,196,4.05180438
1100143,197,4.05180438
1105684,198,4.05165179
1111224,199,4.05180438
1116764,200,4.05195697
1122304,201,4.05180438
1127844,202,4.05180438
1133384,203,4.05165179
1138924,204,4.05210956
1144464,205,4.05180438
1150004,206,4.05195697
1155543,207,4.05195697
1161082,208,4.05195697
1166622,209,4.05180438
1172161,210,4.05195697
1177699,211,4.05195697
1183238,212,4.05210956
1188777,213,4.05210956
1194315,214,4.05195697
1199854,215,4.05210956
1205393,216,4.05195697
1210931,217,4.05195697
1216469,218,4.05180438
1222007,219,4.05195697
1227544,220,4.05195697
1233084,221,4.05195697
1238621,222,4.05256733
1244159,223,4.05241474
1249696,224,4.05226215
1255233,225,4.05210956
1264683,226,4.05165179
1270222,227,4.05165179
1275760,228,4.05165179
1281298,229,4.05165179
1286835,230,4.05180438
1292372,231,4.05180438
1297908,232,4.05210956
1303444,233,4.05210956
1308980,234,4.05210956
1314516,235,4.05210956
1320051,236,4.05210956
1325586,237,4.05226215
1331121,238,4.05241474
1336655,239,4.05210956
1342189,240,4.05256733
1347723,241,4.05271992
1353257,242,4.05271992
1358790,243,4.05256733
1364323,244,4.05271992
1369856,245,4.05271992
1375389,246,4.05271992
1380922,247,4.05287251
1386454,248,4.05271992
1391986,249,4.05256733
1397518,250,4.05287251
1403050,251,4.05287251
1408582,252,4.0530251
1414113,253,4.0530251
1419644,254,4.05317769
1425175,255,4.05333028
1430706,256,4.05317769
1436236,257,4.05317769
1441766,258,4.05333028
1447296,259,4.05333028
1452826,260,4.0530251
1458356,261,4.05348287
1463885,262,4.05348287
1469414,263,4.05333028
1474943,264,4.05348287
1480472,265,4.05333028
1486001,266,4.05348287
1491529,267,4.05378805
1497058,268,4.05348287
