,Cycle,Cell10
2067,1,4.03608759
7590,2,4.04570077
13154,3,4.04615854
18718,4,4.04570077
24282,5,4.04615854
29846,6,4.04615854
35409,7,4.04615854
40972,8,4.04661631
46535,9,4.04631113
52098,10,4.04646372
57661,11,4.04631113
63224,12,4.04661631
68786,13,4.0467689
74348,14,4.04661631
79910,15,4.0467689
85472,16,4.0467689
91034,17,4.04692149
96596,18,4.04692149
102158,19,4.04661631
107720,20,4.04692149
113282,21,4.04692149
118844,22,4.04707408
124406,23,4.04707408
129968,24,4.04707408
135529,25,4.0467689
145032,26,4.045243
150595,27,4.04554818
156158,28,4.04554818
161720,29,4.04554818
167282,30,4.04585336
172844,31,4.04585336
178406,32,4.04585336
183968,33,4.04585336
189529,34,4.04585336
195090,35,4.04585336
200650,36,4.04600595
206211,37,4.04600595
211772,38,4.04585336
217333,39,4.04615854
222894,40,4.04631113
228455,41,4.04646372
234016,42,4.04600595
239577,43,4.04615854
245138,44,4.04631113
250699,45,4.04600595
256259,46,4.04631113
261820,47,4.04615854
267381,48,4.04631113
272942,49,4.04585336
278503,50,4.04615854
284063,51,4.04615854
289624,52,4.04615854
295185,53,4.04631113
300746,54,4.04600595
306306,55,4.04631113
311866,56,4.04615854
317426,57,4.04615854
322986,58,4.04615854
328546,59,4.04631113
334107,60,4.04585336
339668,61,4.04631113
345229,62,4.04615854
350790,63,4.04615854
356350,64,4.04615854
361911,65,4.04600595
367472,66,4.04615854
373033,67,4.04585336
378594,68,4.04600595
384155,69,4.04585336
389716,70,4.04585336
395277,71,4.04585336
400838,72,4.04570077
406399,73,4.04585336
411960,74,4.04570077
417521,75,4.04585336
426312,76,4.04402228
431879,77,4.04325933
437443,78,4.04356451
443007,79,4.0437171
448570,80,4.0437171
454133,81,4.0437171
459696,82,4.04417487
465259,83,4.0437171
470822,84,4.04417487
476385,85,4.04417487
481948,86,4.04432746
487510,87,4.04417487
493072,88,4.04402228
498634,89,4.04417487
504196,90,4.04417487
509758,91,4.04417487
515320,92,4.04417487
520882,93,4.04417487
526444,94,4.04417487
532006,95,4.04432746
537568,96,4.04402228
543130,97,4.04402228
548692,98,4.04417487
554254,99,4.04417487
559816,100,4.04386969
565378,101,4.04432746
570940,102,4.04402228
576502,103,4.04417487
582064,104,4.04432746
587626,105,4.04402228
593187,106,4.04417487
598749,107,4.04432746
604310,108,4.04432746
609871,109,4.04432746
615433,110,4.04417487
620995,111,4.04432746
626557,112,4.04432746
632118,113,4.04432746
637680,114,4.04417487
643241,115,4.04402228
648803,116,4.04432746
654364,117,4.04402228
659926,118,4.04386969
665487,119,4.04386969
671049,120,4.04432746
676610,121,4.04402228
682171,122,4.04402228
687732,123,4.04386969
