,Cycle,Cell12
6493,1,3.33707179
12040,2,3.33325704
17587,3,3.330663
23133,4,3.32883192
28679,5,3.32700084
34224,6,3.32623789
39770,7,3.32501717
45315,8,3.32394903
50860,9,3.3228809
56405,10,3.32196536
61950,11,3.321355
67495,12,3.32028687
73039,13,3.3198291
78584,14,3.31891356
84128,15,3.31799802
89672,16,3.31738766
95216,17,3.31677729
100760,18,3.31601434
106304,19,3.31555657
111848,20,3.3150988
117392,21,3.31433585
122936,22,3.3135729
128480,23,3.31311513
134024,24,3.31250477
139568,25,3.31174182
149033,26,3.29999237
154582,27,3.29999237
160130,28,3.29999237
165678,29,3.2995346
171226,30,3.29922942
176773,31,3.29907683
182320,32,3.29846647
187867,33,3.29816129
193414,34,3.29785611
198961,35,3.29724575
204507,36,3.29663539
210053,37,3.29633021
215599,38,3.29602502
221145,39,3.29571984
226691,40,3.29495689
232237,41,3.29419394
237783,42,3.29434653
243329,43,3.29373617
248875,44,3.29312581
254420,45,3.29266804
259966,46,3.29205768
265512,47,3.2917525
271058,48,3.29114214
276604,49,3.29083696
282149,50,3.29037919
287694,51,3.28992142
293240,52,3.28946365
298785,53,3.28885328
304331,54,3.2885481
309877,55,3.28809033
315422,56,3.28763256
320967,57,3.2870222
326512,58,3.28671702
332058,59,3.28610666
337603,60,3.2854963
343148,61,3.28534371
348694,62,3.28458076
354240,63,3.28412299
359786,64,3.28351263
365332,65,3.28320745
370878,66,3.28274968
376424,67,3.28213931
381970,68,3.28137636
387516,69,3.28091859
393062,70,3.28061341
398608,71,3.28015564
404154,72,3.27954528
409700,73,3.27939269
415246,74,3.27862974
420792,75,3.27801938
429577,76,3.26764324
435129,77,3.26749065
440680,78,3.26749065
446231,79,3.26718547
451782,80,3.26718547
457332,81,3.26703288
462882,82,3.26657511
468432,83,3.26657511
473982,84,3.26611734
479532,85,3.26581216
485082,86,3.26581216
490631,87,3.26565957
496180,88,3.26535439
501729,89,3.26504921
507278,90,3.26459144
512827,91,3.26428626
518376,92,3.26398108
523925,93,3.26398108
529473,94,3.2636759
535022,95,3.26352331
540570,96,3.26291295
546118,97,3.26276036
551666,98,3.26230259
