,Cycle,CE
0,1,98.66375523714866
1,2,100.09301147578209
2,3,100.03312926361889
3,4,100.04406578087348
4,5,100.05428365777922
5,6,100.02495922961725
6,7,100.06918599885238
7,8,100.0663398128496
8,9,100.06069326900173
9,10,100.02939237011223
10,11,100.06597539178013
11,12,100.05126145253533
12,13,100.05471613748892
13,14,100.05690660920246
14,15,100.06380452088108
15,16,100.03946463651539
16,17,100.05855956590466
17,18,100.06326490662273
18,19,100.05971510644547
19,20,100.07374703890322
20,21,100.0612187956474
21,22,100.06400885838835
22,23,100.05175507703082
23,24,100.06576769558639
24,25,100.05229825101738
25,26,100.04406313563128
26,27,100.07114973925455
27,28,100.08339771724776
28,29,100.05363346158249
29,30,100.05056860922079
30,31,100.03365017844462
31,32,100.07166894322033
32,33,100.06140788543043
33,34,100.04583737928621
34,35,100.05840942097343
35,36,100.05271252857777
36,37,100.04574289421984
37,38,100.05414832691544
38,39,100.07068778445934
39,40,100.04784576106857
40,41,100.04972429361044
41,42,100.07668265457016
42,43,100.07395048776029
43,44,100.05873173484213
44,45,100.0750660878103
45,46,100.06995318517606
46,47,100.06578690862482
47,48,100.03623484793167
48,49,100.05986451945267
49,50,100.06168668874864
50,51,100.07190794464682
51,52,100.05776804482625
52,53,100.03937347304235
53,54,100.05648230614838
54,55,100.07359755165844
55,56,100.06599296331484
56,57,100.04445194162676
57,58,100.07140458143667
58,59,100.0590279514388
59,60,100.06486724204278
60,61,100.07047770359232
61,62,100.06553288904381
62,63,100.08655033143718
63,64,100.07384074700664
64,65,100.09665029974244
65,66,100.06923398833416
66,67,100.06367777068415
67,68,100.05191842427581
68,69,100.0946775379879
69,70,100.03997444274968
70,71,100.06446892894665
71,72,100.05892207267055
72,73,100.08985225274398
73,74,100.06540028107267
74,75,100.05418390512479
75,76,100.07115017136479
76,77,100.0718931759745
77,78,100.05360671474959
78,79,100.0515295816645
79,80,100.0470832322639
80,81,100.0347687739001
81,82,100.03236301171947
82,83,100.07215297311558
83,84,100.03297869763325
84,85,100.02891048762356
85,86,100.05124757538353
86,87,100.05163669589072
87,88,100.05810097994414
88,89,100.0394245667433
89,90,100.06579393647934
90,91,100.05438448729382
91,92,100.05940643211146
92,93,100.05120593282533
93,94,100.08179254826837
94,95,100.04403655144137
95,96,100.06669526612681
96,97,100.07557877942203
97,98,100.04609755235798
98,99,100.06423228337759
99,100,100.05550514375281
100,101,100.05540864010183
101,102,100.05886078677804
102,103,100.06289273417595
103,104,100.04951605790285
104,105,100.06374698473444
105,106,100.07122471674627
106,107,100.06762981551383
107,108,100.03903584773587
108,109,100.07800441471795
109,110,100.04806548853675
110,111,100.06395772151171
111,112,100.05599345783949
112,113,100.09599670488821
113,114,100.07499234856665
114,115,100.06537239292297
115,116,100.08489509668517
116,117,100.07929766193722
117,118,100.05365377204289
118,119,100.06928978249876
119,120,100.0881242712854
120,121,100.05797977851391
121,122,100.06070979499367
122,123,100.05649601730771
123,124,100.0606678449341
124,125,100.07353153045327
125,126,100.10601991378746
126,127,100.09179499118636
127,128,100.05410592454331
128,129,100.06937600965387
129,130,100.0377571896675
130,131,100.05785294037707
131,132,100.05281834705204
132,133,100.03202465176659
133,134,100.04562909870873
134,135,100.05219766032316
135,136,100.05014457519547
136,137,100.0485374349132
137,138,100.03166476678066
138,139,100.04718189593417
139,140,100.05481182200946
140,141,100.06026655161907
141,142,100.05722166304281
142,143,100.0486262527241
143,144,100.0689358562707
144,145,100.0620782530868
145,146,100.04567726701951
146,147,100.07862248068405
147,148,100.05956174799815
148,149,100.08207533669542
149,150,100.05077411032568
150,151,100.07147369511762
151,152,100.05364845720297
152,153,100.06880031196901
153,154,100.04078478393257
154,155,100.11659233812222
155,156,100.03145373600798
156,157,100.02629492769731
157,158,100.06193293181913
158,159,100.06511788679077
159,160,100.03400585012116
160,161,100.05897236333001
161,162,100.07862214276308
162,163,100.05991394483118
163,164,100.05790578539045
164,165,100.06525864175013
165,166,100.06494376004285
166,167,100.06044606179675
167,168,100.07990221889187
168,169,100.07365435613305
169,170,100.06690689107467
170,171,100.06510544007645
171,172,100.07415640799103
172,173,100.0562512952601
173,174,100.0302316887332
174,175,100.07955605151517
175,176,100.07788244726441
176,177,100.0499766607876
177,178,100.08513504140404
178,179,100.07830647700837
179,180,100.06997513114044
180,181,100.04804685883173
181,182,100.08565816071619
182,183,100.04626542367268
183,184,100.04913795901737
184,185,100.06450370224375
185,186,100.05407914028721
186,187,100.04994814799882
187,188,100.07727078900817
188,189,100.06639931370567
189,190,100.08233017370041
190,191,100.0578875256025
191,192,100.08941866097378
192,193,100.07462046439606
193,194,100.06066998276906
194,195,100.06010164578714
195,196,100.05026647966339
196,197,100.05157271528384
197,198,100.07307049282174
198,199,100.08116208843639
199,200,100.04074959039929
200,201,100.05562565673077
201,202,100.07043483682314
202,203,100.06901694930484
203,204,100.06555513175344
204,205,100.0453352193983
205,206,100.0675069151026
206,207,100.06317627135219
207,208,100.0878822074796
208,209,100.0623573203783
209,210,100.04952896882486
210,211,100.05889602854012
211,212,100.0882939349551
212,213,100.06559479742121
213,214,100.04523893924815
214,215,100.09454254696158
215,216,100.08498612287565
216,217,100.04538306175756
217,218,100.08524366278439
218,219,100.05922929845936
219,220,100.03580943972865
220,221,100.03705850118074
221,222,100.04699531455586
222,223,100.03241514841628
223,224,100.08928939069438
224,225,100.06496556881248
225,226,100.00400595589723
226,227,100.0721272055473
227,228,99.89218886397528
228,229,99.89766542215825
229,230,99.89070816943777
230,231,99.88059869457574
231,232,99.90733317719969
232,233,99.8871873798481
233,234,99.86833176116123
234,235,99.88459780814723
235,236,99.8707675382484
236,237,99.88915850671816
237,238,99.88347841192244
238,239,99.91224491062808
239,240,99.87781794704806
240,241,99.89784855158395
241,242,99.89562706783224
242,243,99.8894532028915
243,244,99.88751285325257
244,245,99.89679160948567
245,246,99.8958570675001
246,247,99.88491843346561
247,248,99.9050683756622
248,249,99.89927551936768
249,250,99.88136348225348
250,251,99.88739032021007
251,252,99.88770496816326
252,253,99.87272092859911
253,254,99.89890082987458
254,255,99.88642192215596
255,256,99.9120516462673
256,257,99.89399082842
257,258,99.89239767143341
258,259,99.89672821362507
259,260,99.91031817748373
260,261,99.90927480593153
261,262,99.88604755342905
262,263,99.91628923941903
263,264,99.89995105437507
264,265,99.89409420448281
265,266,99.88472534065394
266,267,99.90117487671012
267,268,99.90787406765828
268,269,99.91428189773514
269,270,99.8907196412966
270,271,99.91769992037311
271,272,99.89351996159438
272,273,99.91697017983154
273,274,99.91808042919251
274,275,99.9200136631465
275,276,99.88745335462441
276,277,99.89579946578719
277,278,99.92094118719224
278,279,99.90576610052261
279,280,99.90359732397113
280,281,99.90356968828274
281,282,99.89857775107137
282,283,99.91588031394036
283,284,99.91357327446046
284,285,99.93625633513302
285,286,99.91959680852399
286,287,99.8839839004122
287,288,99.91863884210225
288,289,99.90208241862706
289,290,99.92072716265496
290,291,99.90745749757077
291,292,99.90058085918709
292,293,99.91432400842471
293,294,99.91865629110414
294,295,99.9005429554404
295,296,99.90669503168195
296,297,99.89547273428003
297,298,99.92019030749901
298,299,99.89714441313393
299,300,99.91953548050367
300,301,99.89543640278332
301,302,99.92068605133933
302,303,99.90501121657786
303,304,99.90355158129015
304,305,99.90109318958417
305,306,99.91621512425894
306,307,99.89694361589201
307,308,99.91503214387889
308,309,99.91149873987513
309,310,99.89993393919654
310,311,99.88810089846203
311,312,99.90783579391486
312,313,99.91007029094297
313,314,99.90696916323326
314,315,99.90178249558568
315,316,99.91042163845714
316,317,99.91442265444843
317,318,99.91734250703219
318,319,99.89590239183212
319,320,99.89936110683242
320,321,99.92457728500071
321,322,99.91237295084088
322,323,99.91610656249082
323,324,99.91325955410349
324,325,99.91054936495803
325,326,100.00942445323805
326,327,99.95610618167444
327,328,99.91785437936684
328,329,99.90106467509052
329,330,99.88028384740014
330,331,99.88257437004485
331,332,99.89816483833238
332,333,99.88414921902876
333,334,99.88828880912992
334,335,99.92868297971498
335,336,99.89540339386036
336,337,99.89004111355848
337,338,99.87691055288782
338,339,99.88038146431776
339,340,99.8892577092562
340,341,99.88779007046023
341,342,99.91712234935905
342,343,99.87864259927797
343,344,99.86148191810271
344,345,99.89477098523845
345,346,99.88508990977218
346,347,99.89873968519036
347,348,99.89230498579886
348,349,99.89203058342274
349,350,99.88932581992134
350,351,99.8884321002744
351,352,99.90153903927832
352,353,99.89767955788294
353,354,99.90303969399513
354,355,99.89108547991982
355,356,99.87515018817396
356,357,99.88367516813118
357,358,99.89782382156322
358,359,99.88692887320877
359,360,99.89288199708854
360,361,99.87914649536457
361,362,99.89571925810704
362,363,99.90748359447461
363,364,99.89323129439609
364,365,99.92027708658723
365,366,99.89793638306094
366,367,99.90349119720975
367,368,99.9192829342808
368,369,99.89417108057327
369,370,99.91603596527466
370,371,99.8884577683861
371,372,99.92228533583172
372,373,99.89027058038815
373,374,99.90807000678976
374,375,99.9000044922136
375,376,99.92360638554906
376,377,99.93363374230981
377,378,99.92135844958796
378,379,99.9124266061982
379,380,99.9257881722345
380,381,99.90843335782118
381,382,99.91453925090119
382,383,99.92106233387887
383,384,99.90418820241294
384,385,99.90217700002457
385,386,99.91383044708202
386,387,99.91720465127429
387,388,99.89124867568954
388,389,99.902268642505
389,390,99.91878315159992
390,391,99.91515059306809
391,392,99.90272595584038
392,393,99.91532867231142
393,394,99.91192770576359
394,395,99.90829287717922
395,396,99.9099656908947
