,Cycle,Cell06
6395,1,3.27588312
11835,2,3.27222095
17274,3,3.27115282
22713,4,3.26977951
28152,5,3.26779583
33589,6,3.26764324
39027,7,3.26611734
44465,8,3.26474403
49904,9,3.26337072
55342,10,3.2636759
60780,11,3.26199741
66219,12,3.26108186
71658,13,3.26031891
77097,14,3.2589456
82537,15,3.25803006
87977,16,3.2574197
93417,17,3.25635157
98857,18,3.2558938
104297,19,3.25497826
109737,20,3.25452049
115177,21,3.25360494
120617,22,3.2526894
126057,23,3.25207904
131498,24,3.25085832
136939,25,3.25070573
138768,26,3.2355993
139391,27,3.23682002
140014,28,3.23682002
140637,29,3.23682002
141260,30,3.23620966
141883,31,3.23636225
142506,32,3.2355993
143129,33,3.23483635
143752,34,3.23437858
144375,35,3.23361563
144998,36,3.23315785
145620,37,3.23224231
146242,38,3.23132677
146865,39,3.230869
147487,40,3.23056382
148109,41,3.22995346
148732,42,3.22903792
149355,43,3.22812238
149978,44,3.22796979
150601,45,3.22720684
151224,46,3.22674907
151847,47,3.22583352
152470,48,3.22552834
153093,49,3.22491798
153716,50,3.22430762
154339,51,3.22323949
154962,52,3.22217136
155586,53,3.22217136
156209,54,3.22247654
156832,55,3.22125582
157455,56,3.22018769
158078,57,3.2200351
158701,58,3.21911955
159325,59,3.21866178
159948,60,3.21805142
160571,61,3.21789883
161195,62,3.21713588
161819,63,3.21637293
162443,64,3.21622034
163066,65,3.21545739
163690,66,3.21469444
164314,67,3.21454185
164938,68,3.21438926
165562,69,3.21271077
166186,70,3.21286336
166810,71,3.21255818
167434,72,3.2121004
168057,73,3.21087968
168681,74,3.21072709
169305,75,3.21026932
170280,76,3.20202945
170903,77,3.20263981
171526,78,3.20309758
172149,79,3.20309758
172772,80,3.20309758
173395,81,3.20294499
174018,82,3.20325017
174641,83,3.20248722
175264,84,3.20187686
175887,85,3.20218204
176510,86,3.20187686
177133,87,3.2012665
177756,88,3.20080873
178379,89,3.20111391
179002,90,3.20019837
179625,91,3.1997406
180248,92,3.19928283
180871,93,3.19913024
181494,94,3.19867247
182117,95,3.19897765
182740,96,3.1980621
183363,97,3.19760433
183986,98,3.19760433
184609,99,3.19714656
185232,100,3.19668879
185855,101,3.19714656
186478,102,3.19668879
187101,103,3.19607843
187724,104,3.19607843
188347,105,3.19577325
188970,106,3.19546807
189593,107,3.19516289
190216,108,3.1950103
190839,109,3.19455253
191462,110,3.19470512
192085,111,3.19378958
192708,112,3.19424735
193331,113,3.19378958
193954,114,3.1934844
194577,115,3.19363699
195200,116,3.19287404
195823,117,3.19256886
196446,118,3.19256886
197069,119,3.19226368
197692,120,3.1919585
198315,121,3.19180591
198938,122,3.19150072
199561,123,3.19134813
200184,124,3.19180591
200807,125,3.19119554
201783,126,3.18524453
202405,127,3.18616007
203027,128,3.18738079
203649,129,3.18707561
204271,130,3.18768597
204893,131,3.18738079
205515,132,3.18738079
206137,133,3.18753338
206759,134,3.18753338
207381,135,3.1872282
208003,136,3.18677043
208625,137,3.18646525
209247,138,3.18661784
209869,139,3.18661784
210491,140,3.18661784
211113,141,3.18646525
211735,142,3.18661784
212357,143,3.18661784
212979,144,3.18539712
213601,145,3.1857023
214223,146,3.18646525
214845,147,3.18524453
215467,148,3.18509194
216089,149,3.18493935
216711,150,3.1857023
217333,151,3.18539712
217955,152,3.18478676
218577,153,3.18509194
219199,154,3.18478676
219821,155,3.18310826
220443,156,3.18417639
221065,157,3.18432898
221687,158,3.18432898
222309,159,3.18387121
222931,160,3.18478676
223552,161,3.18448157
224173,162,3.18387121
224794,163,3.1840238
225415,164,3.18326085
226037,165,3.18341344
226659,166,3.18341344
227280,167,3.18371862
227901,168,3.18387121
228522,169,3.18356603
229143,170,3.18417639
229764,171,3.18387121
230385,172,3.18356603
231006,173,3.18387121
231628,174,3.18371862
232249,175,3.18356603
232871,176,3.18310826
233492,177,3.1840238
234114,178,3.18356603
234735,179,3.18356603
235356,180,3.18341344
235977,181,3.18265049
236598,182,3.18310826
237219,183,3.18387121
237840,184,3.18356603
238461,185,3.18371862
239082,186,3.18341344
239703,187,3.18371862
240324,188,3.18326085
240945,189,3.18371862
241566,190,3.18356603
242187,191,3.18371862
242808,192,3.18310826
243429,193,3.18295567
244050,194,3.18295567
244671,195,3.18356603
245292,196,3.18371862
245913,197,3.18341344
246534,198,3.18280308
247155,199,3.18310826
247776,200,3.18387121
248397,201,3.18341344
249018,202,3.18310826
249639,203,3.18341344
250260,204,3.18387121
250881,205,3.18341344
251502,206,3.18371862
252123,207,3.18310826
252744,208,3.18265049
253365,209,3.18341344
253985,210,3.18387121
254605,211,3.18326085
