,Cycle,Cell03
6513,1,3.26276036
12095,2,3.25864042
17675,3,3.25665675
23255,4,3.2542153
28834,5,3.25375753
34414,6,3.25192645
39994,7,3.25055314
45573,8,3.25024796
51152,9,3.24902724
56731,10,3.24826429
62310,11,3.24750134
67889,12,3.2464332
73468,13,3.24597543
79048,14,3.2449073
84626,15,3.24536507
90204,16,3.24414435
95783,17,3.24353399
101362,18,3.24277104
106940,19,3.24231327
112519,20,3.24109255
118099,21,3.23971923
123681,22,3.23895628
129260,23,3.23987182
134839,24,3.23910887
140418,25,3.23819333
142263,26,3.22384985
142900,27,3.2246128
143537,28,3.22476539
144174,29,3.22476539
144811,30,3.22491798
145448,31,3.2246128
146085,32,3.22476539
146722,33,3.22446021
147359,34,3.22369726
147996,35,3.22384985
148633,36,3.22323949
149270,37,3.22262913
149907,38,3.22217136
150544,39,3.221561
151181,40,3.22201877
151818,41,3.22125582
152455,42,3.22079805
153092,43,3.22049287
153729,44,3.22018769
154366,45,3.21896696
155003,46,3.21881437
155640,47,3.21896696
156277,48,3.21820401
156914,49,3.2183566
157551,50,3.21728847
158188,51,3.21667811
158825,52,3.21698329
159462,53,3.21652552
160099,54,3.21545739
160736,55,3.21560998
161373,56,3.21469444
162010,57,3.21454185
162647,58,3.21408408
163284,59,3.2137789
163921,60,3.21332113
164558,61,3.21332113
165195,62,3.21194781
165832,63,3.21240558
166469,64,3.21133745
167106,65,3.21118486
167743,66,3.21087968
168380,67,3.21087968
169017,68,3.21042191
169654,69,3.2105745
170292,70,3.20920119
170929,71,3.20981155
171566,72,3.20843824
172203,73,3.20843824
172840,74,3.20798047
173477,75,3.2075227
174467,76,3.19867247
175103,77,3.20019837
175740,78,3.20004578
176377,79,3.20019837
177013,80,3.20050355
177649,81,3.20080873
178285,82,3.19989319
178922,83,3.20080873
179559,84,3.20004578
180195,85,3.20035096
180832,86,3.1997406
181468,87,3.1997406
182104,88,3.19958801
182741,89,3.19928283
183377,90,3.19928283
184014,91,3.19897765
184651,92,3.19882506
185288,93,3.19897765
185925,94,3.19867247
186562,95,3.19882506
187199,96,3.19821469
187836,97,3.19821469
188473,98,3.19760433
189110,99,3.19714656
189747,100,3.1980621
190384,101,3.19714656
191021,102,3.19729915
191658,103,3.19699397
192295,104,3.19699397
192932,105,3.19607843
193569,106,3.19684138
194206,107,3.19607843
194843,108,3.19668879
195480,109,3.19562066
196117,110,3.19577325
196754,111,3.1950103
197391,112,3.19577325
198028,113,3.19562066
198665,114,3.19485771
199302,115,3.19470512
199939,116,3.19455253
200576,117,3.1950103
201213,118,3.19424735
201850,119,3.19439994
202487,120,3.19424735
203124,121,3.19439994
203761,122,3.19394217
204398,123,3.19378958
205035,124,3.19333181
205672,125,3.19302663
206664,126,3.18860151
207301,127,3.18905928
207937,128,3.18936446
208573,129,3.18951705
209209,130,3.19012741
209846,131,3.18951705
210482,132,3.18982223
211119,133,3.18951705
211756,134,3.18951705
212393,135,3.18936446
213030,136,3.18982223
213667,137,3.18966964
214304,138,3.19012741
214941,139,3.19012741
215578,140,3.18936446
216215,141,3.19012741
216852,142,3.18905928
217489,143,3.18890669
218126,144,3.18982223
218763,145,3.18921187
219400,146,3.18860151
220037,147,3.18921187
220674,148,3.18738079
221311,149,3.18905928
221948,150,3.18905928
222585,151,3.18829633
223222,152,3.18982223
223859,153,3.18890669
224496,154,3.18905928
225133,155,3.18783856
225770,156,3.18799115
226407,157,3.1887541
227044,158,3.18829633
227681,159,3.18890669
228318,160,3.18905928
228955,161,3.18814374
229592,162,3.18936446
230229,163,3.18829633
230866,164,3.18890669
231503,165,3.1887541
232140,166,3.18860151
232777,167,3.18905928
233414,168,3.18783856
234051,169,3.18890669
234688,170,3.18905928
235325,171,3.18890669
235962,172,3.18951705
236599,173,3.1887541
237236,174,3.1887541
237873,175,3.18921187
238510,176,3.18844892
239147,177,3.18844892
239784,178,3.18921187
240421,179,3.18982223
241058,180,3.18921187
241695,181,3.18905928
242332,182,3.18966964
242969,183,3.18905928
243606,184,3.18890669
244243,185,3.18936446
244879,186,3.18921187
245515,187,3.18951705
246151,188,3.1887541
246788,189,3.18921187
247425,190,3.18936446
248062,191,3.1887541
248699,192,3.18936446
249336,193,3.18921187
249973,194,3.18966964
250610,195,3.1887541
251247,196,3.18829633
251884,197,3.18844892
252521,198,3.18921187
253157,199,3.18982223
253794,200,3.18951705
254430,201,3.18997482
255067,202,3.18890669
255704,203,3.18890669
256341,204,3.18829633
256978,205,3.18921187
257614,206,3.18921187
258251,207,3.18890669
258887,208,3.18936446
259523,209,3.18890669
260159,210,3.18936446
260795,211,3.18966964
261431,212,3.18951705
262067,213,3.19043259
262703,214,3.18997482
263339,215,3.19073777
263975,216,3.19028
264611,217,3.19012741
265247,218,3.19028
265883,219,3.19028
266519,220,3.19134813
267155,221,3.19028
267791,222,3.19058518
268427,223,3.19058518
269063,224,3.19058518
269699,225,3.19119554
270685,226,3.1857023
271321,227,3.18265049
271957,228,3.18341344
272593,229,3.18463416
273229,230,3.18432898
273865,231,3.18478676
274501,232,3.18524453
275137,233,3.18509194
275773,234,3.18554971
276409,235,3.18616007
277045,236,3.18585489
277681,237,3.18616007
278317,238,3.18661784
278953,239,3.18646525
279589,240,3.18646525
280225,241,3.18661784
280861,242,3.18677043
281497,243,3.18692302
282133,244,3.1872282
282769,245,3.18738079
283405,246,3.18753338
284041,247,3.18738079
284677,248,3.18753338
285313,249,3.18768597
285949,250,3.18768597
286585,251,3.18783856
287220,252,3.18753338
287856,253,3.18738079
288492,254,3.18677043
289127,255,3.18738079
289761,256,3.18783856
290396,257,3.18738079
291030,258,3.18753338
291665,259,3.18799115
292300,260,3.18829633
292935,261,3.18799115
293570,262,3.18814374
294205,263,3.18860151
294840,264,3.18890669
295475,265,3.18905928
296110,266,3.18921187
296745,267,3.18936446
297380,268,3.18936446
298015,269,3.19028
298650,270,3.18997482
299285,271,3.19058518
299920,272,3.19043259
300555,273,3.19028
301190,274,3.19104295
301825,275,3.19089036
302460,276,3.19058518
303095,277,3.19058518
303730,278,3.19104295
304365,279,3.19119554
305000,280,3.19119554
305635,281,3.1919585
306270,282,3.19134813
306905,283,3.19150072
307539,284,3.1919585
308173,285,3.1919585
308807,286,3.19211109
309441,287,3.19211109
310075,288,3.19211109
310709,289,3.19272145
311343,290,3.19241627
311977,291,3.19256886
312611,292,3.19256886
313245,293,3.19256886
313879,294,3.19241627
314513,295,3.19272145
315147,296,3.19256886
315781,297,3.19272145
316415,298,3.19317922
317049,299,3.19317922
317683,300,3.19333181
318317,301,3.19333181
318951,302,3.1934844
319585,303,3.1934844
320219,304,3.19378958
320853,305,3.19394217
321487,306,3.19363699
322121,307,3.19394217
322755,308,3.19470512
323389,309,3.19409476
324023,310,3.19455253
324657,311,3.19439994
325290,312,3.19470512
325923,313,3.19470512
326555,314,3.19485771
327187,315,3.19470512
327819,316,3.19485771
328452,317,3.19516289
329085,318,3.19546807
329718,319,3.19577325
330351,320,3.19562066
330984,321,3.19516289
331617,322,3.19516289
332250,323,3.19607843
332883,324,3.19684138
333516,325,3.19607843
334495,326,3.19287404
335128,327,3.1934844
335761,328,3.19439994
336393,329,3.19516289
337026,330,3.19470512
337658,331,3.19531548
338289,332,3.19562066
338921,333,3.19516289
339553,334,3.19562066
340185,335,3.19592584
340817,336,3.19562066
341449,337,3.19607843
342081,338,3.19623102
342713,339,3.19714656
343345,340,3.19668879
343977,341,3.19684138
344609,342,3.19714656
345241,343,3.19729915
345873,344,3.19729915
