,CycleReorder,Amphr
1159,1,0.02528332
2110,2,0.02523852
3061,3,0.02518226
4011,4,0.0251228
4961,5,0.0250696
5910,6,0.02502285
6859,7,0.02498845
7807,8,0.02495259
8755,9,0.02492415
9703,10,0.02489522
10650,11,0.02487898
11596,12,0.02484727
12542,13,0.02481915
13488,14,0.02479216
14433,15,0.02477151
15379,16,0.02474255
16324,17,0.02471533
17269,18,0.02469445
18213,19,0.02467615
19158,20,0.02465485
20103,21,0.0246293
21047,22,0.02461859
21992,23,0.02462192
22936,24,0.02460587
23880,25,0.02459112
26942,26,0.02467378
27886,27,0.02458028
28829,28,0.02454673
29772,29,0.02450389
30715,30,0.02445736
31657,31,0.02442314
32599,32,0.02439235
33541,33,0.02436071
34482,34,0.02433497
35423,35,0.02429974
36364,36,0.024274
37304,37,0.02425254
38244,38,0.02423258
39184,39,0.02421801
40124,40,0.02420326
41064,41,0.02418126
42003,42,0.02415988
42942,43,0.02414149
43881,44,0.02412175
44820,45,0.02409122
45758,46,0.024071
46696,47,0.02403977
47633,48,0.02401985
48571,49,0.02400861
49509,50,0.02399826
52550,51,0.02408652
53488,52,0.02400661
54427,53,0.02397119
55363,54,0.02396133
56300,55,0.02392982
57237,56,0.02391769
58173,57,0.02388729
59109,58,0.0238648
60045,59,0.02385045
60980,60,0.02383494
61915,61,0.0238145
62849,62,0.02380157
63784,63,0.02377962
64719,64,0.02376842
65653,65,0.02375361
66587,66,0.0237354
67521,67,0.02372833
68455,68,0.02370896
69389,69,0.02369242
70323,70,0.02368465
71257,71,0.02367136
72191,72,0.02366043
73124,73,0.02364856
74057,74,0.02363794
74990,75,0.02363265
78075,76,0.02371385
79009,77,0.02364554
79942,78,0.02362546
80875,79,0.02360563
81808,80,0.02357817
82741,81,0.0235592
83673,82,0.02354435
84605,83,0.02352653
85536,84,0.02351209
86468,85,0.02349369
87400,86,0.02347911
88331,87,0.02347369
89263,88,0.02346414
90194,89,0.02344965
91125,90,0.02343996
92056,91,0.02343512
92986,92,0.02341645
93917,93,0.02340121
94848,94,0.02338961
95779,95,0.02337664
96709,96,0.02336757
97639,97,0.02335371
98569,98,0.02334966
99499,99,0.02334655
100429,100,0.02333184
103473,101,0.02343181
104403,102,0.02337384
105333,103,0.02335368
106263,104,0.02332332
107193,105,0.02330425
108122,106,0.02329395
109051,107,0.02327951
109979,108,0.02326287
110907,109,0.02325687
111836,110,0.02323581
112765,111,0.02322383
113694,112,0.02321674
114622,113,0.02320635
115550,114,0.02319925
116478,115,0.02319177
117406,116,0.02317355
118333,117,0.02316555
119261,118,0.02315888
120189,119,0.02314915
121117,120,0.02313764
122045,121,0.02312858
122973,122,0.02312009
123900,123,0.02311338
124828,124,0.02311169
125756,125,0.02311067
128795,126,0.02323554
129723,127,0.02316617
130651,128,0.02314982
131578,129,0.02312951
132506,130,0.02311062
133433,131,0.0231012
134360,132,0.02308494
135287,133,0.02306934
136214,134,0.02305601
137141,135,0.02304103
138068,136,0.02302734
138994,137,0.02301596
139920,138,0.02299614
140846,139,0.02298068
141772,140,0.02297348
142698,141,0.02295682
143624,142,0.02294868
144550,143,0.02294069
145476,144,0.02293011
146401,145,0.02291647
147326,146,0.02291495
148251,147,0.02289883
149179,148,0.02295993
150105,149,0.02300628
151031,150,0.02295993
151957,151,0.02295544
152882,152,0.02294838
153808,153,0.02293869
154732,154,0.02291793
155657,155,0.02291229
156581,156,0.02290905
157506,157,0.02290585
158431,158,0.02289234
159356,159,0.02288718
160281,160,0.02288411
161205,161,0.02287203
162130,162,0.02287736
163055,163,0.02288109
163980,164,0.02287643
164905,165,0.02285781
165830,166,0.02285501
166755,167,0.02285394
167680,168,0.02284399
168604,169,0.02283559
169528,170,0.02282901
170452,171,0.02282394
171376,172,0.02282168
172300,173,0.02281373
173224,174,0.02280857
174148,175,0.02280888
177093,176,0.022923
178017,177,0.022809
178941,178,0.022815000000000002
179865,179,0.022787
180788,180,0.022769
181712,181,0.02276
182635,182,0.022743
183557,183,0.022729
184480,184,0.022716
185403,185,0.022713999999999998
186325,186,0.022698
187248,187,0.022696
188171,188,0.022712
189094,189,0.022711000000000002
190017,190,0.022688
190940,191,0.022678999999999998
191863,192,0.022681
192786,193,0.022666
193708,194,0.02265
194630,195,0.022646
195552,196,0.022642
196474,197,0.02263
197396,198,0.022629
198318,199,0.022655
199240,200,0.022647999999999998
200162,201,0.022643
201084,202,0.022634
202005,203,0.022627
202926,204,0.022621000000000002
203848,205,0.022594
204769,206,0.022591999999999998
205691,207,0.022588999999999998
206613,208,0.022594
207534,209,0.022572
208456,210,0.022580000000000003
209378,211,0.022609
210300,212,0.022588
211221,213,0.022538
212142,214,0.022531
213063,215,0.022532
213984,216,0.02253
214905,217,0.022517
215825,218,0.022518
216746,219,0.022516
217667,220,0.022501
218588,221,0.022506
219509,222,0.02252
220430,223,0.022521
221351,224,0.022505
222272,225,0.0225
225297,226,0.02268774
226219,227,0.02259304
227141,228,0.02258908
228062,229,0.02257406
228983,230,0.0225482
229904,231,0.02253824
230825,232,0.022517
231746,233,0.02250376
232667,234,0.0224954
233588,235,0.02249029
234508,236,0.02247527
235427,237,0.02246683
236347,238,0.02247194
237267,239,0.02246425
238187,240,0.0224583
239107,241,0.02245212
240027,242,0.02244243
240946,243,0.02243692
241866,244,0.02243634
242786,245,0.02241417
243706,246,0.02240981
244626,247,0.02240594
245545,248,0.02239612
246463,249,0.02239057
247383,250,0.02239937
248303,251,0.02239866
249222,252,0.02239306
250140,253,0.02238572
251059,254,0.02237937
251978,255,0.02237417
252897,256,0.02237755
253816,257,0.02236857
254735,258,0.02236022
255654,259,0.02235582
256573,260,0.02235222
257492,261,0.02234764
258411,262,0.02235381
259330,263,0.02235271
260249,264,0.02233564
261168,265,0.02233315
262087,266,0.02233315
263006,267,0.02233
263925,268,0.02232218
264844,269,0.02231942
265763,270,0.02231422
266682,271,0.0223084
267600,272,0.02230191
268518,273,0.02230382
269435,274,0.02230271
270353,275,0.02229151
273406,276,0.02248936
274325,277,0.02235649
275244,278,0.0223492
276162,279,0.02234013
277080,280,0.0223328
277998,281,0.02230773
278916,282,0.02229983
279834,283,0.02229142
280752,284,0.02228272
281670,285,0.02227907
282588,286,0.02226196
283506,287,0.02225907
284424,288,0.02225658
285342,289,0.0222541
286260,290,0.02225036
287178,291,0.02223268
288096,292,0.02223139
289014,293,0.02222157
289931,294,0.02221841
290849,295,0.02221894
291766,296,0.02219997
292683,297,0.02220321
293600,298,0.02220135
294517,299,0.02220966
295434,300,0.0222073
296351,301,0.02220357
297268,302,0.02219548
298185,303,0.02219468
299102,304,0.02218539
300019,305,0.02217139
300936,306,0.02216891
301853,307,0.0221654
302770,308,0.02216771
303687,309,0.02216277
304604,310,0.02216362
305521,311,0.02216864
306438,312,0.02216353
307355,313,0.02215308
308272,314,0.02215228
309189,315,0.02215282
310106,316,0.02213504
311023,317,0.02213273
311938,318,0.02211598
312854,319,0.02210749
313769,320,0.02210785
314685,321,0.02211429
315601,322,0.02210269
316517,323,0.02210322
317433,324,0.02210082
318349,325,0.02209687
321367,326,0.02229094
322283,327,0.02216299
323200,328,0.02216939
324117,329,0.02216126
325034,330,0.02214326
325951,331,0.02214117
326867,332,0.02211807
327783,333,0.0221098
328699,334,0.02209984
329615,335,0.02208723
330531,336,0.02208336
331446,337,0.02207065
332362,338,0.02206216
333278,339,0.02206358
334194,340,0.02206567
335110,341,0.02206052
336026,342,0.02204563
336941,343,0.02204003
337855,344,0.02202968
338770,345,0.02202861
339685,346,0.02201292
340600,347,0.02200986
341515,348,0.02200901
342430,349,0.02201252
343345,350,0.02200021
344260,351,0.02199568
345175,352,0.0220027
346090,353,0.0220011
347005,354,0.02198168
347920,355,0.02197799
348835,356,0.02197862
349750,357,0.02197546
350665,358,0.02195995
351580,359,0.02195715
352495,360,0.02195546
353410,361,0.02195577
354325,362,0.02196382
355240,363,0.0219636
356155,364,0.02196368
357070,365,0.0219552
357984,366,0.02195048
358898,367,0.02194315
359812,368,0.02193026
360726,369,0.02192871
361640,370,0.02192502
362554,371,0.02192089
363468,372,0.02191351
364382,373,0.02192427
365296,374,0.02193036
366210,375,0.02193626
369257,376,0.02213047
370172,377,0.02196684
371087,378,0.02196479
372002,379,0.02195706
372916,380,0.02194382
373830,381,0.02192364
374744,382,0.02191995
375658,383,0.02190991
376572,384,0.02189885
377486,385,0.0218956
378400,386,0.0219148
379314,387,0.02194004
380228,388,0.02194066
381142,389,0.0219384
382056,390,0.02193711
382970,391,0.02192875
383884,392,0.0219196
384798,393,0.02191524
385712,394,0.02190871
386626,395,0.02191018
387540,396,0.02190236
388454,397,0.0218956
389368,398,0.02189307
390282,399,0.02189102
391196,400,0.02188658
392110,401,0.02188574
393024,402,0.02187898
393938,403,0.02187636
394852,404,0.0218736
395766,405,0.02187094
396680,406,0.02186307
397593,407,0.02186111
398506,408,0.02185743
399419,409,0.02185654
400332,410,0.02185534
401245,411,0.02184854
402158,412,0.0218461
403071,413,0.02184116
403984,414,0.02183303
404897,415,0.02182832
405810,416,0.02182534
406723,417,0.02182734
407636,418,0.02182183
408549,419,0.02181717
409462,420,0.02181881
410375,421,0.02181334
411288,422,0.02181264
412201,423,0.02180499
413114,424,0.02179939
414027,425,0.02179632
417038,426,0.02193356
417951,427,0.0218017
418864,428,0.02179841
419777,429,0.02179188
420690,430,0.02178757
421603,431,0.02178264
422515,432,0.02177166
423427,433,0.02177139
424339,434,0.02176513
425250,435,0.02176099
426162,436,0.02176362
427074,437,0.0217645
427986,438,0.02175859
428898,439,0.02175313
429810,440,0.02174602
430722,441,0.02174189
431634,442,0.02172971
432546,443,0.02173117
433458,444,0.02172869
434370,445,0.0217374
435282,446,0.02173273
436194,447,0.02172953
437106,448,0.02173184
438018,449,0.02175446
438930,450,0.02172606
