,CycleReorder,Amphr
778,1,0.02862294
1349,2,0.02864071
1920,3,0.02862591
2491,4,0.02862818
3062,5,0.0286272
3633,6,0.0286264
4204,7,0.02862822
4775,8,0.028628
5345,9,0.0286252
5915,10,0.02862302
6485,11,0.02861965
7054,12,0.02861583
7623,13,0.02861023
8192,14,0.02860156
8762,15,0.02858645
9332,16,0.02857738
9902,17,0.02857098
10472,18,0.02856063
11041,19,0.02856379
11610,20,0.02856485
12180,21,0.02856921
12750,22,0.02856068
13319,23,0.0285565
13888,24,0.02854939
14457,25,0.02854552
15663,26,0.02863511
16234,27,0.02862924
16804,28,0.028604
17373,29,0.0285892
17942,30,0.02857716
18512,31,0.02856779
19082,32,0.02856192
19652,33,0.0285537
20222,34,0.02853663
20792,35,0.02853343
21361,36,0.0285289
21931,37,0.02853223
22501,38,0.02853601
23071,39,0.02853321
23640,40,0.02852708
24209,41,0.0285233
24778,42,0.02850997
25346,43,0.02850255
25914,44,0.02848962
26482,45,0.02849032
27050,46,0.02849526
27618,47,0.02849508
28186,48,0.02849637
28754,49,0.02849148
29322,50,0.02848864
30526,51,0.0285505
31100,52,0.02872862
31667,53,0.02843078
32235,54,0.0284957
32804,55,0.02848517
33373,56,0.02846944
33942,57,0.02846713
34511,58,0.02846198
35080,59,0.02845126
35648,60,0.02844256
36215,61,0.02843553
36782,62,0.02843504
37349,63,0.02842873
37916,64,0.02842629
38483,65,0.02841529
39050,66,0.02840687
39618,67,0.02840345
40186,68,0.02840541
40754,69,0.0284
41322,70,0.02839644
41890,71,0.02839927
42458,72,0.02838847
43026,73,0.02839141
43594,74,0.02838536
44162,75,0.02838163
45437,76,0.02845376
46005,77,0.02844651
46573,78,0.02843566
47141,79,0.02842447
47709,80,0.02841149
48277,81,0.02840278
48845,82,0.02839136
49413,83,0.02839105
49981,84,0.02838989
50548,85,0.02838301
51115,86,0.02838456
51682,87,0.02837918
52249,88,0.02837239
52816,89,0.02836421
53383,90,0.02835847
53950,91,0.02835354
54516,92,0.02834932
55083,93,0.0283531
55650,94,0.02835341
56216,95,0.02834821
56782,96,0.02834834
57349,97,0.02834141
57916,98,0.02833706
58483,99,0.02833448
59050,100,0.02833097
60252,101,0.02835924
60820,102,0.02836175
61387,103,0.02833405
61953,104,0.02831098
62519,105,0.02829848
63085,106,0.02828533
63652,107,0.02827257
64218,108,0.02825934
64784,109,0.02824619
65350,110,0.02824226
65916,111,0.02824098
66482,112,0.02824343
67048,113,0.02823156
67613,114,0.02822471
68178,115,0.02822124
68743,116,0.02821444
69308,117,0.0282072
69873,118,0.02820022
70438,119,0.02819698
71004,120,0.0281944
71570,121,0.02819458
72136,122,0.02818894
72702,123,0.02818187
73268,124,0.02817565
73833,125,0.02816694
75033,126,0.02825116
75599,127,0.02824284
76164,128,0.02821556
76730,129,0.02819414
77296,130,0.02817943
77861,131,0.02816863
78426,132,0.02815961
78990,133,0.02814979
79554,134,0.02813863
80118,135,0.0281321
80682,136,0.02812046
81247,137,0.0281201
81812,138,0.02811743
82377,139,0.02811264
82942,140,0.02810437
83507,141,0.02809695
84072,142,0.02809548
84637,143,0.02808842
85207,144,0.02854481
85781,145,0.02881474
86346,146,0.02817009
86911,147,0.02815005
87476,148,0.02812832
88040,149,0.02811015
88604,150,0.02810193
89168,151,0.0280965
89733,152,0.0280869
90297,153,0.02808246
