,CycleReorder,Amphr
783,1,0.02892446
1356,2,0.02893249
1929,3,0.02892325
2503,4,0.02892805
3076,5,0.02892867
3649,6,0.02893112
4222,7,0.02893232
4795,8,0.02893112
5368,9,0.0289357
5941,10,0.02893943
6514,11,0.02893859
7087,12,0.0289408
7660,13,0.02894018
8233,14,0.02893441
8806,15,0.0289333
9379,16,0.02893276
9952,17,0.02893485
10525,18,0.02892805
11098,19,0.02892868
11671,20,0.02894792
12244,21,0.02894854
12817,22,0.02894596
13390,23,0.02893947
13963,24,0.02893445
14536,25,0.02893787
15745,26,0.02894877
16319,27,0.02896009
16893,28,0.02895383
17467,29,0.02895583
18041,30,0.0289532
18615,31,0.02894934
19189,32,0.02894676
19763,33,0.02893961
20337,34,0.02893112
20911,35,0.02893014
21485,36,0.02893032
22059,37,0.02893574
22633,38,0.02893561
23207,39,0.02893334
23781,40,0.02893601
24355,41,0.02893383
24929,42,0.02892161
25503,43,0.02891583
26077,44,0.02890561
26650,45,0.02890997
27224,46,0.02891108
27798,47,0.02891592
28372,48,0.02891819
28946,49,0.02891405
29520,50,0.0289173
30728,51,0.02887597
31304,52,0.02895973
31876,53,0.02884371
32449,54,0.02887095
33022,55,0.0288741
33595,56,0.02886473
34168,57,0.02886379
34741,58,0.02886362
35314,59,0.02886117
35887,60,0.028859
36460,61,0.0288566
37033,62,0.0288547
37606,63,0.02885656
38179,64,0.02885297
38752,65,0.02884785
39325,66,0.02884519
39898,67,0.02884776
40471,68,0.02884727
41044,69,0.0288455
41617,70,0.02884256
42190,71,0.02884749
42763,72,0.02884132
43336,73,0.02884065
43908,74,0.02883766
44480,75,0.0288367
45762,76,0.02880887
46335,77,0.02880078
46908,78,0.02879878
47480,79,0.02879535
48052,80,0.02879162
48624,81,0.02878967
49196,82,0.02878264
49768,83,0.02878589
50340,84,0.02878616
50912,85,0.02878553
51484,86,0.0287866
52056,87,0.02878163
52628,88,0.02877487
53200,89,0.02876869
53772,90,0.0287674
54344,91,0.02876429
54915,92,0.02876207
55487,93,0.02876358
56059,94,0.02876225
56630,95,0.02876149
57202,96,0.02876061
57773,97,0.0287546
58344,98,0.02875563
58915,99,0.02875252
59486,100,0.02874821
60693,101,0.02872154
61265,102,0.02873194
61837,103,0.02872443
62409,104,0.02871608
62981,105,0.02871736
63553,106,0.02871159
64124,107,0.0287063
64695,108,0.02869746
65266,109,0.02869292
65837,110,0.02869332
66408,111,0.02869101
66979,112,0.02869372
67550,113,0.02868528
68120,114,0.02868115
68690,115,0.02868172
69260,116,0.02867515
69830,117,0.02867004
70400,118,0.02866626
70970,119,0.02866248
71540,120,0.02866333
72110,121,0.02866195
72680,122,0.02865946
73250,123,0.02865342
73821,124,0.0286472
74392,125,0.02864049
75597,126,0.02861956
76168,127,0.02862653
76739,128,0.02862422
77310,129,0.02862089
77879,130,0.02861724
78448,131,0.028612
79017,132,0.02860586
79586,133,0.02860067
80155,134,0.0285948
80724,135,0.02859
81293,136,0.02858462
81862,137,0.02858516
82431,138,0.02858191
83000,139,0.02857885
83570,140,0.0285732
84140,141,0.02856787
84710,142,0.02856583
85280,143,0.02856294
85856,144,0.02892276
86424,145,0.02845308
86994,146,0.02861267
87565,147,0.02861849
88135,148,0.02861102
88705,149,0.02859577
89275,150,0.02859507
89845,151,0.02859316
90414,152,0.02858449
90983,153,0.028584
91552,154,0.02857867
92121,155,0.02857054
92690,156,0.02857774
93259,157,0.02857889
93828,158,0.02856232
94397,159,0.02856485
94966,160,0.02856072
95536,161,0.02854738
96106,162,0.02854921
96676,163,0.02854858
97246,164,0.02854316
97816,165,0.02853743
98386,166,0.0285381
98956,167,0.02853512
99525,168,0.02852885
100095,169,0.02852908
100664,170,0.02852107
101233,171,0.0285165
101802,172,0.0285133
102371,173,0.02851348
102940,174,0.02851188
103509,175,0.0285085
104665,176,0.028397000000000002
105233,177,0.028404000000000002
105801,178,0.028394
106369,179,0.028394
106937,180,0.028391000000000003
107505,181,0.028377999999999997
108073,182,0.028374
108641,183,0.028373000000000002
109209,184,0.028364999999999998
109777,185,0.028377
110345,186,0.02839
110913,187,0.028369
111481,188,0.028366000000000002
112049,189,0.028372
112616,190,0.02835
113183,191,0.028347000000000004
113750,192,0.028345
114316,193,0.028335000000000003
114882,194,0.028346
115450,195,0.028361
116018,196,0.028352999999999996
116585,197,0.028345
117152,198,0.028343
117719,199,0.028329000000000003
118285,200,0.028314999999999996
118851,201,0.028316
119417,202,0.028314
119984,203,0.028301999999999997
120550,204,0.028321
121117,205,0.028316
121684,206,0.028275
122251,207,0.028268
122818,208,0.028269
