,CycleReorder,Volts
814,1,3.36621653
1387,2,3.36514839
1960,3,3.36423285
2534,4,3.36255436
3107,5,3.36148623
3680,6,3.35965515
4253,7,3.35858701
4826,8,3.3572137
5399,9,3.3556878
5972,10,3.35446708
6545,11,3.35324636
7118,12,3.35187304
7691,13,3.35065232
8264,14,3.34973678
8837,15,3.34866865
9410,16,3.34760052
9983,17,3.34653239
10556,18,3.34546426
11129,19,3.34439612
11702,20,3.34241245
12275,21,3.34103914
12848,22,3.34027619
13421,23,3.33951324
13994,24,3.33890288
14567,25,3.33768215
15776,26,3.33142596
16350,27,3.33157855
16924,28,3.33112078
17498,29,3.33051041
18072,30,3.33005264
18646,31,3.32959487
19220,32,3.32883192
19794,33,3.32867933
20368,34,3.32822156
20942,35,3.32730602
21516,36,3.32639048
22090,37,3.32501717
22664,38,3.3245594
23238,39,3.32379644
23812,40,3.32303349
24386,41,3.32227054
24960,42,3.32227054
25534,43,3.32181277
26108,44,3.321355
26681,45,3.32013428
27255,46,3.31952392
27829,47,3.31815061
28403,48,3.31769284
28977,49,3.31692988
29551,50,3.31601434
30759,51,3.30395972
31335,52,3.29694057
31907,53,3.30670634
32480,54,3.30670634
33053,55,3.30640116
33626,56,3.30701152
34199,57,3.30685893
34772,58,3.30640116
35345,59,3.30624857
35918,60,3.3057908
36491,61,3.30548562
37064,62,3.30518044
37637,63,3.30441749
38210,64,3.3042649
38783,65,3.30380713
39356,66,3.30350195
39929,67,3.30289158
40502,68,3.3025864
41075,69,3.30182345
41648,70,3.30167086
42221,71,3.30090791
42794,72,3.30060273
43367,73,3.30029755
43939,74,3.30014496
44511,75,3.2995346
45793,76,3.28351263
46366,77,3.28732738
46939,78,3.28946365
47511,79,3.29083696
48083,80,3.2917525
48655,81,3.29236286
49227,82,3.29266804
49799,83,3.29251545
50371,84,3.29221027
50943,85,3.29266804
51515,86,3.2917525
52087,87,3.29221027
52659,88,3.29205768
53231,89,3.29221027
53803,90,3.2917525
54375,91,3.29190509
54946,92,3.29129473
55518,93,3.29098955
56090,94,3.29098955
56661,95,3.29037919
57233,96,3.29068437
57804,97,3.2902266
58375,98,3.28961624
58946,99,3.28946365
59517,100,3.28961624
60724,101,3.28336004
61296,102,3.28458076
61868,103,3.28580148
62440,104,3.28625925
63012,105,3.28625925
63584,106,3.28656443
64155,107,3.28641184
64726,108,3.2870222
65297,109,3.28671702
65868,110,3.28641184
66439,111,3.28595407
67010,112,3.28580148
67581,113,3.28610666
68151,114,3.28580148
68721,115,3.28564889
69291,116,3.28580148
69861,117,3.28534371
70431,118,3.28503853
71001,119,3.28488594
71571,120,3.28412299
72141,121,3.28381781
72711,122,3.28381781
73281,123,3.28366522
