,CycleReorder,Volts
456,1,3.93430991
1029,2,3.9344625
1602,3,3.9344625
2176,4,3.9344625
2749,5,3.93461509
3322,6,3.9344625
3895,7,3.93461509
4468,8,3.93461509
5041,9,3.93430991
5614,10,3.93461509
6187,11,3.93476768
6760,12,3.9344625
7333,13,3.93461509
7906,14,3.9344625
8479,15,3.93430991
9052,16,3.93400473
9625,17,3.93430991
10198,18,3.93430991
10771,19,3.93415732
11344,20,3.93430991
11917,21,3.93430991
12490,22,3.93385214
13063,23,3.93369955
13636,24,3.93385214
14209,25,3.93354696
15418,26,3.93049516
15992,27,3.93080034
16566,28,3.93080034
17140,29,3.93110552
17714,30,3.93095293
18288,31,3.93110552
18862,32,3.93110552
19436,33,3.93110552
20010,34,3.93110552
20584,35,3.93080034
21158,36,3.93125811
21732,37,3.93125811
22306,38,3.93125811
22880,39,3.93125811
23454,40,3.93125811
24028,41,3.93095293
24602,42,3.9314107
25176,43,3.93125811
25750,44,3.93110552
26323,45,3.93095293
26897,46,3.93125811
27471,47,3.93110552
28045,48,3.93110552
28619,49,3.93095293
29193,50,3.9314107
30402,51,3.93003738
30975,52,3.93034257
31550,53,3.92912184
32123,54,3.93003738
32696,55,3.93034257
33269,56,3.93003738
33842,57,3.93034257
34415,58,3.93018997
34988,59,3.93018997
35561,60,3.93018997
36134,61,3.93034257
36707,62,3.93049516
37280,63,3.93018997
37853,64,3.93018997
38426,65,3.93003738
38999,66,3.93049516
39572,67,3.93034257
40145,68,3.93049516
40718,69,3.93034257
41291,70,3.93049516
41864,71,3.93034257
42437,72,3.93018997
43010,73,3.93034257
43582,74,3.93034257
44154,75,3.93049516
45436,76,3.93034257
46009,77,3.92957961
46582,78,3.9297322
47155,79,3.92957961
47727,80,3.92957961
48299,81,3.92927443
48871,82,3.92942702
49443,83,3.9297322
50015,84,3.9297322
50587,85,3.92988479
51159,86,3.92957961
51731,87,3.92988479
52303,88,3.9297322
52875,89,3.92988479
53447,90,3.93003738
54019,91,3.92988479
54590,92,3.9297322
55162,93,3.92988479
55734,94,3.9297322
56305,95,3.92988479
56877,96,3.93003738
57448,97,3.93003738
58019,98,3.92988479
58590,99,3.9297322
59161,100,3.93003738
60368,101,3.92881666
60940,102,3.92912184
61512,103,3.92881666
62084,104,3.92896925
62656,105,3.92896925
63228,106,3.92942702
63800,107,3.92927443
64371,108,3.92927443
64942,109,3.92912184
65513,110,3.92942702
66084,111,3.92912184
66655,112,3.92927443
67226,113,3.92942702
67796,114,3.92927443
68366,115,3.92942702
68936,116,3.92957961
69506,117,3.92927443
70076,118,3.92927443
70646,119,3.92957961
71216,120,3.92927443
71786,121,3.92942702
72356,122,3.92927443
72926,123,3.92927443
73497,124,3.92942702
74068,125,3.92957961
75273,126,3.9282063
75844,127,3.9282063
76415,128,3.92835889
76986,129,3.92835889
77556,130,3.9282063
78125,131,3.92866407
78694,132,3.92866407
79263,133,3.92881666
79832,134,3.92851148
80401,135,3.92866407
80970,136,3.92896925
81539,137,3.92896925
82108,138,3.92866407
82677,139,3.92881666
83247,140,3.92881666
83817,141,3.92896925
84387,142,3.92896925
84957,143,3.92881666
85527,144,3.92881666
86102,145,3.92439155
86671,146,3.92912184
87241,147,3.92957961
87812,148,3.92942702
88382,149,3.92927443
88952,150,3.92957961
89522,151,3.9297322
90091,152,3.92942702
90660,153,3.9297322
91229,154,3.9297322
91798,155,3.9297322
92367,156,3.9297322
92936,157,3.93003738
93505,158,3.9297322
94074,159,3.93003738
94643,160,3.93003738
95213,161,3.92988479
95783,162,3.92988479
96353,163,3.92988479
96923,164,3.92988479
97493,165,3.92988479
98063,166,3.93003738
98633,167,3.93003738
99203,168,3.93003738
99772,169,3.93018997
100342,170,3.93018997
100911,171,3.93018997
101480,172,3.93003738
102049,173,3.93018997
102618,174,3.9297322
103187,175,3.93018997
104344,176,3.9300370000000004
104912,177,3.929732
105480,178,3.9294269999999996
106048,179,3.9294269999999996
106616,180,3.9294269999999996
107184,181,3.929274
107752,182,3.929274
108320,183,3.929274
108888,184,3.929122
109456,185,3.9294269999999996
110024,186,3.9294269999999996
110592,187,3.92958
111160,188,3.929732
111728,189,3.929732
112296,190,3.929732
112863,191,3.9294269999999996
113430,192,3.929732
113996,193,3.9294269999999996
114562,194,3.9294269999999996
115129,195,3.929732
115697,196,3.929885
116265,197,3.929732
116832,198,3.929885
117399,199,3.93019
117965,200,3.92958
118531,201,3.9300370000000004
119097,202,3.929885
119664,203,3.929732
120230,204,3.929732
120797,205,3.9300370000000004
121364,206,3.92958
121931,207,3.92958
122498,208,3.9294269999999996
123065,209,3.929732
123630,210,3.929732
124195,211,3.929885
124760,212,3.929885
125325,213,3.929885
125891,214,3.9300370000000004
126458,215,3.9300370000000004
127023,216,3.9300370000000004
127588,217,3.9300370000000004
128153,218,3.93019
128718,219,3.929885
129283,220,3.9300370000000004
129848,221,3.9300370000000004
130413,222,3.929732
130978,223,3.93019
131543,224,3.9300370000000004
132108,225,3.93019
133307,226,3.92835889
133873,227,3.92866407
134439,228,3.92866407
135005,229,3.92881666
135571,230,3.92896925
136137,231,3.92896925
136702,232,3.92881666
137266,233,3.92881666
137830,234,3.92912184
138394,235,3.92896925
138958,236,3.92927443
139523,237,3.92912184
140088,238,3.92912184
140653,239,3.92912184
141218,240,3.92927443
141783,241,3.92942702
142348,242,3.92927443
142913,243,3.92927443
143478,244,3.92942702
144043,245,3.92942702
144608,246,3.9297322
145173,247,3.92942702
145737,248,3.93003738
146300,249,3.92957961
146863,250,3.9297322
147426,251,3.92988479
147989,252,3.9297322
148552,253,3.92957961
149115,254,3.92988479
149678,255,3.92988479
150241,256,3.93018997
150805,257,3.93018997
151369,258,3.92988479
151933,259,3.93018997
152497,260,3.92988479
153061,261,3.93018997
153625,262,3.93003738
154188,263,3.93003738
154751,264,3.93034257
155313,265,3.93034257
155876,266,3.93049516
156438,267,3.93018997
157000,268,3.93003738
157562,269,3.93049516
158125,270,3.93049516
158688,271,3.93034257
159251,272,3.93034257
159814,273,3.93003738
160377,274,3.93018997
160940,275,3.93018997
162203,276,3.93064775
162766,277,3.92927443
163328,278,3.92912184
163889,279,3.92927443
164451,280,3.92912184
165013,281,3.92927443
165575,282,3.92881666
166137,283,3.92912184
166699,284,3.92927443
167261,285,3.92942702
167823,286,3.92942702
168384,287,3.9297322
168945,288,3.92942702
169505,289,3.92957961
170065,290,3.92942702
170625,291,3.92957961
171185,292,3.92957961
171745,293,3.92942702
172305,294,3.92988479
172865,295,3.9297322
173425,296,3.9297322
173985,297,3.93003738
174546,298,3.92988479
175107,299,3.92988479
175668,300,3.9297322
176229,301,3.92957961
176789,302,3.93003738
177349,303,3.93018997
177909,304,3.9297322
178469,305,3.93018997
179029,306,3.93003738
179589,307,3.93034257
180149,308,3.93034257
180708,309,3.93003738
181267,310,3.92988479
181827,311,3.93018997
182387,312,3.93018997
182947,313,3.93049516
183507,314,3.93018997
184066,315,3.93003738
184625,316,3.93003738
185184,317,3.93003738
185743,318,3.92988479
186302,319,3.93018997
186861,320,3.93003738
187419,321,3.93018997
187977,322,3.93018997
188535,323,3.93003738
189093,324,3.93018997
189651,325,3.93049516
190841,326,3.9282063
191399,327,3.92866407
191957,328,3.92896925
192515,329,3.92927443
193073,330,3.92912184
193630,331,3.92927443
