,CycleReorder,Volts
1186,1,3.32486458
2123,2,3.30075532
3047,3,3.29465171
3963,4,3.28885328
4873,5,3.28122377
5778,6,3.27435721
6678,7,3.26871138
7573,8,3.26382849
8462,9,3.25940337
9347,10,3.25650416
10228,11,3.25345235
11105,12,3.25024796
11979,13,3.24658579
12850,14,3.2433814
13718,15,3.23941405
14584,16,3.23620966
15448,17,3.23315785
16310,18,3.23025864
17171,19,3.22690166
18030,20,3.22430762
18887,21,3.22110323
19743,22,3.21850919
20596,23,3.2153048
21447,24,3.21286336
22296,25,3.2105745
25282,26,3.1326009
26162,27,3.12878614
27037,28,3.12939651
27907,29,3.13092241
28772,30,3.1341268
29633,31,3.13702602
30490,32,3.14007782
31344,33,3.14297704
32193,34,3.14572366
33041,35,3.14785992
33886,36,3.1498436
34729,37,3.15121691
35569,38,3.15182727
36408,39,3.15259022
37247,40,3.15243763
38085,41,3.15274281
38922,42,3.1528954
39758,43,3.15213245
40594,44,3.15197986
41429,45,3.15152209
42263,46,3.15121691
43097,47,3.15075914
43929,48,3.15030137
44762,49,3.1498436
45594,50,3.149691
48560,51,3.11978332
49426,52,3.11245899
50292,53,3.10681315
51154,54,3.10849165
52014,55,3.10772869
52871,56,3.10788128
53727,57,3.10772869
54582,58,3.10849165
55436,59,3.10910201
56289,60,3.10910201
57141,61,3.10986496
57992,62,3.11062791
58843,63,3.11093309
59693,64,3.11139086
60543,65,3.11200122
61393,66,3.11245899
62242,67,3.11261158
63090,68,3.11306935
63938,69,3.11322194
64786,70,3.11352712
65634,71,3.11367971
66482,72,3.1138323
67331,73,3.11413748
68180,74,3.11459525
69029,75,3.11429007
71956,76,3.10803388
72820,77,3.10391394
73682,78,3.10269322
74542,79,3.10284581
75400,80,3.10330358
76256,81,3.10376135
77110,82,3.1045243
77962,83,3.10528725
78814,84,3.1060502
79665,85,3.10666056
80515,86,3.10788128
81364,87,3.10833906
82213,88,3.10910201
83062,89,3.10971237
83909,90,3.11017014
84757,91,3.11093309
85605,92,3.11108568
86453,93,3.11184863
87301,94,3.11215381
88148,95,3.11276417
88995,96,3.11306935
89842,97,3.11322194
90689,98,3.1138323
91536,99,3.11398489
92383,100,3.11474784
95344,101,3.11261158
96205,102,3.10742351
97063,103,3.10574502
97919,104,3.10559243
98775,105,3.10589761
99629,106,3.10620279
100481,107,3.10696574
101332,108,3.10742351
102182,109,3.10788128
103030,110,3.10910201
103877,111,3.1092546
104725,112,3.11017014
105571,113,3.11093309
106418,114,3.11139086
107265,115,3.1123064
108111,116,3.11291676
108957,117,3.11276417
109803,118,3.1138323
