,Cycle,CE
0,1,99.47525895
1,2,99.08080291
2,3,98.61815293
3,4,98.51938102
4,5,98.60552793
5,6,98.71878436
6,7,98.81267963
7,8,98.90404809
8,9,99.02368457
9,10,99.14523079
10,11,99.26255688
11,12,99.33486423
12,13,99.41776458
13,14,99.48833806
14,15,99.53252533
15,16,99.56165202
16,17,99.5931131
17,18,99.62203048
18,19,99.65498902
19,20,99.67885517
20,21,99.67876378
21,22,99.67698186
22,23,99.68045399
23,24,99.70349454
24,25,99.71879713
25,26,99.52566606
26,27,98.84641589
27,28,98.80074208
28,29,99.10185416
29,30,99.3529055
30,31,99.51340835
31,32,99.62216574
32,33,99.68960606
33,34,99.72023127
34,35,99.74281185
35,36,99.77037151
36,37,99.78768923
37,38,99.78282258
38,39,99.79624259
39,40,99.80579755
40,41,99.79928225
41,42,99.80478198
42,43,99.79486394
43,44,99.81746669
44,45,99.80824432
45,46,99.81451293
46,47,99.82102833
47,48,99.82965975
48,49,99.83619186
49,50,99.83572166
50,51,99.71315109999999
51,52,99.92304517
52,53,99.88162814
53,54,99.85779524
54,55,99.86320128
55,56,99.87469475
56,57,99.8571643
57,58,99.85429119
58,59,99.86452383
59,60,99.8645597
60,61,99.86385788
61,62,99.85795626
62,63,99.86177465
63,64,99.86794887
64,65,99.86159784
65,66,99.86314186
66,67,99.86049032
67,68,99.85552263
68,69,99.85969265
69,70,99.87988157
70,71,99.87520373
71,72,99.88521738
72,73,99.89036486
73,74,99.88532064
74,75,99.90464601
75,76,99.98389432
76,77,99.94700271
77,78,99.92269336
78,79,99.90929053
79,80,99.89959233
80,81,99.89560349
81,82,99.89377401
82,83,99.8936657
83,84,99.90083098
84,85,99.91028187
85,86,99.89468668
86,87,99.90300635
87,88,99.90228629
88,89,99.89850161
89,90,99.89668119
90,91,99.9013484
91,92,99.89277562
92,93,99.9016514
93,94,99.90924659999999
94,95,99.91231185
95,96,99.91885719
96,97,99.904536
97,98,99.91416911
98,99,99.90674944
99,100,99.90639795
100,101,100.04244609999999
101,102,99.99685168
102,103,99.97152778
103,104,99.94824713
104,105,99.93903268
105,106,99.93245391
106,107,99.92108496
107,108,99.92411789
108,109,99.91274720000001
109,110,99.91996714
110,111,99.92426385
111,112,99.91911703
112,113,99.92429636
113,114,99.91449837
114,115,99.9240704
115,116,99.91222136
116,117,99.92102568
117,118,99.91419228
118,119,99.91482605
119,120,99.92196537
120,121,99.91901674
121,122,99.91791326
122,123,99.91545539
123,124,99.92674662
124,125,99.92625285
125,126,100.0339736
126,127,99.98522415
127,128,99.95689379
128,129,99.93514174
129,130,99.93634711
130,131,99.93501578
131,132,99.92170885
132,133,99.92918776
133,134,99.91301943
134,135,99.92556468
135,136,99.92391528
136,137,99.91498648
137,138,99.92216009
138,139,99.93436196
139,140,99.92820436
140,141,99.91954266
141,142,99.92406514
142,143,99.92373131
143,144,99.92589425
144,145,99.9263788
145,146,99.92295962
146,147,99.92295169
147,148,99.97449068
148,149,99.77475532
149,150,99.99556348
150,151,99.95465307
151,152,99.94456956
152,153,99.93810012
153,154,99.92611667
154,155,99.93960838
155,156,99.93675153
156,157,99.94785149
157,158,99.93470222
158,159,99.93368914
159,160,99.94110694
160,161,99.94265366
161,162,99.93215998
162,163,99.93452325
163,164,99.92385366
164,165,99.92327264
165,166,99.92974764
166,167,99.93023295
167,168,99.93118671
168,169,99.93630440000001
169,170,99.94494202
170,171,99.94212151
171,172,99.93939265
172,173,99.93781659
173,174,99.94963356
174,175,99.9330235
175,176,100.0
176,177,99.97722822
177,178,99.96813837
178,179,99.95444814
179,180,99.9498724
180,181,99.94986783
181,182,99.94074479
182,183,99.94527046
183,184,99.94525048
184,185,99.94525048
185,186,99.94067178
186,187,99.94066095
187,188,99.94524798
188,189,99.92708048
189,190,99.93612556
190,191,99.94523049
191,192,99.94065553
192,193,99.93156309999999
193,194,99.95431495
194,195,99.94517293
195,196,99.94973497
196,197,99.94972807
197,198,99.95428362
198,199,99.95887594
199,200,99.93154436
200,201,99.93607014
201,202,99.93606138
202,203,99.94060944
203,204,99.94517293
204,205,99.93147243
205,206,99.94967748
206,207,99.94051977
207,208,99.94967287
208,209,99.94051704
209,210,99.94506501
210,211,99.95881949
211,212,99.94059587
212,213,99.91767289
213,214,99.94042163
214,215,99.95415157
215,216,99.95415998
216,217,99.94956904
217,218,99.9495436
218,219,99.94954128
219,220,99.94496170000001
220,221,99.94493139
221,222,99.9449415
222,223,99.94497684
223,224,99.92211124
224,225,99.93120213
225,226,100.11273609999999
226,227,99.99344696
227,228,99.96478051
228,229,99.95066689
229,230,99.94106068
230,231,99.94507923
231,232,99.93532763
232,233,99.93731386
233,234,99.94348272
234,235,99.94049876
235,236,99.94015867
236,237,99.94403425
237,238,99.94109896
238,239,99.93285767
239,240,99.94374941
240,241,99.93501847
241,242,99.94303694
242,243,99.94353086
243,244,99.94968917
244,245,99.93711988
245,246,99.95360855
246,247,99.95990515
247,248,99.95042642
248,249,99.95753786
249,250,99.95648362
250,251,99.94178317
251,252,99.94733081
252,253,99.94226490000001
253,254,99.94113735
254,255,99.9418196
255,256,99.94401871
256,257,99.93652078
257,258,99.94140511
258,259,99.9412272
259,260,99.93643703
260,261,99.94134943
261,262,99.95175998
262,263,99.94494903
263,264,99.93576249
264,265,99.95513839
265,266,99.95159063
266,267,99.95390046
267,268,99.94356297
268,269,99.9520339
269,270,99.95526184
270,271,99.94007016
271,272,99.94471939
272,273,99.95477011
273,274,99.94664836
274,275,99.93593924
275,276,100.210227
276,277,100.0108517
277,278,99.98061236
278,279,99.96800406
279,280,99.95392648
280,281,99.95638220000001
281,282,99.94723199
282,283,99.944357
283,284,99.9479061
284,285,99.94383679
