,CycleReorder,Amphr
168255,289,0.02722935
168810,290,0.02721954
169365,291,0.02721469
169920,292,0.02720087
170473,293,0.02719202
171026,294,0.02718989
171580,295,0.02719172
172134,296,0.02719016
172688,297,0.02718145
173241,298,0.02717314
173794,299,0.0271607
174347,300,0.0271483
174900,301,0.02714434
175453,302,0.02714439
176007,303,0.02713554
176561,304,0.02713341
177114,305,0.02713559
177668,306,0.02712768
178222,307,0.02711541
178776,308,0.02711359
179329,309,0.02709764
179882,310,0.02708644
180434,311,0.02707408
180986,312,0.02706551
181538,313,0.02706831
182090,314,0.02706431
182642,315,0.02705533
183194,316,0.02704506
183746,317,0.02703706
184299,318,0.02702636
184852,319,0.0270212
185404,320,0.02701324
185956,321,0.02700894
186508,322,0.02700413
187060,323,0.02699703
187612,324,0.02700951
188164,325,0.02700076
189381,326,0.02711803
189934,327,0.02703822
190486,328,0.02701369
191037,329,0.02700573
191588,330,0.02698965
192139,331,0.02696965
192690,332,0.0269592
193242,333,0.02695036
193794,334,0.02694432
194345,335,0.02692703
194896,336,0.02691819
195447,337,0.02691823
195998,338,0.0269101
196548,339,0.02689317
197098,340,0.02688281
197648,341,0.02687544
198198,342,0.02686895
198748,343,0.02685117
199299,344,0.02684971
199850,345,0.02684269
200400,346,0.02683478
200950,347,0.02682962
201500,348,0.02682815
202050,349,0.02681398
202600,350,0.02680727
203150,351,0.02680305
203700,352,0.02679109
204249,353,0.02677536
204798,354,0.02677216
205347,355,0.02677345
205896,356,0.02677114
206445,357,0.02676923
206994,358,0.02676047
207542,359,0.02675096
208090,360,0.02674008
208639,361,0.02672768
209188,362,0.02672159
209737,363,0.0267211
210286,364,0.02671177
210835,365,0.0267095
211384,366,0.02671337
211933,367,0.0267163
212482,368,0.02670813
213031,369,0.02669608
213580,370,0.02668861
214128,371,0.02667533
214675,372,0.02665897
215222,373,0.02665351
215769,374,0.02665288
216316,375,0.02665107
217554,376,0.0267675
218102,377,0.02665755
218650,378,0.02662871
219197,379,0.02661302
219744,380,0.02660116
220291,381,0.0265964
220838,382,0.02658689
221385,383,0.02657774
221933,384,0.02658525
222481,385,0.0266076
223029,386,0.02659982
223576,387,0.02659254
224123,388,0.02658618
224669,389,0.02657365
225215,390,0.02656023
225761,391,0.02655734
226307,392,0.02655401
226854,393,0.02653823
227401,394,0.02653214
227948,395,0.02652805
228495,396,0.02652152
229042,397,0.02651157
229589,398,0.02650646
230136,399,0.02649899
230683,400,0.02648882
231229,401,0.02648464
231775,402,0.02647779
232320,403,0.02646899
232865,404,0.02646015
233410,405,0.02645278
233955,406,0.02644255
234500,407,0.02643464
235045,408,0.02642975
235591,409,0.02641944
236137,410,0.02641727
236683,411,0.02641189
237229,412,0.02640998
237775,413,0.02640282
238320,414,0.02639274
238865,415,0.02638825
239410,416,0.02638234
239955,417,0.02637354
240500,418,0.02636536
241044,419,0.02635585
241588,420,0.02635336
242132,421,0.02634705
242676,422,0.02633612
243220,423,0.02632994
243764,424,0.02632621
244308,425,0.0263331
245480,426,0.02635505
246024,427,0.02631732
246568,428,0.02629932
247112,429,0.02629159
247656,430,0.02628404
248200,431,0.0262779
248744,432,0.02627839
249288,433,0.02627168
249832,434,0.02626653
250376,435,0.0262572
250919,436,0.02624671
251462,437,0.02624382
252005,438,0.02622902
252548,439,0.02622787
253091,440,0.02622773
253634,441,0.02622586
254177,442,0.0262276
254721,443,0.02623124
255263,444,0.02620156
255806,445,0.02619178
256349,446,0.02618018
256892,447,0.02616716
257434,448,0.0261281
257976,449,0.02610686
258519,450,0.02616423
