,CycleReorder,Volts
810,1,3.37674525
1381,2,3.37567712
1951,3,3.37491417
2521,4,3.37323568
3091,5,3.37201495
3660,6,3.37018387
4229,7,3.36881056
4798,8,3.36743725
5367,9,3.36575875
5936,10,3.36469062
6505,11,3.36316472
7074,12,3.36179141
7643,13,3.3604181
8212,14,3.35950256
8781,15,3.35858701
9350,16,3.3572137
9919,17,3.35599298
10488,18,3.35507744
11057,19,3.35339895
11626,20,3.35187304
12195,21,3.35065232
12764,22,3.35004196
13333,23,3.34897383
13902,24,3.34851606
14471,25,3.34699016
15677,26,3.34103914
16247,27,3.34134432
16817,28,3.34073396
17387,29,3.34027619
17957,30,3.33936065
18526,31,3.33890288
19096,32,3.33829252
19666,33,3.33752956
20236,34,3.33737697
20806,35,3.33646143
21376,36,3.33508812
21946,37,3.33417258
22516,38,3.33325704
23086,39,3.3323415
23656,40,3.33157855
24226,41,3.33081559
24796,42,3.33051041
25365,43,3.33005264
25934,44,3.32990005
26503,45,3.3291371
27072,46,3.32806897
27641,47,3.32745861
28210,48,3.32654307
28779,49,3.3260853
29348,50,3.32516976
30551,51,3.31235218
31124,52,3.29251545
31692,53,3.31586175
32261,54,3.31647211
32830,55,3.31586175
33398,56,3.31692988
33966,57,3.3166247
34534,58,3.31616693
35102,59,3.31631952
35670,60,3.31586175
36238,61,3.31555657
36806,62,3.31525139
37374,63,3.31525139
37942,64,3.31479362
38511,65,3.31418326
39080,66,3.31403067
39648,67,3.31342031
40216,68,3.31311513
40784,69,3.31250477
41352,70,3.31174182
41920,71,3.31082628
42488,72,3.31067369
43056,73,3.31067369
43624,74,3.30991073
44192,75,3.30975814
45465,76,3.28992142
46033,77,3.29373617
46600,78,3.29587243
47167,79,3.29755093
47734,80,3.29877165
48301,81,3.2995346
48868,82,3.30014496
49436,83,3.30014496
50003,84,3.29999237
50571,85,3.29999237
51139,86,3.30014496
51707,87,3.29983978
52274,88,3.30014496
52841,89,3.30060273
53408,90,3.30060273
53975,91,3.29999237
54542,92,3.30014496
55109,93,3.29938201
55676,94,3.29892424
56243,95,3.29907683
56810,96,3.29892424
57377,97,3.29938201
57943,98,3.29892424
58509,99,3.29861906
59076,100,3.29861906
60277,101,3.28580148
60843,102,3.28809033
61409,103,3.28976883
61975,104,3.29114214
62541,105,3.29144732
63107,106,3.2917525
63673,107,3.29205768
64239,108,3.29251545
64805,109,3.29190509
65371,110,3.29205768
65937,111,3.29205768
66503,112,3.29236286
67069,113,3.29251545
67634,114,3.29266804
68199,115,3.29266804
68764,116,3.29251545
69329,117,3.29221027
69894,118,3.29190509
70459,119,3.29159991
71024,120,3.29098955
71589,121,3.29098955
72154,122,3.29098955
72719,123,3.29068437
73284,124,3.29083696
73849,125,3.29068437
75047,126,3.2777142
75612,127,3.27985046
76177,128,3.28137636
76742,129,3.28274968
77307,130,3.28351263
77872,131,3.28412299
78436,132,3.28412299
79000,133,3.28381781
79564,134,3.28427558
80128,135,3.28458076
80692,136,3.2854963
81257,137,3.28473335
81822,138,3.2839704
82386,139,3.28381781
82951,140,3.28366522
83515,141,3.28427558
84079,142,3.2839704
84643,143,3.28381781
85212,144,3.240177
85790,145,3.27679866
86355,146,3.27801938
86920,147,3.27893492
87485,148,3.27908751
88050,149,3.27985046
88615,150,3.27985046
89180,151,3.27969787
89745,152,3.28000305
90310,153,3.27969787
90874,154,3.27817197
91439,155,3.27801938
92003,156,3.27634089
92568,157,3.27481498
93133,158,3.27481498
93696,159,3.27435721
94259,160,3.27389944
94822,161,3.27435721
95385,162,3.27435721
95948,163,3.27496757
96511,164,3.27435721
97075,165,3.27389944
97638,166,3.27328908
98201,167,3.2729839
98765,168,3.27267872
99329,169,3.27313649
99893,170,3.27344167
100457,171,3.27344167
101021,172,3.27344167
101585,173,3.27374685
102149,174,3.27374685
102713,175,3.27328908
103861,176,3.2511639999999997
104423,177,3.254673
104984,178,3.259098
105546,179,3.261387
106108,180,3.263066
106670,181,3.2650490000000003
107232,182,3.266117
107794,183,3.266117
108356,184,3.267033
108918,185,3.267033
109480,186,3.26627
110042,187,3.2677959999999997
110604,188,3.2677959999999997
111165,189,3.267491
111727,190,3.2688639999999998
112288,191,3.268559
112849,192,3.268406
113409,193,3.2688639999999998
113969,194,3.268254
114530,195,3.267491
115091,196,3.267491
115651,197,3.267338
116211,198,3.267338
116771,199,3.267185
117332,200,3.267643
117893,201,3.267338
118454,202,3.267033
119015,203,3.267491
119576,204,3.266117
120137,205,3.265965
120698,206,3.2681009999999997
121257,207,3.268406
121816,208,3.268711
122375,209,3.2691689999999998
122934,210,3.2693220000000003
123493,211,3.268559
124052,212,3.268254
124612,213,3.267643
125171,214,3.266423
125730,215,3.266728
126290,216,3.26627
126850,217,3.265507
127410,218,3.264591
127970,219,3.265202
128530,220,3.26566
129090,221,3.265507
129650,222,3.266423
130210,223,3.266423
130770,224,3.266117
131330,225,3.266423
132520,226,3.25803006
133080,227,3.26001373
133640,228,3.26077668
134200,229,3.26199741
134759,230,3.26291295
135317,231,3.26352331
135876,232,3.2636759
136435,233,3.26398108
136994,234,3.26459144
137553,235,3.26474403
138112,236,3.26550698
138671,237,3.26581216
139229,238,3.26535439
139787,239,3.26474403
140344,240,3.26413367
140901,241,3.26382849
141458,242,3.26413367
142016,243,3.26398108
142574,244,3.26474403
143132,245,3.26489662
143690,246,3.26428626
144248,247,3.26428626
144806,248,3.26413367
145364,249,3.26382849
145922,250,3.26398108
146480,251,3.26428626
147036,252,3.26489662
147592,253,3.26504921
148148,254,3.26535439
148704,255,3.26535439
149260,256,3.26443885
149816,257,3.2652018
150373,258,3.26489662
150930,259,3.26459144
151487,260,3.26504921
152044,261,3.26550698
152601,262,3.26565957
153158,263,3.26626993
153715,264,3.26611734
154272,265,3.26642252
154827,266,3.26626993
155383,267,3.26688029
155938,268,3.26718547
156493,269,3.26657511
157048,270,3.26688029
157603,271,3.26703288
158158,272,3.2667277
158713,273,3.2667277
159268,274,3.26611734
159823,275,3.26581216
161073,276,3.25238422
161628,277,3.25482567
162184,278,3.25650416
162740,279,3.25879301
163296,280,3.25986114
163852,281,3.26077668
164407,282,3.26123445
164961,283,3.26138705
165515,284,3.26215
166069,285,3.26230259
166623,286,3.26199741
167177,287,3.26215
167731,288,3.26276036
168286,289,3.26260777
168841,290,3.26291295
169396,291,3.26276036
169951,292,3.26337072
170504,293,3.26382849
171057,294,3.26398108
171611,295,3.26413367
172165,296,3.2636759
172719,297,3.26398108
173272,298,3.26382849
173825,299,3.26443885
174378,300,3.26428626
174931,301,3.26398108
175484,302,3.2636759
176038,303,3.26382849
176592,304,3.2636759
177145,305,3.26321813
177699,306,3.2636759
178253,307,3.26306554
178807,308,3.26291295
179360,309,3.26321813
179913,310,3.2636759
180465,311,3.26352331
181017,312,3.26382849
181569,313,3.26321813
182121,314,3.26398108
182673,315,3.2636759
183225,316,3.26413367
183777,317,3.26413367
184330,318,3.26413367
184883,319,3.26443885
