,CycleReorder,Amphr
1156,1,0.0250517
2102,2,0.02471315
3044,3,0.02435253
3982,4,0.02407193
4918,5,0.02384258
5852,6,0.02364229
6784,7,0.0234648
7714,8,0.02330935
8642,9,0.02317075
9568,10,0.02305778
10493,11,0.02297281
11418,12,0.02290508
12343,13,0.02284318
13266,14,0.02280216
14190,15,0.02275852
15113,16,0.02271974
16036,17,0.02267291
16958,18,0.0226408
17880,19,0.02261663
18802,20,0.0225961
19723,21,0.02256793
20643,22,0.02252635
21564,23,0.0224974
22485,24,0.02249256
23405,25,0.0224826
26436,26,0.02322519
27358,27,0.02266147
28277,28,0.02237821
29195,29,0.02224685
30112,30,0.02217841
31029,31,0.02214242
31945,32,0.02212424
32861,33,0.02211264
33777,34,0.02210629
34693,35,0.02209025
35609,36,0.02207189
36525,37,0.02206216
37441,38,0.02205834
38357,39,0.02205478
39273,40,0.02204745
40189,41,0.02204141
41104,42,0.02203478
42019,43,0.02202301
42934,44,0.02201052
43849,45,0.02200661
44764,46,0.02198763
45679,47,0.02196968
46594,48,0.02195968
47508,49,0.02194093
48422,50,0.0219388
51444,51,0.02246292
52363,52,0.02243745
53285,53,0.02243652
54205,54,0.02242863
55125,55,0.02242563
56045,56,0.02242105
56965,57,0.0224203
57885,58,0.02240932
58805,59,0.02240897
59725,60,0.02240754
60645,61,0.0224019
61565,62,0.02239785
62484,63,0.02238892
63403,64,0.02238596
64322,65,0.02237471
65241,66,0.0223721
66160,67,0.02236863
67079,68,0.0223587
67998,69,0.02234804
68917,70,0.02234272
69836,71,0.02233654
70755,72,0.02232964
71674,73,0.02232235
72593,74,0.02231493
73511,75,0.02230604
76562,76,0.02241084
77480,77,0.0223855
78399,78,0.02237404
79318,79,0.02235884
80237,80,0.02234635
81156,81,0.02233373
82075,82,0.02232484
82994,83,0.02231147
83912,84,0.02230338
84830,85,0.02229431
85748,86,0.02228138
86666,87,0.0222788
87584,88,0.02227805
88502,89,0.02227329
89420,90,0.0222672
90338,91,0.02225845
91256,92,0.02225649
92174,93,0.02224583
93092,94,0.02223792
94010,95,0.02222979
94928,96,0.02222668
95845,97,0.02221752
96762,98,0.02221068
97679,99,0.0222097
98596,100,0.02221161
101614,101,0.02224939
102531,102,0.02223339
103449,103,0.02222587
104366,104,0.02220949
105283,105,0.02219508
106199,106,0.02219206
107116,107,0.02218357
108033,108,0.02217548
108950,109,0.02216904
109867,110,0.02216064
110783,111,0.02215228
111699,112,0.0221499
112615,113,0.0221486
113531,114,0.02214437
114447,115,0.02214844
115363,116,0.02213856
116279,117,0.02212895
117195,118,0.02212353
118111,119,0.02212406
119027,120,0.02211393
119943,121,0.02211011
120859,122,0.02210478
121775,123,0.0220998
122691,124,0.02209882
123607,125,0.0220998
126624,126,0.02214233
127540,127,0.02212744
128456,128,0.02212184
129372,129,0.02211082
130288,130,0.02210589
131204,131,0.02209869
132120,132,0.02209247
133036,133,0.02208505
133952,134,0.02207767
134868,135,0.02206985
135784,136,0.02206385
136700,137,0.02206007
137616,138,0.02205376
138532,139,0.0220459
139448,140,0.02204678
140364,141,0.02204363
141280,142,0.02204163
142195,143,0.02203679
143110,144,0.02203323
144025,145,0.02202905
144940,146,0.02202341
145854,147,0.02202114
146769,148,0.02202554
147691,149,0.02241386
148607,150,0.02208843
149522,151,0.02206425
150438,152,0.02206949
151354,153,0.02207038
152270,154,0.02207256
153186,155,0.02205927
154102,156,0.02205772
155017,157,0.02206007
155933,158,0.02205372
156849,159,0.02204812
157765,160,0.02204394
158681,161,0.0220463
159596,162,0.02203692
160511,163,0.02203919
161427,164,0.02204598
162343,165,0.02204821
163258,166,0.02203359
164173,167,0.02202941
165088,168,0.02202999
166003,169,0.0220283
166918,170,0.02201919
167833,171,0.02201616
168748,172,0.02201368
169663,173,0.0220179
170578,174,0.02200754
171493,175,0.0220079
174417,176,0.02199
175331,177,0.021952
176246,178,0.021963
177160,179,0.021943
178074,180,0.021933
178987,181,0.021931
179901,182,0.021925999999999998
180815,183,0.021914
181729,184,0.021906000000000002
182643,185,0.021906000000000002
183557,186,0.021899000000000002
184471,187,0.021894999999999998
185385,188,0.021905
186299,189,0.021925999999999998
187213,190,0.021904
188127,191,0.021897999999999997
189041,192,0.021893
189955,193,0.021903
190869,194,0.021879
191783,195,0.021875
192697,196,0.021873
193611,197,0.02187
194525,198,0.021863999999999998
195438,199,0.021876
196352,200,0.021897
197266,201,0.021884999999999998
198180,202,0.021882
199094,203,0.021876
200008,204,0.021875
200922,205,0.021874
201835,206,0.021848
202748,207,0.021843
203661,208,0.021846
204574,209,0.021842
205486,210,0.021832
206399,211,0.021846
207313,212,0.021871
208226,213,0.021846
209139,214,0.021807
210052,215,0.021800999999999997
210965,216,0.021805
211878,217,0.021800999999999997
212791,218,0.02179
213704,219,0.021789
214617,220,0.021791
215530,221,0.021779
216443,222,0.021783
217356,223,0.021797
218269,224,0.021809000000000002
219181,225,0.021788
222192,226,0.02184548
223105,227,0.0218205
224018,228,0.02182681
224931,229,0.02182041
225844,230,0.02180619
226757,231,0.02180126
227670,232,0.0217881
228583,233,0.02177744
229495,234,0.02176864
230407,235,0.0217681
231319,236,0.02176122
232231,237,0.02175113
233143,238,0.0217525
234055,239,0.02176002
234967,240,0.02174753
235879,241,0.02174589
236790,242,0.02173855
237702,243,0.02173411
238614,244,0.02173388
239526,245,0.02172611
240438,246,0.02171806
241350,247,0.02171478
242262,248,0.02171451
243173,249,0.02170424
244085,250,0.02170651
244997,251,0.02171646
245909,252,0.02170904
246821,253,0.02170735
247733,254,0.02169878
248645,255,0.02169571
249556,256,0.02169153
250468,257,0.02169411
251379,258,0.0216786
252290,259,0.02168096
253201,260,0.02168123
254112,261,0.02167505
255023,262,0.02167278
255934,263,0.02167705
256845,264,0.02167122
257756,265,0.02165691
258667,266,0.02165887
259578,267,0.02166051
260489,268,0.02165794
261400,269,0.02165074
262311,270,0.02164967
263222,271,0.02164568
264133,272,0.02164119
265044,273,0.02163519
265955,274,0.02163727
266866,275,0.02163745
269899,276,0.0217126
270810,277,0.02165794
271721,278,0.02165909
272632,279,0.02165207
273543,280,0.02165105
274454,281,0.0216331
275365,282,0.02163048
276276,283,0.0216259
277187,284,0.02162274
278098,285,0.02162123
279009,286,0.02160737
279920,287,0.02160697
280831,288,0.02160461
281742,289,0.02160448
282652,290,0.02160581
283563,291,0.02159666
284473,292,0.0215863
285383,293,0.0215835
286293,294,0.02157906
287203,295,0.02157933
288113,296,0.02156817
289023,297,0.02156368
289933,298,0.02156728
290843,299,0.02157417
291753,300,0.02157346
292663,301,0.0215763
293573,302,0.02157146
294483,303,0.02156884
295392,304,0.02156399
296302,305,0.02154955
297212,306,0.02155084
298122,307,0.02154431
299032,308,0.02154479
299942,309,0.02153942
300852,310,0.02154071
301762,311,0.02154324
302672,312,0.02154822
303582,313,0.02154893
304492,314,0.02153737
305402,315,0.02153688
306312,316,0.02153702
307222,317,0.02151809
308132,318,0.02151489
309041,319,0.02150209
309950,320,0.02149631
310859,321,0.02149747
311768,322,0.02150346
312676,323,0.02149356
313585,324,0.02149547
314493,325,0.02149307
317502,326,0.02156644
318412,327,0.02151724
319322,328,0.02152484
320232,329,0.02152333
321142,330,0.02151591
322052,331,0.02151471
322961,332,0.02149978
323870,333,0.02149427
324778,334,0.0214856
325687,335,0.02147285
326596,336,0.02147298
327505,337,0.02147085
328414,338,0.02145827
329323,339,0.02145898
330232,340,0.0214612
331141,341,0.02146436
332050,342,0.02144636
332959,343,0.02144756
333868,344,0.02143818
334777,345,0.02144032
335686,346,0.02142752
336595,347,0.02142223
337503,348,0.02141592
338412,349,0.02142108
339320,350,0.02141228
340228,351,0.0214113
341136,352,0.02141276
342045,353,0.02142027
342953,354,0.02140601
343861,355,0.02140037
344769,356,0.02139846
345677,357,0.02139228
346585,358,0.0213941
347493,359,0.02138446
348401,360,0.0213829
349309,361,0.02138512
350217,362,0.02139126
351125,363,0.02139659
352032,364,0.02139592
352940,365,0.02139215
353848,366,0.02139117
354756,367,0.02138179
355664,368,0.0213785
356572,369,0.02136628
357480,370,0.02136815
358388,371,0.02136424
359296,372,0.02136148
360204,373,0.02135433
361111,374,0.0213677
362019,375,0.02137215
365046,376,0.02143872
365954,377,0.0213693
366862,378,0.02137139
367770,379,0.02136295
368678,380,0.02135811
369586,381,0.021345
370494,382,0.02134348
371402,383,0.02133971
372310,384,0.02133171
373217,385,0.02132238
374125,386,0.02133695
375033,387,0.02136966
375940,388,0.02137788
376847,389,0.02137606
377754,390,0.02137459
378661,391,0.02137166
379569,392,0.0213717
380477,393,0.02136348
381385,394,0.02135593
382293,395,0.02135993
