,CycleReorder,Volts
248049,251,3.88715953
248969,252,3.88700694
249887,253,3.88670176
250806,254,3.88685435
251725,255,3.88685435
252644,256,3.88700694
253563,257,3.88715953
254482,258,3.88685435
255401,259,3.88670176
256320,260,3.88670176
257239,261,3.88670176
258158,262,3.88746471
259077,263,3.88746471
259996,264,3.88685435
260915,265,3.88715953
261834,266,3.88731212
262753,267,3.88715953
263672,268,3.88685435
264591,269,3.88700694
265510,270,3.88715953
266429,271,3.88731212
267348,272,3.88731212
268266,273,3.88700694
269183,274,3.88700694
270101,275,3.88715953
273151,276,3.89402609
274072,277,3.88990616
274991,278,3.8892958
275909,279,3.88914321
276827,280,3.88899062
277745,281,3.88838025
278664,282,3.88807507
279582,283,3.88807507
280500,284,3.88807507
281418,285,3.88807507
282336,286,3.88792248
283254,287,3.88776989
284172,288,3.88776989
285090,289,3.88792248
286008,290,3.88792248
286926,291,3.88746471
287844,292,3.8876173
288762,293,3.8876173
289680,294,3.8876173
290597,295,3.88792248
291515,296,3.88731212
292432,297,3.8876173
293349,298,3.8876173
294266,299,3.88792248
295183,300,3.88807507
296100,301,3.88776989
297017,302,3.88792248
297934,303,3.88792248
298851,304,3.88776989
299768,305,3.8876173
300685,306,3.8876173
301602,307,3.8876173
302519,308,3.88776989
303436,309,3.88776989
304353,310,3.88776989
305270,311,3.88776989
306187,312,3.8876173
307104,313,3.8876173
308021,314,3.88746471
308938,315,3.88792248
309855,316,3.88776989
310772,317,3.8876173
311688,318,3.88731212
312604,319,3.88700694
313519,320,3.88731212
314435,321,3.88746471
315351,322,3.88715953
316267,323,3.88746471
317183,324,3.88731212
318099,325,3.88731212
321115,326,3.89311055
322032,327,3.88944839
322949,328,3.8892958
323866,329,3.88944839
324783,330,3.88883803
325700,331,3.88883803
326617,332,3.88838025
327533,333,3.88838025
328449,334,3.88838025
329365,335,3.88822766
330281,336,3.88822766
331196,337,3.88822766
332112,338,3.88792248
333028,339,3.88792248
333944,340,3.88807507
334860,341,3.88838025
335776,342,3.88776989
336692,343,3.88807507
337606,344,3.8876173
338521,345,3.88792248
339436,346,3.88776989
340351,347,3.88776989
341266,348,3.8876173
342181,349,3.88776989
343096,350,3.8876173
344011,351,3.88776989
344926,352,3.88776989
345841,353,3.88807507
346756,354,3.88746471
347671,355,3.8876173
348586,356,3.88776989
349501,357,3.88746471
350416,358,3.88731212
351331,359,3.88746471
352246,360,3.88715953
353161,361,3.88731212
354076,362,3.88776989
354991,363,3.8876173
355906,364,3.88776989
356821,365,3.88746471
357736,366,3.88776989
358650,367,3.88776989
359564,368,3.88731212
360478,369,3.88776989
361392,370,3.88746471
362306,371,3.88731212
363220,372,3.88700694
364134,373,3.88746471
365048,374,3.88776989
365962,375,3.88776989
369006,376,3.89448386
369923,377,3.88899062
370838,378,3.88914321
371753,379,3.88883803
372668,380,3.88883803
373582,381,3.88807507
374496,382,3.88822766
375410,383,3.88807507
376324,384,3.88807507
377238,385,3.88776989
378152,386,3.88822766
379066,387,3.8892958
379980,388,3.88944839
380894,389,3.8892958
381808,390,3.88960098
382722,391,3.8892958
383636,392,3.8892958
384550,393,3.8892958
385464,394,3.88914321
386378,395,3.8892958
387292,396,3.88944839
388206,397,3.8892958
389120,398,3.88914321
390034,399,3.88914321
390948,400,3.88914321
391862,401,3.88944839
392776,402,3.8892958
393690,403,3.88944839
394604,404,3.88944839
395518,405,3.88960098
396432,406,3.88914321
397346,407,3.88899062
398259,408,3.8892958
399172,409,3.8892958
400085,410,3.88960098
400998,411,3.88899062
401911,412,3.88944839
402824,413,3.8892958
403737,414,3.88914321
404650,415,3.88914321
405563,416,3.88899062
406476,417,3.88914321
407389,418,3.88914321
408302,419,3.88899062
409215,420,3.8892958
410128,421,3.88914321
411041,422,3.88914321
411954,423,3.88899062
412867,424,3.88883803
413780,425,3.88914321
416790,426,3.89463645
417704,427,3.89036393
418617,428,3.89036393
419530,429,3.88975357
420443,430,3.88975357
421356,431,3.88975357
422269,432,3.88944839
423181,433,3.88960098
424093,434,3.8892958
425004,435,3.8892958
425916,436,3.88944839
426828,437,3.8892958
427740,438,3.88960098
428652,439,3.88960098
429564,440,3.88960098
430476,441,3.88914321
431388,442,3.88914321
432300,443,3.8892958
433212,444,3.88883803
434124,445,3.8892958
435036,446,3.8892958
435948,447,3.88899062
436860,448,3.8892958
437772,449,3.88975357
438684,450,3.8892958
