,CycleReorder,Volts
872,1,3.85038529
1821,2,3.83848325
2758,3,3.83817807
3682,4,3.84596017
4598,5,3.85313191
5508,6,3.85816739
6413,7,3.86076143
7313,8,3.86213474
8207,9,3.86305028
9097,10,3.86350805
9982,11,3.86381323
10863,12,3.86503395
11740,13,3.86594949
12614,14,3.86640726
13484,15,3.86701762
14353,16,3.86762799
15219,17,3.86869612
16083,18,3.86930648
16945,19,3.86945907
17806,20,3.87022202
18665,21,3.8705272
19522,22,3.87083238
20377,23,3.8705272
21231,24,3.87037461
22082,25,3.86961166
25031,26,3.93965057
25917,27,3.92469673
26797,28,3.9156939
27672,29,3.90821698
28541,30,3.90119783
29407,31,3.89433127
30268,32,3.88944839
31125,33,3.88532845
31978,34,3.88227665
32828,35,3.88075074
33676,36,3.87998779
34521,37,3.87922484
35363,38,3.87876707
36203,39,3.87876707
37043,40,3.87968261
37882,41,3.87968261
38720,42,3.87998779
39557,43,3.88029297
40393,44,3.88059815
41229,45,3.88090333
42064,46,3.88151369
42898,47,3.88181888
43731,48,3.88197147
44564,49,3.88212406
45397,50,3.88273442
48326,51,3.9657435
49195,52,3.95811398
50061,53,3.95353628
50927,54,3.94926375
51789,55,3.945449
52648,56,3.94056611
53506,57,3.93644617
54362,58,3.93278401
55217,59,3.92942702
56071,60,3.92683299
56924,61,3.9251545
57776,62,3.92393378
58627,63,3.92301823
59478,64,3.92240787
60328,65,3.92210269
61178,66,3.9219501
62028,67,3.92164492
62876,68,3.9219501
63724,69,3.92179751
64572,70,3.92225528
65420,71,3.92256046
66268,72,3.92286564
67117,73,3.92317082
67966,74,3.92332341
68815,75,3.92332341
71724,76,3.96620127
72591,77,3.95902953
73455,78,3.95353628
74317,79,3.94880598
75177,80,3.94392309
76035,81,3.93949798
76891,82,3.93537804
77744,83,3.93202106
78597,84,3.92896925
79449,85,3.92698558
80300,86,3.92545968
81150,87,3.92408637
81999,88,3.92347601
82848,89,3.92317082
83696,90,3.92301823
84544,91,3.92286564
85392,92,3.92301823
86240,93,3.92271305
87088,94,3.92271305
87936,95,3.92286564
88783,96,3.92256046
89630,97,3.92286564
90477,98,3.92301823
91324,99,3.92286564
92171,100,3.92301823
95115,101,3.96665904
95979,102,3.95872435
96839,103,3.95399405
97697,104,3.94880598
98554,105,3.94422827
99410,106,3.93995575
100264,107,3.93583581
101116,108,3.93232624
101967,109,3.92988479
102816,110,3.92790112
103664,111,3.92652781
104512,112,3.92561227
105359,113,3.92469673
106206,114,3.92393378
107053,115,3.9236286
107900,116,3.92317082
108746,117,3.92317082
109592,118,3.92317082
110437,119,3.92332341
111283,120,3.92347601
112129,121,3.92332341
112975,122,3.92347601
113821,123,3.9236286
114667,124,3.92393378
115513,125,3.92408637
118456,126,3.96650645
119319,127,3.95887694
120179,128,3.95353628
121037,129,3.94834821
121893,130,3.94407568
122747,131,3.93934539
123599,132,3.93537804
124450,133,3.93263142
125299,134,3.92988479
126148,135,3.9282063
126996,136,3.92729076
127843,137,3.92637522
128690,138,3.92561227
129536,139,3.92530709
130382,140,3.9251545
131228,141,3.92469673
132074,142,3.92500191
132920,143,3.92484932
133766,144,3.92500191
134611,145,3.9251545
135456,146,3.9251545
136301,147,3.9251545
137147,148,3.92545968
137993,149,3.92576486
138839,150,3.92576486
139684,151,3.92591745
140529,152,3.92576486
141374,153,3.92622263
142219,154,3.93171588
143068,155,3.93278401
143916,156,3.92942702
144762,157,3.92744335
145608,158,3.9266804
146453,159,3.92607004
147297,160,3.92530709
148142,161,3.92423896
148986,162,3.92378119
149830,163,3.92347601
150674,164,3.92378119
151518,165,3.92408637
152362,166,3.9236286
153205,167,3.92347601
154048,168,3.9236286
154891,169,3.92378119
155734,170,3.92393378
156576,171,3.92393378
157419,172,3.92454414
158262,173,3.92484932
159105,174,3.9251545
159947,175,3.92454414
162767,176,3.968948
163629,177,3.963455
164489,178,3.9582669999999998
165346,179,3.953536
166202,180,3.9485010000000003
167056,181,3.944228
167908,182,3.940261
168758,183,3.9373620000000003
169607,184,3.934768
170455,185,3.9329370000000003
171302,186,3.931258
172149,187,3.9309529999999997
172995,188,3.9300370000000004
173841,189,3.92958
174686,190,3.928817
175531,191,3.9289690000000004
176376,192,3.9289690000000004
177221,193,3.928206
178065,194,3.928206
178909,195,3.9279010000000003
179753,196,3.9279010000000003
180597,197,3.927749
181440,198,3.927138
182283,199,3.9272910000000003
183126,200,3.9274430000000002
183969,201,3.9274430000000002
184812,202,3.927138
185655,203,3.927138
186498,204,3.9272910000000003
187341,205,3.9279010000000003
188184,206,3.9279010000000003
189027,207,3.9279010000000003
189870,208,3.927749
190713,209,3.927749
191556,210,3.928206
192398,211,3.9283589999999995
193241,212,3.928054
194083,213,3.9279010000000003
194925,214,3.927749
195767,215,3.9279010000000003
196609,216,3.9279010000000003
197451,217,3.9279010000000003
198293,218,3.928054
199135,219,3.9283589999999995
199977,220,3.928664
200819,221,3.928817
201661,222,3.9279010000000003
202503,223,3.9279010000000003
203345,224,3.927596
204187,225,3.928054
207125,226,3.96864271
207984,227,3.96238651
208840,228,3.95765621
209694,229,3.9532311
210546,230,3.94834821
211397,231,3.94331273
212246,232,3.93934539
213093,233,3.93629358
213939,234,3.93354696
214784,235,3.93171588
215628,236,3.93018997
216471,237,3.92942702
217314,238,3.92866407
218157,239,3.92790112
218999,240,3.92774853
219841,241,3.92790112
220683,242,3.92805371
221525,243,3.92759594
222367,244,3.92759594
223209,245,3.92744335
224051,246,3.92744335
224893,247,3.92774853
225735,248,3.92744335
226577,249,3.92759594
227419,250,3.92729076
228261,251,3.92744335
229102,252,3.92759594
229943,253,3.92744335
230783,254,3.92744335
231623,255,3.92774853
232463,256,3.92759594
233304,257,3.92759594
234145,258,3.92790112
234986,259,3.9282063
235828,260,3.92835889
236670,261,3.92851148
237512,262,3.92866407
238353,263,3.9282063
239195,264,3.92851148
240037,265,3.92896925
240879,266,3.92866407
241720,267,3.92851148
242561,268,3.92881666
243403,269,3.92866407
244244,270,3.92851148
245084,271,3.92881666
245924,272,3.92866407
246765,273,3.92866407
247606,274,3.92851148
248447,275,3.9282063
251340,276,3.96818494
252197,277,3.96162356
253052,278,3.95658808
253905,279,3.9517052
254755,280,3.94682231
255604,281,3.94254978
256451,282,3.93858244
257297,283,3.93553063
258141,284,3.93278401
258985,285,3.93125811
259828,286,3.92988479
260670,287,3.92912184
261512,288,3.92866407
262354,289,3.92835889
263195,290,3.92805371
264036,291,3.92759594
264877,292,3.92774853
265718,293,3.92759594
266558,294,3.92790112
267399,295,3.92790112
268240,296,3.92805371
269081,297,3.92774853
269922,298,3.92774853
270763,299,3.92774853
271604,300,3.9282063
272445,301,3.92790112
273286,302,3.92790112
274127,303,3.92835889
274968,304,3.92835889
275809,305,3.92881666
276650,306,3.92835889
277491,307,3.92881666
278332,308,3.92866407
279173,309,3.92881666
280014,310,3.92881666
280855,311,3.92896925
281696,312,3.92851148
282537,313,3.92912184
283378,314,3.92912184
284219,315,3.92881666
285060,316,3.92912184
285901,317,3.92927443
286742,318,3.92912184
287583,319,3.92927443
288424,320,3.92942702
289265,321,3.92957961
290106,322,3.92957961
290947,323,3.92988479
291788,324,3.93003738
292628,325,3.9297322
295574,326,3.96696422
296430,327,3.9594873
297283,328,3.95445182
298134,329,3.94956893
298983,330,3.94483864
299830,331,3.9407187
300676,332,3.93751431
301521,333,3.93492027
302365,334,3.93308919
303208,335,3.93202106
304050,336,3.93064775
304892,337,3.93003738
305734,338,3.9297322
306575,339,3.92927443
307416,340,3.92896925
308257,341,3.92942702
309098,342,3.92912184
309939,343,3.92912184
310780,344,3.92896925
311621,345,3.92942702
312462,346,3.92942702
313303,347,3.92912184
314143,348,3.92942702
314984,349,3.92927443
315825,350,3.92927443
316666,351,3.92942702
317507,352,3.92927443
318348,353,3.92957961
319189,354,3.92957961
320029,355,3.92988479
320870,356,3.9297322
321711,357,3.92988479
322552,358,3.9297322
323393,359,3.93003738
324233,360,3.93003738
325073,361,3.92988479
325913,362,3.92988479
326754,363,3.93003738
