,Cycle,Cell24
6562,1,3.31235218
11289,2,3.31265736
16016,3,3.31280995
20743,4,3.31265736
25470,5,3.312047
30197,6,3.31174182
34923,7,3.31128405
39650,8,3.31006332
44376,9,3.30930037
49103,10,3.30853742
53830,11,3.30746929
58557,12,3.30670634
63283,13,3.30548562
68010,14,3.30457008
72736,15,3.30319677
77462,16,3.30243381
82188,17,3.30151827
86915,18,3.30014496
91642,19,3.29968719
96369,20,3.29861906
101096,21,3.29785611
105823,22,3.29678798
110550,23,3.29602502
115277,24,3.29495689
120004,25,3.29419394
121007,26,3.26932174
121641,27,3.27222095
122275,28,3.27374685
122909,29,3.27481498
123543,30,3.27512016
124177,31,3.27557794
124811,32,3.27588312
125445,33,3.27542535
126079,34,3.27512016
126713,35,3.27542535
127347,36,3.27512016
127981,37,3.27466239
128615,38,3.27435721
129249,39,3.27420462
129883,40,3.27374685
130517,41,3.27389944
131151,42,3.27313649
131785,43,3.27313649
132419,44,3.27222095
133053,45,3.27206836
133687,46,3.271458
134321,47,3.27115282
134955,48,3.27084764
135589,49,3.27054246
136223,50,3.2699321
136857,51,3.26977951
137491,52,3.26962692
138125,53,3.26916915
138759,54,3.26886397
139393,55,3.26871138
140027,56,3.2684062
140661,57,3.26810101
141295,58,3.26764324
141929,59,3.26733806
142563,60,3.26718547
143197,61,3.2667277
143831,62,3.2667277
144465,63,3.26642252
145099,64,3.26642252
145733,65,3.26626993
146367,66,3.26550698
147001,67,3.26550698
147635,68,3.26535439
148269,69,3.26459144
148903,70,3.26489662
149537,71,3.26443885
150171,72,3.26443885
150805,73,3.26413367
151439,74,3.26428626
152073,75,3.26382849
152988,76,3.25726711
153622,77,3.25772488
154256,78,3.25848783
154890,79,3.25864042
155524,80,3.25925078
156158,81,3.25940337
156792,82,3.25925078
157426,83,3.2589456
158060,84,3.2589456
158694,85,3.25925078
159328,86,3.2589456
159962,87,3.25909819
160596,88,3.25925078
161230,89,3.25925078
161864,90,3.25925078
162498,91,3.25909819
163132,92,3.25940337
163766,93,3.25970855
164400,94,3.25955596
165034,95,3.25955596
165668,96,3.25925078
166302,97,3.25879301
166936,98,3.25909819
167570,99,3.25925078
168204,100,3.25879301
168838,101,3.25909819
169472,102,3.25940337
170106,103,3.25925078
170740,104,3.25925078
171374,105,3.25925078
172008,106,3.25970855
172642,107,3.25925078
173276,108,3.25955596
173910,109,3.25925078
174544,110,3.25986114
175178,111,3.25986114
175812,112,3.26016632
176446,113,3.26001373
177080,114,3.26001373
177714,115,3.26016632
178348,116,3.26031891
178982,117,3.25986114
179616,118,3.25986114
180250,119,3.25986114
180884,120,3.25970855
181518,121,3.25970855
182152,122,3.26016632
182786,123,3.26016632
183420,124,3.2604715
184054,125,3.26062409
191512,126,3.25192645
196238,127,3.25391012
200964,128,3.25513085
205690,129,3.25619898
210416,130,3.25680934
215141,131,3.25757229
219867,132,3.25803006
224593,133,3.25818265
229318,134,3.25909819
234044,135,3.25940337
238769,136,3.25970855
243494,137,3.26031891
248220,138,3.25986114
252946,139,3.25986114
257671,140,3.25970855
262396,141,3.26031891
267121,142,3.26077668
271846,143,3.26077668
276572,144,3.26077668
281298,145,3.26108186
286023,146,3.26108186
290749,147,3.26138705
295474,148,3.26169223
300199,149,3.26184482
304924,150,3.26215
309649,151,3.26230259
314375,152,3.26245518
319101,153,3.26260777
323826,154,3.26321813
328551,155,3.26337072
333277,156,3.26352331
338002,157,3.2636759
342727,158,3.26352331
347453,159,3.26352331
352178,160,3.2636759
356903,161,3.26428626
361629,162,3.26443885
366354,163,3.26443885
371079,164,3.2652018
375804,165,3.26550698
380529,166,3.26596475
385254,167,3.26642252
389979,168,3.2667277
394704,169,3.2667277
399429,170,3.26688029
404154,171,3.26749065
408880,172,3.26718547
413606,173,3.26733806
418331,174,3.26749065
423056,175,3.26779583
427783,176,3.26810101
432511,177,3.26871138
437238,178,3.26855879
441964,179,3.26916915
446689,180,3.26901656
451412,181,3.26947433
456134,182,3.26962692
460855,183,3.27008469
465575,184,3.27038987
470295,185,3.27038987
475016,186,3.27054246
479736,187,3.27084764
484457,188,3.27100023
489177,189,3.27115282
493897,190,3.27161059
498617,191,3.27161059
503338,192,3.27206836
508059,193,3.27206836
512781,194,3.27237354
517503,195,3.27237354
522224,196,3.27313649
526945,197,3.27344167
531666,198,3.27359426
536388,199,3.27389944
541109,200,3.27389944
545830,201,3.2745098
550551,202,3.2745098
555272,203,3.2745098
559993,204,3.27496757
564714,205,3.27542535
569435,206,3.27527276
574156,207,3.27557794
578876,208,3.2761883
583596,209,3.2761883
588316,210,3.27679866
593035,211,3.27695125
597754,212,3.27725643
602473,213,3.27740902
607192,214,3.27740902
611910,215,3.27832456
616628,216,3.27832456
621346,217,3.27878233
626064,218,3.27893492
630781,219,3.27893492
635498,220,3.2792401
640215,221,3.2792401
644931,222,3.27969787
649646,223,3.28015564
654361,224,3.28061341
659076,225,3.28061341
666421,226,3.27008469
671129,227,3.27328908
675836,228,3.27527276
680543,229,3.27695125
685249,230,3.27832456
689955,231,3.27939269
694658,232,3.28229191
699363,233,3.28122377
704067,234,3.28183413
708770,235,3.28274968
713473,236,3.28274968
718175,237,3.28336004
722877,238,3.2839704
727578,239,3.28427558
732279,240,3.28458076
736979,241,3.28519112
741678,242,3.28580148
746376,243,3.28625925
751074,244,3.28686961
755771,245,3.28671702
760467,246,3.28732738
765163,247,3.28778515
769859,248,3.28809033
774554,249,3.2885481
779248,250,3.2885481
783942,251,3.28900587
788635,252,3.28931106
793327,253,3.28976883
798019,254,3.28992142
802710,255,3.29068437
807400,256,3.29083696
812090,257,3.29083696
816779,258,3.29114214
821467,259,3.29159991
826154,260,3.29205768
830841,261,3.29205768
835527,262,3.29266804
840212,263,3.29282063
844897,264,3.29312581
849581,265,3.29343099
854264,266,3.29388876
858950,267,3.29282063
863632,268,3.29343099
868314,269,3.29388876
872994,270,3.29449912
877673,271,3.2948043
882352,272,3.29510948
887030,273,3.29526207
891707,274,3.29602502
896384,275,3.29617762
901060,276,3.29663539
905735,277,3.29678798
910409,278,3.29709316
915083,279,3.29724575
919755,280,3.29785611
924427,281,3.2980087
929098,282,3.2980087
933769,283,3.29861906
938439,284,3.29877165
943107,285,3.29922942
947775,286,3.2995346
952442,287,3.29983978
957108,288,3.29983978
961773,289,3.30045014
966437,290,3.3010605
971100,291,3.30121309
975763,292,3.30167086
980425,293,3.30151827
985086,294,3.30167086
989746,295,3.30182345
994404,296,3.30243381
999063,297,3.30243381
1003720,298,3.30273899
1008377,299,3.30319677
1013033,300,3.30350195
1017688,301,3.30350195
1022342,302,3.30411231
1026996,303,3.30411231
1031648,304,3.30487526
1036299,305,3.30502785
1040949,306,3.30518044
1045599,307,3.30548562
1050247,308,3.30594339
1054895,309,3.30594339
1059542,310,3.30609598
1064187,311,3.30685893
1068832,312,3.30655375
1073476,313,3.30701152
1078119,314,3.30746929
1082761,315,3.30777447
1087402,316,3.30792706
1092042,317,3.30838483
1096681,318,3.30899519
1101319,319,3.30899519
1105956,320,3.30914778
1110592,321,3.30930037
1115227,322,3.30991073
1119861,323,3.31006332
1124494,324,3.3105211
1129126,325,3.31082628
1130007,326,3.30853742
1130634,327,3.30975814
1131261,328,3.31067369
1131888,329,3.31158923
1132515,330,3.312047
1133142,331,3.31265736
1133769,332,3.31311513
1134396,333,3.31372549
1135022,334,3.31403067
1135648,335,3.31433585
1136274,336,3.31479362
1136900,337,3.31525139
1137525,338,3.31570916
1138151,339,3.31586175
1138777,340,3.3166247
1139403,341,3.3166247
1140029,342,3.312047
1140664,343,3.24048219
1141292,344,3.2777142
1141916,345,3.32211795
1142537,346,3.35156786
1143155,347,3.37033646
1143787,348,3.25558862
1144416,349,3.27939269
1145040,350,3.3228809
1145660,351,3.35248341
1146277,352,3.37140459
1146894,353,3.37323568
1147507,354,3.39337758
1148120,355,3.39444572
1148733,356,3.39520867
1149345,357,3.39536126
1149957,358,3.39566644
1150569,359,3.39581903
1151181,360,3.39581903
1151792,361,3.39551385
1152402,362,3.39505608
1153013,363,3.39414054
1153624,364,3.39444572
1154235,365,3.39429313
1154846,366,3.39444572
1155457,367,3.39459831
1156068,368,3.39093614
1156687,369,3.34271763
1157312,370,3.3042649
