,Cycle,Cell43
2840,1,4.03349355
7612,2,4.03288319
12381,3,4.03303578
17153,4,4.03334096
21927,5,4.03349355
26703,6,4.03364614
31479,7,4.03364614
36256,8,4.03349355
41033,9,4.03364614
45810,10,4.03349355
50587,11,4.03379873
55364,12,4.03349355
60141,13,4.03364614
64917,14,4.03349355
69693,15,4.03379873
74469,16,4.03364614
79244,17,4.03364614
84019,18,4.03364614
88794,19,4.03349355
93568,20,4.03364614
98342,21,4.03364614
103115,22,4.03349355
107888,23,4.03334096
112660,24,4.03364614
117432,25,4.03379873
121725,26,4.03288319
122314,27,4.03150988
122902,28,4.03089952
123489,29,4.03105211
124077,30,4.03105211
124665,31,4.03150988
125253,32,4.03135729
125841,33,4.03166247
126429,34,4.03181506
127017,35,4.03166247
127604,36,4.03181506
128191,37,4.03166247
128777,38,4.03166247
129363,39,4.03212024
129949,40,4.03181506
130535,41,4.03166247
131121,42,4.03150988
131707,43,4.03181506
132293,44,4.03181506
132879,45,4.03181506
133464,46,4.03166247
134050,47,4.03166247
134636,48,4.03166247
135222,49,4.03166247
135808,50,4.03135729
136394,51,4.03135729
136980,52,4.03135729
137566,53,4.03135729
138152,54,4.0312047
138737,55,4.03135729
139322,56,4.0312047
139907,57,4.0312047
140492,58,4.03105211
141077,59,4.0312047
141662,60,4.03105211
142247,61,4.0312047
142832,62,4.03059434
143417,63,4.03074693
144002,64,4.03089952
144587,65,4.03074693
145171,66,4.03089952
145755,67,4.03059434
146339,68,4.03074693
146923,69,4.03059434
147507,70,4.03059434
148091,71,4.03044175
148675,72,4.03059434
149259,73,4.03059434
149843,74,4.03028916
150427,75,4.03044175
151295,76,4.02937362
151880,77,4.02861067
152465,78,4.02800031
153049,79,4.0281529
153633,80,4.0281529
154217,81,4.0281529
154801,82,4.0281529
155384,83,4.0281529
155967,84,4.02800031
156550,85,4.02830549
157133,86,4.02830549
157716,87,4.02830549
158299,88,4.02830549
158882,89,4.02830549
159464,90,4.0281529
160046,91,4.02830549
160628,92,4.02830549
161210,93,4.0281529
161792,94,4.02800031
162373,95,4.02800031
162954,96,4.02800031
163535,97,4.02830549
164115,98,4.02800031
164695,99,4.02784771
165275,100,4.02769512
165856,101,4.0281529
166437,102,4.02769512
167018,103,4.02769512
167599,104,4.02784771
168180,105,4.02769512
168760,106,4.02784771
169340,107,4.02800031
169920,108,4.02754253
170500,109,4.02738994
171080,110,4.02754253
171660,111,4.02723735
172240,112,4.02738994
172820,113,4.02738994
173400,114,4.02738994
173980,115,4.02693217
174559,116,4.02693217
175138,117,4.02693217
175717,118,4.02677958
176296,119,4.02708476
176875,120,4.02693217
177454,121,4.02677958
178033,122,4.02662699
178612,123,4.02677958
179190,124,4.02677958
179767,125,4.0264744
180714,126,4.0264744
181294,127,4.02449073
181873,128,4.02357519
182452,129,4.02388037
183030,130,4.02403296
183608,131,4.02418555
184186,132,4.02433814
184764,133,4.02433814
185342,134,4.02449073
185920,135,4.02433814
186497,136,4.02433814
187074,137,4.02418555
187651,138,4.02433814
188228,139,4.02464332
188804,140,4.02464332
189380,141,4.02418555
189955,142,4.02418555
190530,143,4.02388037
191105,144,4.02418555
191680,145,4.02418555
192255,146,4.02403296
192830,147,4.02433814
193405,148,4.02403296
193981,149,4.02403296
194556,150,4.02388037
195131,151,4.02372778
195706,152,4.02388037
196281,153,4.02388037
196856,154,4.02357519
197431,155,4.02357519
198006,156,4.0234226
198581,157,4.02327001
199155,158,4.02357519
199729,159,4.02311742
200303,160,4.02327001
200877,161,4.02311742
201451,162,4.02327001
202025,163,4.02327001
202599,164,4.02281224
203173,165,4.02311742
203746,166,4.02281224
204319,167,4.02296483
204891,168,4.02265965
205464,169,4.02281224
206037,170,4.02235447
206609,171,4.02265965
207181,172,4.02235447
207753,173,4.02204929
208325,174,4.02235447
208897,175,4.02220188
209469,176,4.02220188
210041,177,4.02159152
210613,178,4.02159152
211185,179,4.02174411
211757,180,4.02128634
212329,181,4.02128634
212901,182,4.02128634
213472,183,4.02113375
214043,184,4.02113375
214614,185,4.02098116
215185,186,4.02098116
215756,187,4.02098116
216327,188,4.02067597
216898,189,4.02098116
217469,190,4.02067597
218040,191,4.02082856
218611,192,4.02052338
219181,193,4.02037079
219751,194,4.0202182
220320,195,4.0202182
220889,196,4.02006561
221458,197,4.0202182
222027,198,4.01991302
222596,199,4.01991302
223166,200,4.01960784
223735,201,4.01976043
224304,202,4.01945525
224873,203,4.01960784
225442,204,4.01930266
226011,205,4.01930266
226580,206,4.01915007
227149,207,4.01899748
227718,208,4.01930266
228287,209,4.01899748
228855,210,4.0186923
229423,211,4.0186923
229991,212,4.01823453
230559,213,4.01853971
231127,214,4.01853971
231695,215,4.01808194
232263,216,4.01823453
232831,217,4.01792935
233399,218,4.01808194
233967,219,4.01777676
234534,220,4.01792935
235100,221,4.01747158
235666,222,4.01747158
236232,223,4.01762417
236798,224,4.01747158
237364,225,4.01731899
238293,226,4.01808194
238862,227,4.01609827
239430,228,4.01457237
239996,229,4.01426719
240562,230,4.0141146
241129,231,4.01457237
241695,232,4.01457237
242260,233,4.01457237
242825,234,4.01426719
243390,235,4.01441978
243956,236,4.01426719
244520,237,4.01457237
245084,238,4.01457237
245648,239,4.01426719
246212,240,4.01426719
246777,241,4.0141146
247342,242,4.0141146
247906,243,4.0141146
248470,244,4.01396201
249034,245,4.01396201
249598,246,4.01396201
250162,247,4.01365682
250725,248,4.01365682
251288,249,4.01365682
251851,250,4.01335164
252414,251,4.01335164
252977,252,4.01319905
253540,253,4.01319905
254102,254,4.01274128
254663,255,4.01319905
255224,256,4.01304646
255785,257,4.01274128
256346,258,4.01258869
256907,259,4.0124361
257469,260,4.01228351
258030,261,4.01228351
258591,262,4.01228351
259154,263,4.01213092
259715,264,4.01213092
260276,265,4.01213092
260837,266,4.01213092
261398,267,4.01213092
261959,268,4.01152056
262519,269,4.01136797
263079,270,4.01136797
263639,271,4.01136797
264199,272,4.01121538
264759,273,4.0109102
265319,274,4.01075761
265879,275,4.0109102
266438,276,4.0109102
266997,277,4.0109102
267556,278,4.01075761
268114,279,4.01060502
268672,280,4.01060502
269230,281,4.01014725
269788,282,4.01014725
270346,283,4.01014725
270903,284,4.00999466
271460,285,4.00984207
272017,286,4.00968948
272575,287,4.00984207
273133,288,4.00953689
273691,289,4.0093843
274249,290,4.00923171
274807,291,4.00923171
275364,292,4.00892653
275921,293,4.00923171
276478,294,4.00892653
277035,295,4.00862135
277592,296,4.00862135
278149,297,4.00862135
278706,298,4.00831617
279263,299,4.00831617
279819,300,4.00816358
280375,301,4.00816358
280931,302,4.0078584
281487,303,4.00770581
282043,304,4.0078584
282599,305,4.00740063
283155,306,4.00740063
283710,307,4.00724804
284264,308,4.00724804
284818,309,4.00709545
285372,310,4.00709545
285926,311,4.00709545
286481,312,4.00694285
287036,313,4.00648508
287591,314,4.00663767
288146,315,4.00663767
288700,316,4.00633249
289254,317,4.00648508
289810,318,4.0061799
290364,319,4.00587472
290918,320,4.00556954
291472,321,4.00572213
292026,322,4.00541695
292580,323,4.00556954
293133,324,4.00541695
293686,325,4.00541695
294497,326,4.00343328
295051,327,4.0031281
295605,328,4.00221256
296159,329,4.00190738
296713,330,4.00175479
297266,331,4.00205997
297819,332,4.00205997
298372,333,4.00221256
298924,334,4.00190738
299476,335,4.00190738
300028,336,4.00205997
300580,337,4.00190738
301132,338,4.00175479
301683,339,4.00175479
302234,340,4.00221256
302785,341,4.00175479
303335,342,4.00129702
303885,343,4.00144961
304434,344,4.00144961
304983,345,4.00129702
305532,346,4.00129702
306081,347,4.00129702
306630,348,4.00114443
307180,349,4.00297551
307734,350,4.01472496
308292,351,4.00877394
308839,352,3.98741131
309370,353,3.98237583
309899,354,3.9813077
310428,355,3.98084993
310956,356,3.98054475
311484,357,3.98054475
312012,358,3.98023957
312539,359,3.97993439
313066,360,3.97962921
313593,361,3.97993439
314120,362,3.9797818
314647,363,3.98008698
315174,364,3.98039216
315701,365,3.98054475
316228,366,3.98069734
316755,367,3.98054475
317282,368,3.98054475
317809,369,3.98039216
318336,370,3.98023957
318862,371,3.98023957
319388,372,3.98023957
319915,373,3.98329137
320447,374,3.99320974
320988,375,4.00068666
321786,376,3.99397269
322329,377,3.99443046
322872,378,3.99336233
323415,379,3.99320974
323958,380,3.99320974
324501,381,3.99351492
325044,382,3.99336233
325586,383,3.99336233
326128,384,3.99305715
326670,385,3.99290455
327211,386,3.99290455
327752,387,3.99290455
328293,388,3.99320974
328834,389,3.99336233
329375,390,3.99351492
329916,391,3.99366751
330457,392,3.99320974
330998,393,3.99320974
331539,394,3.99305715
332079,395,3.99305715
332619,396,3.99275196
333159,397,3.99290455
333699,398,3.99275196
334239,399,3.99259937
334779,400,3.99259937
335318,401,3.99244678
